timestamp,ethereum-metrics-exporter-1-lighthouse-geth,ethereum-metrics-exporter-2-lighthouse-geth,ethereum-metrics-exporter-3-lighthouse-geth,ethereum-metrics-exporter-4-lighthouse-geth,ethereum-metrics-exporter-5-lighthouse-geth
1714022141,0.0,0.0,0.0,0.0,0.0
1714022156,0.0,0.0,0.0,0.0,0.0
1714022171,0.0,0.0,0.0,0.0,0.0
1714022186,0.0,0.0,0.0,0.0,0.0
1714022201,0.0,0.0,0.0,0.0,0.0
1714022216,0.0,0.0,0.0,0.0,0.0
1714022231,0.0,0.0,0.0,0.0,0.0
1714022246,0.0,0.0,0.0,0.0,0.0
1714022261,0.0,0.0,0.0,0.0,0.0
1714022276,0.0,0.0,0.0,0.0,0.0
1714022291,0.0,0.0,0.0,0.0,0.0
1714022306,0.0,0.0,0.0,0.0,0.0
1714022321,0.0,0.0,0.0,0.0,0.0
1714022336,0.0,0.0,0.0,0.0,0.0
1714022351,0.0,0.0,0.0,0.0,0.0
1714022366,0.0,0.0,0.0,0.0,0.0
1714022381,0.0,0.0,0.0,0.0,0.0
1714022396,0.0,0.0,0.0,0.0,0.0
1714022411,0.0,0.0,0.0,0.0,0.0
1714022426,0.0,0.0,0.0,0.0,0.0
1714022441,0.0,0.0,0.0,0.0,0.0
1714022456,0.0,0.0,0.0,0.0,0.0
1714022471,0.0,308375.0,308375.0,0.0,0.0
1714022486,43609.0,43609.0,43609.0,43609.0,308375.0
1714022501,0.0,0.0,0.0,0.0,0.0
1714022516,0.0,0.0,0.0,0.0,0.0
1714022531,0.0,0.0,0.0,0.0,0.0
1714022546,0.0,0.0,0.0,0.0,0.0
1714022561,0.0,0.0,0.0,0.0,0.0
1714022576,0.0,0.0,0.0,0.0,0.0
1714022591,0.0,0.0,0.0,0.0,0.0
1714022606,0.0,0.0,0.0,0.0,0.0
1714022621,295266.0,295266.0,0.0,295266.0,0.0
1714022636,0.0,0.0,72012.0,0.0,0.0
1714022651,72012.0,0.0,0.0,72012.0,72012.0
1714022666,0.0,0.0,0.0,0.0,0.0
1714022681,0.0,0.0,0.0,0.0,0.0
1714022696,0.0,0.0,0.0,0.0,0.0
1714022711,0.0,0.0,0.0,0.0,0.0
1714022726,0.0,0.0,0.0,0.0,0.0
1714022741,0.0,0.0,0.0,0.0,0.0
