timestamp,beacon-metrics-gazer--bb1ab8fca3f3426a93d5110d0129518a,cadvisor,cl-1-prysm-geth--4e294659452c4095b103003cb258afe7,cl-2-prysm-geth--b5d526f408a446f99096eb724a8f5814,cl-3-prysm-geth--88a8ded51981464883c191f8ac461e80,cl-4-prysm-geth--9e8584b8430e4d95b55621781afd3f7a,cl-5-prysm-geth--c68fcdeae8a6420c9985243a57a3aee0,dora--748bc68702d847f4a2594999df938d5c,el-1-geth-prysm--832feabe10934c36aae822b8785927cb,el-2-geth-prysm--0be07b1c07a74c17978f36529275b9f1,el-3-geth-prysm--c6c4206b94b94285a5caef2c59082ba6,el-4-geth-prysm--dd94bea36e0a4dc09bc99b71a56c4d32,el-5-geth-prysm--a7faac33e68345279792d89eca414d6d,el-forkmon--34faff3b3e59494b862e9f92d93dd6d1,ethereum-metrics-exporter-1-prysm-geth--9613eda2293c43568fd7ab7d148246ca,ethereum-metrics-exporter-2-prysm-geth--9909725f10e04408b771a71d0cb86c4d,ethereum-metrics-exporter-3-prysm-geth--dbfd4a578ae945e4909e2b7a374b7cb6,ethereum-metrics-exporter-4-prysm-geth--a7e26a9ba4d8439ca25f9d4b8aeba1ad,ethereum-metrics-exporter-5-prysm-geth--0f179a79c51e43b3a50acb18be514f28,grafana--78fd287ba7d444aabad34683bb8dfa79,helpers-grafana-1,kurtosis-api--157ca42856aa41779de8d188e0b90a4c,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,kurtosis-logs-collector--157ca42856aa41779de8d188e0b90a4c,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,portainer,prometheus,prometheus--7942f9d58b9b4d26b17efd602fe8743d,validator-key-generation-cl-validator-keystore--6a4490986a8646029f70150b83f74001,vc-1-geth-prysm--fad3ba2d1e804e25b1ad9bfddae4c3df,vc-2-geth-prysm--183b1baab7e44677ae718fcd696df30f,vc-3-geth-prysm--b55bdf61212f4efd9180729367e46dbb,vc-4-geth-prysm--bc0ef5640d9c4900811cbbdc35631e02,vc-5-geth-prysm--3f7f2a5fe5e34f71901833f590ae60be
1716643309,12.076172782164422,52141.00763626789,71070.95979392988,71271.36207956441,71800.26216978826,70694.38039396534,71124.47909665278,157.1124323364984,12566.163467759327,12609.932117002323,13895.252500169312,13122.941255665753,13085.05640139175,3073.920028168394,882.2648820007045,860.6838950133591,868.9494403026105,869.5058939315991,875.1497886002396,0.0,0.0,0.0,1.6037255639097743,440.1636099749308,25128.154094517788,0.0,0.0,694.8347687193766,861.6559892565441,0.0,5242.73278582138,5134.204821651449,5543.682469680264,5356.148491879349,5469.8699929725935
1716643324,11.843047090211048,52580.989266349454,60677.648021084206,72340.34412645665,70660.02542521479,68441.20974760663,63083.509396197034,137.45129498051799,13192.813731383156,13639.876734822414,14193.261868300153,13858.702759251993,11426.286217913406,3374.3983730651908,893.3258553000561,852.5633890607955,858.9907988571686,994.7499128616244,853.5875386085373,0.0,0.0,0.0,4.21222636897357,426.5422169864751,25303.6545917548,0.0,0.0,735.4485631356213,890.6284405689876,0.0,5512.182763482551,5458.567337787742,5291.5399627830975,5511.662640017571,5415.214801159994
1716643339,12.011087157376037,52968.65804725813,60292.82485117049,60510.9911299653,59851.53179655719,58201.45138521263,57498.38638373122,154.146428016945,12790.7043624458,14154.654720279721,14667.473948496901,13875.002784150389,12650.010943313633,3543.882861427185,875.019165480232,940.2686606094856,852.0286396181383,896.8712476494709,856.4845443139045,1.6096394407652685,0.0,0.0,5.2337853858832375,469.42470465758385,20986.301066702075,0.0,0.0,762.5491051942382,896.5991921106672,0.0,5474.498356586296,5301.648993529835,5428.4361898751295,5194.375903078803,5213.890297964314
1716643354,130.0321711155552,54733.73380284932,128258.8687119833,65717.12545026015,130590.7535410765,67496.95658959667,64775.92826912168,232.65899087144126,13007.605501088103,14727.57950253648,15322.094433712206,13494.309911340479,13872.7548697192,4440.638198029095,851.1779437512466,728.1980680689718,828.3247587714457,865.6723053326517,807.8253115552753,1.5483642637527923,0.0,0.0,4.078138025820697,490.95400226984447,26717.370572207088,0.0,0.0,766.4431710089785,906.6984019041142,0.0,5787.984231506156,5997.205822704943,5881.373659897149,5715.837559013814,5660.736975857687
1716643369,180.01144466942515,52600.07072135784,129784.06589814552,67033.54887284644,131676.39950786537,73273.78298858771,68964.73398382045,242.70539778885757,13339.751828052295,15378.614377929081,15686.542608772981,13045.434248716232,14411.053041254308,4062.931798051373,862.401997284394,967.7251431546069,880.2193446088794,797.2234762979683,877.7155258320968,1.5307572874980866,0.0,1.5661356720959372,0.9215376513954713,508.9643396598148,27060.2861629733,0.0,0.0,725.4219126707742,874.8082779469626,0.0,5858.423101294468,5733.383871039665,6406.096513446249,5805.312866337838,5408.552908121502
1716643384,231.89701412479886,52260.40203651685,131095.22427381724,68885.32099988988,130699.02304067781,73682.03971119133,71486.52549444106,231.22432577245937,14413.842637936663,14217.311401020987,16588.558392948104,13034.790857747972,14640.97136874687,4211.076185522716,855.9703468361133,869.1041151438183,888.6026763299787,894.4832355500034,877.5630142353401,0.0,0.0,1.5726802965625701,0.0,458.897399358746,27269.848824822646,1.5628139581612377,0.0,686.9930657701198,871.50146563891,0.0,5902.378494718117,6074.161884292393,6071.620750227914,6212.51101321586,5675.614298042422
1716643399,157.26499493191133,51811.5052147974,58107.74373989424,59164.568081991216,59282.9435886069,62078.80812519618,65880.73929524705,164.14277988101674,14285.580105555058,15093.767754905817,15279.83375337136,13956.885317115553,14762.691237830322,4768.120461531608,876.65098092705,885.9218492019813,881.5604889888441,882.2817709266894,891.0948643995796,0.0,0.0,1.5438565536710702,0.0,446.22872137618583,20586.517390266657,3.0010718113612005,0.0,710.481437754165,862.8126371215446,0.0,5235.68291709178,5459.458288190683,5338.025643324666,5605.659734060689,5764.914366221987
1716643414,162.41864275636067,53425.72410848707,69059.60864155639,68695.76065506838,67537.88167724856,69754.47956059787,69383.09532826877,156.23896929050477,14398.330804248862,15191.131125357706,14497.259289212383,14502.314294701839,14852.950910093767,4483.0025807599895,851.9219077214079,845.8680076543101,853.1679140538962,947.2762688494452,839.764286198099,0.0,0.0,1.5161360190599957,0.0,446.6501240694789,23964.807832241848,2.9753049687592976,0.0,748.224913256279,868.5966326347841,0.0,5443.825014757002,5145.443400976336,5203.6093695576465,5692.9477468514715,5618.891008353615
1716643429,159.90768955009858,54460.27089588155,73145.37114629734,71574.44275415041,70019.98618569106,70158.28319120385,71515.44482416492,158.0262197952822,15227.389010889496,16394.291498866663,13031.235451905384,14510.517109925102,13895.725970921692,4570.480349344979,899.9014910670309,901.3543967690832,850.0970531145226,870.9684453845651,885.1461131833681,0.0,0.0,1.5115852210153533,0.0,471.20900293383545,25764.051246382016,1.7228224754497796,0.0,747.9499253474218,870.2731441483352,0.0,5344.78623907214,5113.154425401649,5294.310795416471,5276.865704576548,5586.339869281046
1716643444,160.7794548321694,52896.88633682758,70523.9488680117,72464.7371922821,69992.43746364165,70332.98429319372,64743.53738443587,163.06659941667948,14858.070233743214,16263.791642509925,14921.705947399232,14225.394072789522,15428.88687702873,4895.361284567351,869.6567144548205,989.7694270879169,873.5608410892795,857.1650261594395,847.7937530986613,0.0,0.0,1.562290764629737,0.0,431.4957802118873,25158.080042784564,0.0,0.0,746.1862359356664,868.8495536010987,0.0,5687.990158388436,5382.745666048069,5629.648485921728,5591.789175650659,5299.054692775152
