timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth,ethereum-metrics-exporter-3-prysm-geth,ethereum-metrics-exporter-4-prysm-geth,ethereum-metrics-exporter-5-prysm-geth
1716643309,0.0,0.0,0.0,0.0,0.0
1716643324,0.0,0.0,0.0,0.0,0.0
1716643339,0.0,0.0,0.0,0.0,0.0
1716643354,0.0,0.0,0.0,0.0,0.0
1716643369,0.0,0.0,0.0,0.0,0.0
1716643384,0.0,0.0,0.0,0.0,0.0
1716643399,0.0,0.0,0.0,0.0,0.0
1716643414,0.0,0.0,0.0,0.0,0.0
1716643429,0.0,0.0,0.0,0.0,0.0
1716643444,0.0,0.0,0.0,0.0,0.0
1716643459,0.0,0.0,0.0,0.0,0.0
1716643474,0.0,0.0,0.0,0.0,0.0
1716643489,0.0,0.0,0.0,0.0,0.0
1716643504,0.0,0.0,0.0,0.0,0.0
1716643519,0.0,0.0,0.0,0.0,0.0
1716643534,0.0,0.0,0.0,0.0,0.0
1716643549,0.0,0.0,0.0,0.0,0.0
1716643564,0.0,0.0,0.0,0.0,0.0
1716643579,0.0,0.0,0.0,0.0,0.0
1716643594,0.0,0.0,0.0,0.0,0.0
1716643609,0.0,0.0,0.0,0.0,0.0
1716643624,0.0,0.0,0.0,0.0,0.0
1716643639,0.0,0.0,0.0,0.0,0.0
1716643654,43609.0,43609.0,308391.0,43609.0,43609.0
1716643669,0.0,0.0,0.0,0.0,0.0
1716643684,0.0,0.0,0.0,0.0,0.0
1716643699,0.0,0.0,0.0,0.0,0.0
1716643714,0.0,0.0,0.0,0.0,0.0
1716643729,0.0,0.0,0.0,0.0,0.0
1716643744,0.0,0.0,0.0,0.0,0.0
1716643759,0.0,0.0,0.0,0.0,0.0
1716643774,0.0,0.0,0.0,0.0,0.0
1716643789,295266.0,295266.0,295266.0,295266.0,295266.0
1716643804,0.0,0.0,0.0,0.0,0.0
1716643819,0.0,0.0,0.0,0.0,0.0
1716643834,0.0,0.0,0.0,0.0,0.0
1716643849,58166.0,58166.0,58166.0,58166.0,58166.0
1716643864,0.0,0.0,0.0,0.0,0.0
1716643879,0.0,0.0,0.0,0.0,0.0
1716643894,0.0,0.0,0.0,0.0,0.0
1716643909,0.0,0.0,0.0,0.0,0.0
