timestamp,grafana--9c652fda54bf416696909af2f2ffed78,prometheus--62e5e457865142e4a9abd4c8da65381d,dora--50326b647ce047878a34128a60ffbdc3,beacon-metrics-gazer--9494adc28d9a4f3a9ebe5d2f68d76987,el-forkmon--1fc4e8413cd24add876e8a06419b2cf2,vc-5-geth-prysm--ceb1122f96e349d3a7b154544da0152b,ethereum-metrics-exporter-5-prysm-geth--5369079979234001bc12104e5dda672f,vc-4-geth-prysm--92e022d7728547b481f39a856e585cef,ethereum-metrics-exporter-4-prysm-geth--37675b0b6aef4b5aabe92019600fa700,vc-3-geth-prysm--4736ff2d86de4a889181350fc17b98c7,ethereum-metrics-exporter-3-prysm-geth--e7f24c930aab4a1091f206957564d040,vc-2-geth-prysm--4bb20b6f9f5845bd977fb8b9c32ed18f,ethereum-metrics-exporter-2-prysm-geth--b19fe24fc7fe491785296987e0c23fc8,vc-1-geth-prysm--b7845805ee4c41faa1480aaa19ad47eb,ethereum-metrics-exporter-1-prysm-geth--280fa5f2d7474029adb08f4147e25040,cl-5-prysm-geth--3806ae07666341aea18cc33d9671db8a,cl-4-prysm-geth--51e00612d88543aeb907bb80ad76aaa7,cl-3-prysm-geth--316634be263d456891d1bef3c4f95a39,cl-2-prysm-geth--a0b305c36eaa42ec929e54f3e183fdf8,cl-1-prysm-geth--4fdf5cfa38d14eb089f45267e1de31ac,el-5-geth-prysm--2c9145d33b7441c9a46872c52c5bdb14,el-4-geth-prysm--c9e5d3239aeb45f18101437cca229111,el-3-geth-prysm--da9eaf2b3f8b492ab526185206389baf,el-2-geth-prysm--db9cf52bdd334e918f89defbd18585a3,el-1-geth-prysm--64bfd2e0b4bf45d690a9a09863350c2b,validator-key-generation-cl-validator-keystore--9a9533696e4e4b2aa79eedbefcaf4d3b,kurtosis-api--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-logs-collector--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716641915,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,0.0,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,4.1,12.3,22900.0,12.3,16.4,299.0,4.1,15700.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,745000.0,592000.0,314000.0
1716641930,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,0.0,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,4.1,12.3,22900.0,12.3,16.4,299.0,4.1,15700.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,745000.0,592000.0,314000.0
1716641945,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,0.0,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,4.1,12.3,22900.0,12.3,16.4,299.0,4.1,15700.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,745000.0,592000.0,314000.0
1716641960,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,0.0,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,4.1,12.3,22900.0,12.3,16.4,299.0,4.1,15700.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,745000.0,592000.0,314000.0
1716641975,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,24.6,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,4.1,12.3,22900.0,12.3,16.4,299.0,4.1,15700.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,745000.0,592000.0,314000.0
1716641990,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,24.6,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,4.1,12.3,22900.0,12.3,16.4,299.0,4.1,15700.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,756000.0,592000.0,314000.0
1716642005,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,24.6,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,4.1,12.3,22900.0,12.3,16.4,299.0,4.1,15700.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,757000.0,592000.0,314000.0
1716642020,95500.0,41900.0,9910.0,6590.0,13300.0,41.0,24.6,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,16.4,12.3,22900.0,12.3,16.4,303.0,4.1,15800.0,9090.0,41900.0,5100.0,23500.0,69300.0,29600.0,1110000.0,757000.0,592000.0,314000.0
1716642035,95500.0,41900.0,9920.0,6590.0,13300.0,41.0,24.6,24.6,0.0,32.8,0.0,270.0,0.0,23400.0,6050.0,233.0,53.2,16.4,12.3,22900.0,12.3,16.4,303.0,4.1,15800.0,9090.0,41900.0,5100.0,24000.0,71100.0,29600.0,1110000.0,757000.0,592000.0,314000.0
1716642050,95500.0,41900.0,9920.0,6590.0,13300.0,90.1,24.6,73.7,0.0,90.1,0.0,270.0,0.0,23400.0,6050.0,279.0,98.3,61.4,57.3,22900.0,12.3,16.4,303.0,4.1,15800.0,9090.0,41900.0,5100.0,24000.0,71100.0,29600.0,1110000.0,760000.0,592000.0,314000.0
