timestamp,beacon-metrics-gazer--e279876f5d7b447a809644c7d8e1d31a,cadvisor,cl-1-prysm-geth--10fb289d593f43fd8a6b29394d684cbf,cl-2-prysm-geth--5b43dbb1138f405187bb1f285c9d0ffb,cl-3-prysm-geth--0aa0aaec98f644f49188614afeeed982,cl-4-prysm-geth--f8f5f6e9c5c54cdd92b101a71f6ee5f1,cl-5-prysm-geth--84bb1b5e9a6c480b8ad71034b4a29874,dora--83efb46d635b48fbab0a776f1d432787,el-1-geth-prysm--5643f7789bc645de97a0a757e4bed33a,el-2-geth-prysm--aac25400748348689c07778cc82cdb4c,el-3-geth-prysm--cba74686a05a471aa73f369be9289b6c,el-4-geth-prysm--44e3bac3c9734c17b63a5e87048a0579,el-5-geth-prysm--8810fc63c683432ebffe4d828c42c0af,el-forkmon--296a44d8d71144319de7afa6c1f7f44f,ethereum-metrics-exporter-1-prysm-geth--74ba6663bd464dc18ff3328ee650fe0b,ethereum-metrics-exporter-2-prysm-geth--45869df02b50441c9678be27708ece24,ethereum-metrics-exporter-3-prysm-geth--ad3a07c7c1194f4dbc76b4f7b31afb8f,ethereum-metrics-exporter-4-prysm-geth--6d071479aad7453daa385c7b0aa6e86f,ethereum-metrics-exporter-5-prysm-geth--15cf2cb52a214a1cba25b24323711da5,grafana--d0d53c19779146e38b8fdd465197be4a,helpers-grafana-1,kurtosis-api--a393fd3081894d068684cb7ac205bbfe,kurtosis-engine--c7df69c45c1149ada0b9cda29031c282,kurtosis-logs-aggregator,kurtosis-logs-collector--a393fd3081894d068684cb7ac205bbfe,kurtosis-reverse-proxy--c7df69c45c1149ada0b9cda29031c282,portainer,prometheus,prometheus--02b4ba062c6449aaa83af2289d4581a8,validator-key-generation-cl-validator-keystore--a6311fa7ad014983bcebb6cc6a1fd313,vc-1-geth-prysm--d2131392290f47afbf2f1bf22856ddb3,vc-2-geth-prysm--ab9a770aaf694ae68bd6a4b720544624,vc-3-geth-prysm--689af2249dd64389a53d3e93b2314937,vc-4-geth-prysm--3a4427e12a1c45f7853e297364915401,vc-5-geth-prysm--6e1c04a42d4042aba438013b75ab88d8
1716637291,132.20262324739937,53394.80507767582,137019.17733339407,71592.87791328502,134669.49661073452,74248.64840713104,74984.77798457857,218.87304518052187,12641.267178527647,14939.168509706678,14891.55773781877,12829.841158862984,12266.702310142797,3870.748601367552,895.1747088186356,865.4728595411304,886.9213423530972,909.3444291974679,894.6424618109363,1286.9215566005587,0.0,0.0,1.3422561408218443,507.0294989925516,27826.416351921795,1.5701051970482023,0.0,686.5942028985507,1166.2578055307763,0.0,6109.628195894851,6502.503766728707,5557.04097829246,6127.519566262953,5839.325892266291
1716637306,175.5232088689086,52720.19768037221,127694.19828302409,62801.673754349256,134020.3416351545,73896.37155942906,74781.03121835233,232.28074860360059,13064.672377449882,13200.108093500878,12976.950758438483,12418.81341822845,13472.86196753459,4085.9471474438133,893.2625616093134,861.5129497501691,907.354475749739,907.2787810632622,898.1581564269964,87.84945066898727,0.0,1.604731665940717,0.0,465.71891308259853,27821.849966907823,1.4250524215712221,0.0,734.80154454023,919.9867197875166,0.0,6388.496291596473,6238.860138450164,5783.266061592668,6227.449004184833,5899.057151794093
1716637321,159.2120820041493,51572.15013498214,60745.30158083995,70519.6561002822,72306.7347660741,70706.92385518849,70470.38015492768,158.30864170026956,13066.034104033153,14547.841848872777,12622.303057860634,12726.644444444442,14561.299485977095,4027.7318241184153,864.2105263157895,878.1167198858619,805.8605575889025,896.1935335932125,848.3089459388417,1303.6368337139659,0.0,3.191683385008207,0.0,432.3362761892213,20641.762744371557,1.693480101608806,0.0,712.925199583478,1168.0121788070305,0.0,5471.2606422058,5301.656028210508,4885.3190439890595,5467.777201722156,5586.576728499156
1716637336,162.47351097885388,51921.731890091585,67815.01162404518,69911.41750022529,69397.19291972108,67528.1287638235,71030.65116803972,155.10443187707006,13427.700388216486,14291.18206341485,12637.137069547603,12118.890707240478,13792.547474023648,4424.935833297081,840.0964781025973,863.937779576056,863.3459615772601,851.4223389573965,858.9569665295229,1346.0258198011784,0.0,3.1243026110243246,0.0,430.64809206541486,24386.030474919364,0.0,0.0,759.5322710076808,1179.5325856452635,0.0,5624.6998666073805,5437.825079767472,5223.918458760883,5647.102095407935,5718.597285067874
1716637351,163.43144813823753,52070.96561573108,67184.99221722587,70971.09442487874,73364.62424134236,69590.54804522423,72964.50593062626,137.39461143695013,13724.478254119631,14899.138264250472,11940.45711964983,12986.80101871332,14102.465606574948,4653.272787684129,874.7457589235825,873.8997704837667,900.0867071299939,867.1834741110837,873.8343756259319,1364.3334778738845,0.0,1.533574323584182,0.0,463.66735744367935,24865.65776672792,0.0,0.0,712.1786583094085,1170.2923622524002,1.5126304643775526,5219.457565475795,5506.569343065693,5695.913807216654,5381.233729485003,5358.5003029011195
1716637366,156.5888104291146,53513.76374681029,67561.9172685489,59530.06964907581,62323.70891497814,59876.854024743116,65379.49916374551,146.26629094751672,13962.65441596694,14267.945557818026,12688.3111227245,13047.195592764498,13689.110650567669,4779.644722179736,844.630410754968,861.043382756727,967.890714222964,846.9021574646547,875.6836067760438,66.7919487400095,0.0,0.0,53.97114906317361,431.1082537078502,24936.66150099623,116.62155707689858,0.0,709.7058305443015,902.1504447707056,1.5608624880148056,5564.938271604939,5599.98705669169,6197.617028678277,5646.989870394125,5549.6129331069005
1716637381,157.14726087722389,52011.81145579486,57010.17738992812,62610.953938643805,63492.716557322354,58475.86082077735,60812.17387409581,158.9327404113396,15160.928795264623,15682.87255563048,12559.519588725403,13654.05015008915,14517.791870348352,5091.604089387497,865.5008878200086,859.5884255930986,886.9332396962648,849.1336276706676,891.1585703220096,1404.1162441480435,0.0,0.0,51.532617970855604,465.8961641716339,21113.14695466643,124.88811218618132,0.0,691.1103424420614,1186.211238784826,1.5963147932772344,5318.3870465514565,5344.536296697837,5760.239057830901,5551.687069457242,5480.867208672087
1716637396,158.06258720350806,52976.05473204105,66552.52254447964,67866.67260024032,67042.8190899001,65807.2420304343,65011.400793477784,157.16090802143697,16050.701331189135,14946.50338382211,15397.501407352876,13465.377471867147,14453.909868186676,5033.585847528134,822.4087543123338,850.3339953060118,813.5932904912319,834.3855717640976,833.2154539828487,1403.4344236966406,0.0,68.51116957239043,59.86289616737472,451.79991910475934,24136.097161692807,133.06043399797528,0.0,710.0054914881933,1169.5744443203396,0.0,5571.450864990191,5512.658796067693,5516.352469121965,5419.592735277931,5338.783693472933
1716637411,158.9426096251921,51448.912241087324,71271.69242022492,75240.74411403069,71847.1101466965,67754.2365497713,68423.25012022909,141.09872141348535,18634.636545327976,14379.488919041158,15477.205420443328,13043.981791404472,15113.352272727274,5487.668212924264,863.687695135183,890.2998157054885,890.6471317280452,879.5205201137749,860.3458764230469,1388.5944826082218,0.0,67.94313383006478,0.0,454.99416674145203,25592.4729985525,4.30406108989934,0.0,706.3502585178311,1187.0759574797235,0.0,5278.312823256643,5620.269030193155,5411.555131958155,5230.935123838321,5199.6121846181595
1716637426,158.06258720350806,53512.29147384817,68483.62486455408,71256.71886753743,69604.9991041032,66473.40705634544,67605.31039313544,129.5017266896892,17363.950824006344,13471.173667294692,15826.728930398041,13015.244834665618,15023.220335180491,5516.404611025801,861.891837329804,862.0099598534541,874.9777064383806,872.3852553380976,846.420833886015,69.69231112002316,0.0,68.56102962134666,4.282037628682996,438.5311804744807,25330.962520345143,5.496518871381459,0.0,734.4627629334848,882.7859069006677,0.0,5448.976464148879,5877.276045930218,5388.330878085801,5128.478468474471,5325.985213321576
1716637441,156.07846567673369,53619.696969696975,69231.56512838771,72062.13898127078,60876.574250249156,56548.57362274976,60657.41504076212,156.85218834825136,17530.70405809678,13494.2523614329,15541.449107916547,12408.64431324496,15151.28920638464,5991.323210412147,892.7297106883934,860.4251430560693,876.4398379687252,860.0912148154973,857.766814519779,1493.772925956026,0.0,1.1949546359814116,1.399846769654137,415.9449932547108,21177.12011154339,2.2672523735298284,0.0,724.049425339572,1193.7027248701356,0.0,5188.2638950843075,5468.073785030153,5526.335441925848,5021.3457604000905,5334.04255319149
1716637456,162.89685709720862,53456.68439556478,64645.2155897967,66943.27062228654,68046.33178669894,64380.1054909386,68670.35771347416,155.8061912345383,14612.67621218492,13478.636071958046,15665.874116636947,13120.994201986607,14541.285215160762,5894.7942813489035,859.7975253093364,838.7590027700832,836.0284895180074,813.1844016765783,852.1431292151195,1518.8176854918106,0.0,4.306689873700184,1.1069307353393218,422.21930745015743,23795.472166227322,6.296048225050234,0.0,723.0239935659711,1184.769066980769,0.0,5448.714550755367,5603.268641470889,5435.433175439374,5150.232979263741,5549.466675427646
