Contract Name,Status,Total Gas Used,Min Gas Cost for a Facet,Max Gas Cost for a Facet,Average Facet Gas Cost,Facet Gas Cost Stdev
NOMADS,Success,7415527,265957,2807237,918187.5,1090730.6333326527
NOMB,Failed,NA,NA,NA,NA,NA
NOMICAI,Failed,NA,NA,NA,NA,NA
NOVA,Success,7308757,265957,2700419,891495,1044474.1552960993
NRN,Success,6544709,169661,959613,350241.5,239407.75751320174
NSRevenueStaking,Failed,NA,NA,NA,NA,NA
NUX,Success,8050680,265957,2803390,717983.8333333334,932792.9685138098
NYAN,Success,6544709,169649,959613,350241.5,239407.8319969921
NYN,Success,6544709,169661,959613,350241.5,239407.25735344784
NanoUniversalDeployer,Success,3742777,0,0,0,0
NatosAI,Success,7725960,243325,2874369,796639,1039085.6898059947
Nazare,Success,7356512,265957,2748210,903433.75,1065171.589757344
NepturionCloud,Failed,NA,NA,NA,NA,NA
Nettensor,Failed,NA,NA,NA,NA,NA
NetworkController,Failed,NA,NA,NA,NA,NA
NeuraGPU,Success,7417137,265957,2808847,918590,1091427.728090367
NeuraNodeAI,Success,7488633,265957,2880343,936467,1122382.2936038773
NeuraNode,Success,7442858,265957,2834556,925020.25,1102557.468817924
NeuralAI,Success,8537457,422140,3460582,1198673,1305986.8639601625
NeuralChainAI,Success,5962682,243309,1111095,443981,334244.35448037117
NeuralCloud,Failed,NA,NA,NA,NA,NA
NeuralTensorDynamics,Failed,NA,NA,NA,NA,NA
Newsy,Success,8068900,265957,2821586,721020.5,939571.1898864202
NextGemAiToken,Success,6544697,169661,959613,350240,239407.8864547908
NextarStake7,Failed,NA,NA,NA,NA,NA
Nextar,Failed,NA,NA,NA,NA,NA
Nibi,Failed,NA,NA,NA,NA,NA
Nibiru,Success,6585863,181537,965468,355385.75,240170.88689032962
NodeClone,Failed,NA,NA,NA,NA,NA
NodeHUB,Failed,NA,NA,NA,NA,NA
NodeMatrixAIChain,Success,3742765,0,0,0,0
NodeScanAI,Success,7488657,265957,2880343,936470,1122380.5915608574
Nodify,Success,8538311,422152,3461448,1198883.5,1306365.1663842886
NovaChain,Failed,NA,NA,NA,NA,NA
NovaFrontierNFT,Failed,NA,NA,NA,NA,NA
NovaGPU,Failed,NA,NA,NA,NA,NA
NuLink,Success,6585851,181537,965456,355384.25,240167.07659187488
Nuh,Success,3742777,0,0,0,0
Nuklai,Success,6585695,181537,965480,355364.75,240174.67415443182
NumbersToken,Success,7678477,248277,2821862,787140,1017555.436252001
NuronAI,Success,7725996,243325,2874369,796643.8,1039083.3944590589
NutterButter,Failed,NA,NA,NA,NA,NA
NyanCatWifHat,Success,8167247,265933,2919957,737415.6666666666,976225.6613674024
OASYS,Success,3742777,0,0,0,0
OBAMA,Success,8062952,265957,2824814,720029.1666666666,941433.4174846385
OCAT,Failed,NA,NA,NA,NA,NA
OKZOO,Success,6760509,243325,967316,377216.5,226738.6312364966
OMEGA,Success,8538371,422140,3461448,1198898.5,1306356.7140058836
OMI,Success,7859760,265957,2932276,823396.6,1054579.1802848375
OMNIA,Success,6544721,169661,959613,350243,239406.70053227415
OPCRevenueShare,Failed,NA,NA,NA,NA,NA
OPENGPU,Failed,NA,NA,NA,NA,NA
OPTN,Success,8125824,265957,3194328,876609.4,1158989.0379018432
ORB3,Failed,NA,NA,NA,NA,NA
ORBAI,Success,8125980,265957,3194448,876643,1159032.2712518405
ORBK,Success,6548416,181553,928236,350704.875,235328.0372588642
ORFY,Success,6585875,181537,965480,355387.25,240174.37640844932
OTTOAI,Failed,NA,NA,NA,NA,NA
OTTO,Failed,NA,NA,NA,NA,NA
OditAI,Success,7766714,202035,2191266,574848.1428571428,663957.2769365357
OernAI,Success,8358113,422140,3281274,1153837,1228353.9558313393
Oh,Success,8050596,265957,2803402,717971.8333333334,932803.7158978332
Olympix,Success,7772235,265957,2844727,805894,1019560.7969491569
Oordinals,Failed,NA,NA,NA,NA,NA
OpSync,Failed,NA,NA,NA,NA,NA
Ophel,Success,8358149,422152,3281274,1153843,1228350.4644638272
OptimalAI,Success,7594389,414120,2541586,962903,911557.7056843411
OraSpaceAI,Success,7487217,265957,2878903,936110,1121757.1008986305
OraixToken,Failed,NA,NA,NA,NA,NA
Orbucurum,Failed,NA,NA,NA,NA,NA
OrdinalsAI,Success,7477943,265957,2869629,933794.5,1117739.9446652383
Ownable,Success,4442700,123457,290091,233307.66666666666,77690.9642508202
OxAI,Success,8063588,422140,2986773,1080202.75,1100845.378582836
OxAi,Failed,NA,NA,NA,NA,NA
OxNODE,Success,7417101,265957,2808847,918581,1091432.8308308762
OxSHARP,Failed,NA,NA,NA,NA,NA
OxchangerCo,Success,3742777,0,0,0,0
P2EGameContract,Success,6388148,150683,459185,293930.1111111111,91436.45644495348
P3P3,Failed,NA,NA,NA,NA,NA
PACMOON,Success,6585863,181525,965468,355385.75,240171.38588451268
PAC,Success,6585899,181537,965480,355390.25,240174.0002033682
PALIOAI,Failed,NA,NA,NA,NA,NA
PARAM,Success,6585899,181525,965480,355390.25,240174.02181270043
PATRIOT,Failed,NA,NA,NA,NA,NA
PENGETH,Failed,NA,NA,NA,NA,NA
PENGU,Failed,NA,NA,NA,NA,NA
PEPAI,Failed,NA,NA,NA,NA,NA
PEPA,Success,8069908,265957,2822726,721188.5,940005.786199523
PEPE314,Failed,NA,NA,NA,NA,NA
PEPEAI,Failed,NA,NA,NA,NA,NA
PEPELORE,Success,8163673,265957,2916383,736818,974894.6909160668
PEPER,Success,8069956,265957,2822726,721198.5,940001.3454684963
PEPETIMES,Success,8050704,265957,2803402,717987.8333333334,932796.4999152488
PEPEWIFSOMBRERO,Success,8749143,399532,3272640,1001273.2,1135885.6374317617
PEPE,Success,8072032,265957,2824814,721546.5,940779.356779571
PEPICOIN,Failed,NA,NA,NA,NA,NA
PEPORITA,Failed,NA,NA,NA,NA,NA
PEPY,Success,8539127,422152,3462288,1199087.5,1306732.2889124039
PESO,Success,7861128,265945,2933656,823670.2,1055132.375876771
PGENZ,Failed,NA,NA,NA,NA,NA
PIPE,Success,7323872,265957,2715642,895273.75,1051080.6314618243
PIP,Success,7839447,265957,2911903,819334,1046425.1087279968
PI,Failed,NA,NA,NA,NA,NA
PLCK,Success,8571935,422152,3495012,1207289.5,1320889.4706425099
POKO,Success,6585911,181537,965480,355391.75,240172.93597257684
POPCORN,Success,8049265,422152,2972234,1076622,1094519.594771834
POPO,Success,8069860,265957,2822666,721180.5,939982.5753622156
PORA,Failed,NA,NA,NA,NA,NA
PORTAI,Failed,NA,NA,NA,NA,NA
PORTNOY,Success,7243606,265933,2635256,875207.25,1016258.7872700966
PRC20Proxy,Success,3742777,0,0,0,0
PRINT,Success,8050644,265957,2803390,717979.8333333334,932794.7613636518
PROMOTE,Success,3742777,0,0,0,0
PRVA,Success,6585875,181537,965480,355387.25,240173.3499395541
PT,Failed,NA,NA,NA,NA,NA
PUPPY,Success,8637300,426269,3548110,1223633.75,1342107.9640215938
PaperClippy,Success,7568406,265957,2640262,765128.2,937726.2867810414
ParamLabs,Success,6585887,181537,965468,355388.75,240169.16342067625
Param,Failed,NA,NA,NA,NA,NA
Parcl,Success,6585887,181537,965480,355388.75,240174.18242431368
Peggy,Failed,NA,NA,NA,NA,NA
Pepa,Failed,NA,NA,NA,NA,NA
Pepe3,Failed,NA,NA,NA,NA,NA
PepeAI,Success,7704400,265957,2776856,792324.6,992413.9619843323
PepeBitcoin,Success,8538407,422152,3461484,1198907.5,1306372.2241154127
PepeReborn,Success,8070952,265957,2823710,721362.5,940367.9944482284
PepeThePapi,Success,8163589,265957,2916323,736804,974874.0875704582
Pepega,Success,8069896,265957,2822666,721186.5,939979.8439576156
Pepewifhat,Failed,NA,NA,NA,NA,NA
PermitHelper,Success,3742777,0,0,0,0
PerpetualFlow,Failed,NA,NA,NA,NA,NA
Perpex,Success,3742777,0,0,0,0
PetitionCampaign,Failed,NA,NA,NA,NA,NA
Pez,Success,8163529,265957,2916371,736792,974900.9783933614
PinkyLock,Failed,NA,NA,NA,NA,NA
PipInu,Failed,NA,NA,NA,NA,NA
PirateFlix,Success,9055959,426269,3966721,1328298.5,1523356.5597791772
PixeriaAI,Success,7408536,265957,2800234,916439.75,1087696.7884245992
PlanetOrderV3_ETH,Failed,NA,NA,NA,NA,NA
Plena,Success,6585911,181537,965480,355391.75,240172.93597257684
PnP,Success,8133655,265957,2911519,731815,974919.1712383134
Poll,Failed,NA,NA,NA,NA,NA
Polly,Success,8162545,265957,2915219,736628,974459.1740038848
Polyhedra,Failed,NA,NA,NA,NA,NA
Pomsky,Success,7243438,265957,2635160,875165.25,1016227.2133064965
Ponzi,Failed,NA,NA,NA,NA,NA
PotatoPepe,Success,3742777,0,0,0,0
PowerDollar,Success,8637660,426269,3548434,1223720.75,1342244.8394002814
Practic,Success,3742777,0,0,0,0
PraxAI,Success,7495111,265945,2886857,938083.5,1125209.622720251
PresaleBIF,Failed,NA,NA,NA,NA,NA
PrivacyGuardAI,Failed,NA,NA,NA,NA,NA
Privasea,Success,6544697,169661,959613,350240,239407.6596513779
ProfitIQ,Success,7060903,424983,1971643,829534.5,659558.3572924007
ProofofSasquatch,Failed,NA,NA,NA,NA,NA
Proxy,Success,3742777,0,0,0,0
PublicAI,Success,6544709,169661,959613,350241.5,239407.75751320174
PulseGPT,Success,8067799,265957,2820557,720837,939193.1529303935
PumpTrump,Success,8432849,422152,3355878,1172518,1260639.3145517476
QAI,Success,7521726,437893,2325086,944737.25,797458.2781865065
QUEST,Success,7659487,265957,2731919,783342,974439.5151250794
Qettensor,Failed,NA,NA,NA,NA,NA
QuadroAI,Success,7487229,265957,2878903,936113,1121755.3987012943
QuantAI,Failed,NA,NA,NA,NA,NA
QuantumGrids,Failed,NA,NA,NA,NA,NA
QuantumNetwork,Success,8067835,265957,2820545,720843,939185.0547039883
Querio,Success,3742765,0,0,0,0
R0ARToken,Failed,NA,NA,NA,NA,NA
RABBY,Success,6585851,181525,965480,355387.25,240175.3403748759
RBLZClaim,Failed,NA,NA,NA,NA,NA
RDP,Success,8068840,265957,2821598,721010.5,939581.0407317632
REEEEEEEEEEEEE,Success,8748447,399544,3271848,1001138.8,1135557.2536106491
RELDA,Success,7617031,265957,2615609,774855.6,921352.2265246011
REVEAL,Success,7138409,265957,2530035,848908,970697.5749235702
RFM1,Success,8128053,265957,2880847,730879.3333333334,961660.6312200555
RGAME,Success,6585887,181537,965480,355388.75,240174.11036410127
RIP7560,Failed,NA,NA,NA,NA,NA
RLTK,Failed,NA,NA,NA,NA,NA
RQR,Success,3742777,0,0,0,0
RSG,Success,6585887,181537,965480,355388.75,240174.5873925622
RUNE,Failed,NA,NA,NA,NA,NA
Raboo,Success,3742777,0,0,0,0
RadiantHelper,Success,3742777,0,0,0,0
Raiinmaker,Success,6585899,181537,965468,355390.25,240169.12566915737
RaiseAllInxPugsyPoker,Failed,NA,NA,NA,NA,NA
RawBlock,Success,7442822,265957,2834556,925014.25,1102560.8711019938
ReALM,Success,8068864,265945,2821598,721014.5,939579.2781317516
ReflexerPayback,Success,3742777,0,0,0,0
RehhAI,Success,7232417,265957,2624139,872410,1011455.4227461041
RenonAI,Success,7440218,265957,2831940,924360.25,1101428.1987602222
ResolvedDelegateProxy,Failed,NA,NA,NA,NA,NA
RestEVM,Failed,NA,NA,NA,NA,NA
RevenueShare,Success,5375162,237405,458885,326477,85417.77962930201
Rheiner,Failed,NA,NA,NA,NA,NA
RitualAI,Success,6585683,181537,965468,355363.25,241555.02774044572
Rocky,Success,8166119,265957,2918901,737223.6666666666,975839.2126494109
RoleManager,Failed,NA,NA,NA,NA,NA
Rome,Failed,NA,NA,NA,NA,NA
RubberDuckyETHBuyer,Failed,NA,NA,NA,NA,NA
SAGA,Success,6585899,181525,965480,355390.25,240174.02181270043
SAP,Success,8068840,265957,2821598,721012.5,939580.1018798681
SBIDEN,Success,8068864,265957,2821598,721016.5,939578.3094753643
SCAM,Success,6489235,205820,2098378,686617.5,815104.2876606343
SCA,Success,6585899,181537,965480,355390.25,240172.97373286507
SEEKAI,Success,7417101,265957,2808847,918584,1091431.1298513068
SENTINELAI,Success,7307701,265957,2699375,891234,1044022.1293691528
SHARK,Success,7621765,265957,2662896,775797.6,943935.9670245858
SHIELD,Success,7206219,265957,2597905,865863.5,1000090.0454740314
SHINJAI,Success,8069920,265957,2822666,721190.5,939978.0920950144
SHIROETH,Failed,NA,NA,NA,NA,NA
SKO,Success,6590667,181537,965468,355987.75,240180.46247288203
SKULLCASH,Success,7386262,265957,2777936,910871.25,1078038.8553608295
SKULL,Success,7365557,265957,2757219,905695,1069067.173837781
SLERP,Success,7399229,265957,2790903,914113,1083653.2724093532
SLIMER,Failed,NA,NA,NA,NA,NA
SMILE,Success,7726280,265957,2798796,796705.4,1001192.2360461252
SOKIX,Success,7847057,265957,2919561,820856,1049492.6200123562
SOLA,Failed,NA,NA,NA,NA,NA
SOPHIAI,Success,7521702,437881,2325074,944731.25,797454.9921200491
SOULFI,Success,7521726,437893,2325086,944737.25,797458.2781865065
SPA,Success,7448316,265957,2840014,926384.75,1104920.6671470525
SPEC,Success,6760509,243313,967316,377216.5,226739.3487972478
SPEPE,Success,8163661,265957,2916383,736814,974896.484133743
SPFI,Success,6585899,181537,965480,355390.25,240173.52317374098
SPGamers,Success,8063648,422152,2986773,1080220.75,1100835.0796237316
SPIN,Success,8111353,265957,3183797,873715.2,1155168.2782052837
SP,Failed,NA,NA,NA,NA,NA
ST0Rewards,Success,4950158,351807,501434,402460.3333333333,69991.43158193644
STAKER,Failed,NA,NA,NA,NA,NA
STAR,Failed,NA,NA,NA,NA,NA
STEAGLE,Failed,NA,NA,NA,NA,NA
STECHAI,Success,8538323,422152,3461448,1198886.5,1306363.4604206632
STONES,Failed,NA,NA,NA,NA,NA
SUPERSHIDO,Success,7243438,265945,2635100,875165.25,1016192.8420977425
SUS,Failed,NA,NA,NA,NA,NA
SVM,Success,8538503,422152,3461448,1198931.5,1306337.8723524208
SWIFTAI,Success,8538275,422152,3461400,1198874.5,1306342.6768617223
SYA,Success,7243334,265957,2634984,875139.25,1016140.8195942566
SYNF,Success,6585875,181525,965480,355387.25,240176.15030678525
SadHamster,Success,8163685,265957,2916371,736818,974889.3230989523
SafeDepositsSender,Failed,NA,NA,NA,NA,NA
SafeMoonHQ,Success,7729986,265957,2802466,797441.8,1002658.829851989
SafeScanAI,Success,4968962,186711,336530,245239.4,56296.12560949465
SatoshiAI,Failed,NA,NA,NA,NA,NA
SatsERC20Token,Failed,NA,NA,NA,NA,NA
ScaliaInfrastructure,Failed,NA,NA,NA,NA,NA
Scorpion,Failed,NA,NA,NA,NA,NA
SecDao,Success,3742765,0,0,0,0
SedonaAI,Success,7709485,414120,2656658,991677,961376.5257153411
SendMessage,Success,3742777,0,0,0,0
SendTokens,Success,3742765,0,0,0,0
SentinelAiStake,Failed,NA,NA,NA,NA,NA
ShelonMusk,Success,8068876,265957,2821598,721016.5,939578.3506768254
SherlockAI,Success,8414857,422152,3337958,1168020,1252890.4264050787
Shinthentic,Success,8230958,265941,2689016,641168.7142857143,836196.4294130065
SigToken,Failed,NA,NA,NA,NA,NA
SimpleERC20Token,Success,3742777,0,0,0,0
SimpleSecureSponsorship,Success,6685518,181537,817322,326971.22222222225,203202.93888227863
SkyBox,Failed,NA,NA,NA,NA,NA
SmartTVs,Success,8092233,265957,2844967,724911.3333333334,948285.9037701774
SmokedTokenBurn,Failed,NA,NA,NA,NA,NA
SmolToken,Success,3742777,0,0,0,0
SnakeWIFHat,Failed,NA,NA,NA,NA,NA
Snaptorn,Success,8070052,265957,2822666,721212.5,939968.230025134
SociumAI,Success,8049085,422140,2972234,1076580,1094543.500662034
SoftDAO,Success,6585671,181537,965480,355363.25,241559.87430798085
SolarEclipse,Failed,NA,NA,NA,NA,NA
SorosChain,Success,3742777,0,0,0,0
SoulBoundERC20,Failed,NA,NA,NA,NA,NA
SparkLender,Failed,NA,NA,NA,NA,NA
SpeysX,Success,8067775,265957,2820557,720835,939194.0494782393
SphynxAI,Success,7243390,265957,2635100,875153.25,1016199.5366396736
SphynxToken,Failed,NA,NA,NA,NA,NA
SpiceAI,Failed,NA,NA,NA,NA,NA
Spotlight,Success,6760497,243313,967316,377215,226739.5170349668
SpreadNode,Success,9149043,367631,3751702,1081253.2,1335680.870741271
StakeStone,Success,6585899,181537,965468,355390.25,240169.12566915737
StandardERC20,Success,3742777,0,0,0,0
Standard,Failed,NA,NA,NA,NA,NA
Starecat,Success,8576137,422152,3499262,1208340,1322736.4994546345
StateStreetCoin,Success,7243642,265945,2635268,875219.25,1016258.7881202737
Steak,Failed,NA,NA,NA,NA,NA
StrategyExecutor,Success,3742777,0,0,0,0
Streamr,Success,6760509,243325,967304,377216.5,226734.55916555817
SuperAPE,Success,7245504,265957,2637202,875681.75,1017107.9466596392
SuperApe,Failed,NA,NA,NA,NA,NA
SuperBabyInuTrumpAIPepeCorgiCatWifHat,Success,8070826,265945,2821598,721341.5,939432.9787550485
SuperGrok,Success,7245480,265957,2637178,875678.75,1017095.8566033427
SuperShibaInu,Success,9186939,265957,3317339,777737.4285714285,1040272.3784756508
SuperSoakerBot,Success,8049169,422128,2972234,1076598,1094533.388468118
SuperTrumpCoin,Success,8446897,422140,3369854,1176030,1266680.587110855
SuperVitalik,Failed,NA,NA,NA,NA,NA
SupermindAi,Success,8068984,265957,2821598,721034.5,939570.2813853701
SwampDAO,Success,7241486,265957,2633184,874677.25,1015368.2621338366
Swarm,Success,7771167,265957,2843635,805678,1019122.8673790026
SwiftAI,Failed,NA,NA,NA,NA,NA
SwiftSwap,Success,7387786,265957,2779460,911252.25,1078698.7125653704
Symbiotic,Success,7730154,265957,2802478,797475.4,1002648.1434552402
SymboticAI,Success,7730118,265957,2802478,797468.2,1002651.716934729
SyncNode,Success,3742777,0,0,0,0
SyneralisticsStaking,Success,9132230,434481,1452342,673684.625,344284.1681401926
SynthTPU,Failed,NA,NA,NA,NA,NA
SynthesisAI,Success,7664455,414120,2611616,980422.5,941871.4322402235
Synthesis,Success,7487217,265957,2878903,936110,1121757.1005135202
TANKWARS,Success,7572639,265957,2644627,765974.8,939485.0904829517
TANKWAR,Success,3742777,0,0,0,0
TAOBOX,Success,7902922,265957,2975390,832029,1071817.7687345922
TAOFY,Success,7636304,265945,2677471,778705.4,949767.1807057981
TAORA,Success,7741742,186711,3393428,999741.25,1382026.7671435266
TBUS,Failed,NA,NA,NA,NA,NA
TCAI,Success,7399193,265957,2790903,914104,1083658.3744098046
TCG,Success,8106181,265957,3178577,872680.8,1153075.740049959
TDB,Success,7627711,265957,2700047,776986.8,961683.1926607431
TENSORGPU,Success,8748411,399544,3271848,1001129.2,1135561.8634570993
TEN,Success,6585875,181525,965480,355388.75,240174.60900184163
TESTING,Success,8654696,426269,3565518,1227979.75,1349648.8665616652
THUMB,Success,9087859,169661,3326948,534509.4,932416.9811853708
TIMA,Failed,NA,NA,NA,NA,NA
TOKEAI,Failed,NA,NA,NA,NA,NA
TOKENSENTRYBOT,Success,7307845,265957,2699435,891267,1044037.9116207898
TOR,Failed,NA,NA,NA,NA,NA
TRUMPA,Success,8069944,265945,2822666,721194.5,939976.3709639638
TRUMPINU,Failed,NA,NA,NA,NA,NA
TRUMPI,Success,8163649,265945,2916383,736812,974897.4500081192
TRUMP,Failed,NA,NA,NA,NA,NA
TSFabric,Failed,NA,NA,NA,NA,NA
TSINU,Success,8163649,265957,2916383,736812,974897.3806244088
TUNA,Success,8922625,265957,2617229,575538.6666666666,723474.5709316027
TVPN,Success,8068864,265957,2821598,721014.5,939579.247469091
TaasAI,Success,7417665,265945,2809399,918722,1091670.2267289788
Tabichain,Success,6585887,181537,965480,355388.75,240173.6329849459
Taiko,Success,6585875,181525,965480,355387.25,240175.26824006566
Tamagotchai,Failed,NA,NA,NA,NA,NA
Taornado,Failed,NA,NA,NA,NA,NA
TaxHelperUniswapV2,Failed,NA,NA,NA,NA,NA
Tcloud,Failed,NA,NA,NA,NA,NA
TellorMagic,Failed,NA,NA,NA,NA,NA
TellorManagementContract,Success,9077352,199737,782545,333410.9375,129400.58523557223
TempusSwap,Success,8637648,426269,3548410,1223720.75,1342231.034131117
TensorArt,Success,8749083,399544,3272640,1001261.2,1135891.2781208244
TensorChain,Success,5033626,1290849,1290849,1290849,0
TensorScanAI,Failed,NA,NA,NA,NA,NA
TensorSpace,Failed,NA,NA,NA,NA,NA
TensorVerse,Success,7891274,265957,2963718,829704.2,1067144.802493907
Tensor,Success,6585839,181537,965480,355384.25,240174.89684537702
TeslaAI,Failed,NA,NA,NA,NA,NA
Test,Failed,NA,NA,NA,NA,NA
Testing3,Success,7949600,455949,3294913,1402274.3333333333,1338297.6355448323
TetherToken,Success,5199719,1456942,1456942,1456942,0
TheHalvingIsNear,Failed,NA,NA,NA,NA,NA
TheIndifferentDuck,Success,5807169,265929,1198819,516098,394411.942918188
TimeAI,Failed,NA,NA,NA,NA,NA
TitanEcosystem,Success,6377828,232789,1197618,527010.2,351785.37123729294
TodayAI,Success,6585863,181537,965468,355385.75,240170.16112474818
TokenRescueContract,Success,4413116,263990,406349,335169.5,71179.5
TokenSale,Success,4511203,232777,286530,256146,22498.206165529435
TokenSwapper,Failed,NA,NA,NA,NA,NA
TokenUpgrader,Failed,NA,NA,NA,NA,NA
TokenVestingSTEAK,Failed,NA,NA,NA,NA,NA
TokenizedStrategy,Failed,NA,NA,NA,NA,NA
TransparentUpgradableProxy,Success,3742777,0,0,0,0
TrestleStakingPool,Failed,NA,NA,NA,NA,NA
TrezorTensorUnit,Failed,NA,NA,NA,NA,NA
TricryptoLpOracle,Failed,NA,NA,NA,NA,NA
TrigonFinance,Success,7487277,265957,2878891,936125,1121741.6946862142
TruflationToken,Success,6585875,181537,965468,355388.75,240169.7849318009
Truflation,Success,6585875,181537,965468,355388.75,240169.71287026908
Trump6900,Success,8262463,265957,2989557,753281,1000376.8023616568
TrumpAI,Failed,NA,NA,NA,NA,NA
TrumpsLambo,Success,8163625,265957,2916323,736810,974871.4376800325
Trusty,Success,5760227,185847,218907,201746.2,7426.05193625792
Tsukiyomi,Failed,NA,NA,NA,NA,NA
Turtule,Failed,NA,NA,NA,NA,NA
Twenty30COIN,Success,7200654,265957,2592328,864469.25,997675.3645293079
UAPCoin,Failed,NA,NA,NA,NA,NA
UGLYToken,Success,5149130,311640,419868,351588.25,42335.88864294099
ULTI,Success,8106085,265957,3178517,872661.6,1153055.3192183971
USD,Success,8092185,265957,2844955,724903.3333333334,948284.1224751975
UltronAI,Success,7487193,265945,2878903,936107,1121758.8927650629
UnibitToken,Success,5677952,67072,569249,322529.1666666667,149727.62075116788
UniswapFrontRunner,Failed,NA,NA,NA,NA,NA
UniswapWrapperV3,Success,3742765,0,0,0,0
UtilReceiver,Success,4788401,170303,299482,261406,53205.66831175039
UtilStorage,Success,4902092,153253,280905,231863,52373.30070942636
Utopai,Success,7487193,265957,2878903,936104,1121760.5039136028
VCLOUD,Success,8106217,265957,3178625,872690.4,1153094.9372502856
VIO,Success,7417149,265945,2808847,918593,1091426.120569551
VISIONBOT,Success,4969046,186711,336530,245258.6,56287.08461663297
VITALIKE,Success,7206471,265957,2597905,865923.5,1000056.0895931037
VITALIKPEPE,Success,8068876,265957,2821598,721016.5,939578.3096541679
VLS,Success,7961005,265957,2743304,703040,912571.3059933089
VOAI,Failed,NA,NA,NA,NA,NA
VOICEAI,Failed,NA,NA,NA,NA,NA
Vault101,Success,7576709,262312,2979354,958486,1166830.40853909
Venom,Success,6585863,181525,965468,355385.75,240171.38595945918
VexarisStaking,Failed,NA,NA,NA,NA,NA
VictoriaVR,Success,6585659,181537,965480,355363.25,240175.19019704658
VirtualVersionsErc20Upgrader,Success,4861045,211601,522436,372756,127157.0053778661
VitalikStaking,Failed,NA,NA,NA,NA,NA
VitruveoOTCSale,Failed,NA,NA,NA,NA,NA
VoiceAi,Success,7299736,265957,2691458,889239.75,1040602.765883883
VoidZ,Failed,NA,NA,NA,NA,NA
Voidz,Failed,NA,NA,NA,NA,NA
W3BFrensIPLicense,Success,9910107,150671,488566,237205,81234.48339600237
WBTCStakingContract42,Failed,NA,NA,NA,NA,NA
WELL,Success,6544709,169661,959613,350241.5,239407.75751320174
WETHX,Failed,NA,NA,NA,NA,NA
WFC,Success,3742777,0,0,0,0
WIFPEPEMOGINU,Success,8069008,265957,2821598,721038.5,939568.4883065115
WWFToken,Failed,NA,NA,NA,NA,NA
Waifu,Success,7354494,265957,2746240,902932.25,1064323.7266688116
WatosAI,Success,7771452,243325,2919873,805739.8,1057283.4905408106
WenWenCoin,Success,6585923,181537,965480,355393.25,240173.94532127646
W,Success,6585875,181537,965480,355387.25,240174.69719391238
WinAI,Failed,NA,NA,NA,NA,NA
Winna,Success,3742777,0,0,0,0
WnsRegistrar,Failed,NA,NA,NA,NA,NA
WnsRegistry_v3,Success,5347511,355528,1249206,802367,446839
X3AI,Success,8637564,426269,3548434,1223696.75,1342258.4934254235
XANABridgeFacet,Success,3742765,0,0,0,0
XBXRouterV1,Failed,NA,NA,NA,NA,NA
XCryptoBotsAI,Failed,NA,NA,NA,NA,NA
XEDOAIPrivateSale,Success,4511239,232789,286530,256154,22492.804197490954
XGW_STAKING,Failed,NA,NA,NA,NA,NA
XMiner,Failed,NA,NA,NA,NA,NA
XOLO,Failed,NA,NA,NA,NA,NA
XORAI,Success,8106157,265957,3178589,872676,1153084.1162307286
XOWED,Success,3742777,0,0,0,0
XPP,Success,6585887,181537,965480,355390.25,240174.0002033682
XRATIOStaking,Failed,NA,NA,NA,NA,NA
XREX,Success,6585899,181537,965480,355391.75,240172.93597257684
XROOTAI,Success,8497855,422152,2983271,951015.6,1016206.43702854
XZK,Success,6345410,205802,1954579,650658.25,752844.9895391398
Xterio,Success,6585467,181537,965480,355336.25,241559.56454296628
Y8U,Success,6544673,169649,959613,350237,239408.34807447714
YHWH,Success,3742777,0,0,0,0
YoungPeezy,Success,8145487,265957,2870577,733785,955913.0840799981
YoungPepe,Success,7243426,265957,2635100,875162.25,1016194.4407421187
ZAI,Success,6548368,181541,928236,350698.875,235330.87496673566
ZEUS,Success,6544709,169649,959613,350241.5,239407.8319969921
ZFC,Success,3742777,0,0,0,0
ZGASSWAP,Success,5164020,167733,1253534,710633.5,542900.5
ZION,Success,3742777,0,0,0,0
ZKLT,Success,7417161,265957,2808847,918596,1091424.3262528556
ZKMEVTOKEN,Success,7892270,265957,2964798,829901,1067586.2806847978
ZKMEV,Success,7891178,265957,2963706,829682.6,1067149.5370804598
ZKT,Failed,NA,NA,NA,NA,NA
ZK,Success,6341959,205802,1951140,649795.5,751357.6219622385
ZRO,Success,6341839,205802,1951056,649774.5,751321.250155185
ZXEncrypt,Success,7169512,265945,2561162,856683.75,984178.110456226
Zama,Success,6934722,169649,1033420,354660.55555555556,248065.8613424674
ZedToken,Success,7178119,243325,2326588,687068.4,820039.0614219789
Zelenskyy,Success,7443418,265957,2834936,925160.25,1102696.483192083
ZenithCoin,Failed,NA,NA,NA,NA,NA
ZeroLend,Success,6585875,181537,965480,355387.25,240173.89937956934
ZestyAiToken,Success,6946453,265957,2338187,800922,887647.7170378461
Zeus,Failed,NA,NA,NA,NA,NA
ZhongHua,Success,7521642,437893,2325026,944716.25,797435.6002485013
Zircuit,Success,6934722,169661,1033420,354660.55555555556,248065.84350849324
ZkLink,Success,6585887,181537,965480,355388.75,240173.6329849459
Zkasino,Success,6585887,181537,965468,355390.25,240169.12566915737
Zklock,Failed,NA,NA,NA,NA,NA
aerox,Success,7242518,265957,2634276,874935.25,1015849.5612755304
assemblyerc20creator,Success,3742777,0,0,0,0
babyman,Failed,NA,NA,NA,NA,NA
