Contract Name,Status,Total Gas Used,Min Gas Cost for a Facet,Max Gas Cost for a Facet,Average Facet Gas Cost,Facet Gas Cost Stdev
DominoAI,Success,7557769,265957,2949419,953751,1152282.360426254
DoonInu,Success,3742753,0,0,0,0
Dopamine,Success,6585899,181537,965480,355390.25,240172.72500574976
DorkLord,Success,8166047,265957,2918505,737211.6666666666,975667.4519836266
DorkPepe,Success,7245480,265957,2637202,875675.75,1017111.343937913
Draftzy,Failed,NA,NA,NA,NA,NA
Dragon,Success,8197879,265957,2846659,742517,941436.9867323393
DramaAI,Success,7487169,265957,2878879,936098,1121750.1125243981
DreamAI,Success,7889966,265957,2962446,829437.8,1066642.026994324
DropsTier1,Failed,NA,NA,NA,NA,NA
DropsTier3,Failed,NA,NA,NA,NA,NA
DrpepeETH,Success,8892353,445463,3183617,1029915.2,1077416.8417884323
DssSpell,Success,3742753,0,0,0,0
DuckToken,Success,8538431,422152,3461448,1198913.5,1306348.1067511255
EARNM,Success,6585863,181525,965468,355385.75,240169.78960661872
EARN,Success,7775530,422156,2698667,1008197.25,976090.8613244914
ECLIPSE,Failed,NA,NA,NA,NA,NA
EDWARD,Success,7036531,424767,1951715,823441.5,651555.7939119643
EELFToken,Failed,NA,NA,NA,NA,NA
EGG,Failed,NA,NA,NA,NA,NA
EGL,Success,6341863,205802,1951068,649780.5,751324.7345407644
EGO,Failed,NA,NA,NA,NA,NA
ELA,Success,7243346,265957,2634984,875142.25,1016139.1212236577
ELONCAT,Success,6401271,265957,1792837,664623.5,651521.3143882938
ELSAPOPEPE,Success,7727992,265957,2800388,797045.4,1001818.221844582
ELSAPO,Success,8163649,265957,2916371,736814,974891.0365883632
ELUMP,Success,7406642,265957,2798400,915972.25,1086907.8093703198
ELYS,Success,6585875,181537,965468,355388.75,240168.91468961484
EMS,Success,3742777,0,0,0,0
EPEP,Success,8163493,265957,2916323,736788,974881.2996341316
ERC20ByMetadrop,Failed,NA,NA,NA,NA,NA
ERC20Fees,Failed,NA,NA,NA,NA,NA
ERC20USDT,Failed,NA,NA,NA,NA,NA
ERC20,Success,7955021,239897,1833695,421224.4,471397.77736773435
ERC314Factory,Success,8138094,199745,4195584,2197664.5,1997919.5
ESCROW,Success,8103663,265957,3176095,872177.2,1152086.6262845688
ETH314,Success,3742777,0,0,0,0
ETHOFMEME,Success,6314322,243325,1115428,428592.8333333333,310549.9322344244
EVERY,Success,6544685,169649,959613,350240,239408.38880613603
EVToken,Success,3742777,0,0,0,0
EXPELL,Failed,NA,NA,NA,NA,NA
Earth,Failed,NA,NA,NA,NA,NA
EchoBlock,Success,7243582,265957,2635268,875204.25,1016267.1800123171
EclipseCoin,Failed,NA,NA,NA,NA,NA
EclipseStake,Success,7387774,265957,2779460,911252.25,1078698.7130326
EcomAI,Success,7357736,265957,2749434,903739.75,1065701.5525780132
EigenLayer,Success,6585899,181537,965480,355391.75,240172.93597257684
ElonAI,Success,8162437,265957,2915207,736610,974461.8745216938
ElonBotAI,Success,8072068,265957,2824814,721548.5,940778.4603574761
Elon,Success,8197879,265957,2846659,742517,941436.9868088181
ElongatedDoge,Failed,NA,NA,NA,NA,NA
Entangle,Success,6585899,181537,965480,355391.75,240172.93597257684
Error404,Failed,NA,NA,NA,NA,NA
EscrowAI,Success,8106157,265957,3178637,872676,1153108.0834681543
EternalsTAO,Failed,NA,NA,NA,NA,NA
EtherFiGovernanceToken,Success,6249225,2506448,2506448,2506448,0
Etherblocks,Success,7299736,265957,2691422,889239.75,1040582.0809552639
EthereumMainnet,Success,3742765,0,0,0,0
EthereumOfMeme,Failed,NA,NA,NA,NA,NA
Everyworld,Success,6585887,181537,965480,355388.75,240173.56092456868
EvoNFT001,Failed,NA,NA,NA,NA,NA
EweNation,Success,7772259,265957,2844727,805896.4,1019559.5600506328
ExaProtocol,Success,3742777,0,0,0,0
ExpositionAi,Success,8357357,422140,3280434,1153648,1227978.3179183174
Exverse,Success,6585887,181537,965480,355390.25,240173.52317374098
F3AI,Failed,NA,NA,NA,NA,NA
