timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth,ethereum-metrics-exporter-3-prysm-geth,ethereum-metrics-exporter-4-prysm-geth,ethereum-metrics-exporter-5-prysm-geth
1716786627,0.0,0.0,0.0,0.0,0.0
1716786642,0.0,0.0,0.0,0.0,0.0
1716786657,0.0,0.0,0.0,0.0,0.0
1716786672,0.0,0.0,0.0,0.0,0.0
1716786687,0.0,0.0,0.0,0.0,0.0
1716786702,0.0,0.0,0.0,0.0,0.0
1716786717,0.0,0.0,0.0,0.0,0.0
1716786732,0.0,0.0,0.0,0.0,0.0
1716786747,0.0,0.0,0.0,0.0,0.0
1716786762,0.0,0.0,0.0,0.0,0.0
1716786777,0.0,0.0,0.0,0.0,0.0
1716786792,0.0,0.0,0.0,0.0,0.0
1716786807,0.0,0.0,0.0,0.0,0.0
1716786822,0.0,0.0,0.0,0.0,0.0
1716786837,0.0,0.0,0.0,0.0,0.0
1716786852,0.0,0.0,0.0,0.0,0.0
1716786867,0.0,0.0,0.0,0.0,0.0
1716786882,0.0,0.0,0.0,0.0,0.0
1716786897,0.0,0.0,0.0,0.0,0.0
1716786912,0.0,0.0,0.0,0.0,0.0
1716786927,0.0,0.0,0.0,0.0,0.0
1716786942,0.0,0.0,0.0,0.0,0.0
1716786957,0.0,0.0,0.0,0.0,0.0
1716786972,210098.0,0.0,0.0,210098.0,0.0
1716786987,1615922.0,1615922.0,210098.0,1615922.0,210098.0
1716787002,1023071.0,1023071.0,1615922.0,1023071.0,1615922.0
1716787017,257158.0,257158.0,257158.0,257158.0,257158.0
1716787032,129849.0,1911898.0,1911898.0,129849.0,1911898.0
1716787047,93558.0,93558.0,129849.0,93558.0,129849.0
1716787062,215578.0,215578.0,93558.0,215578.0,93558.0
1716787077,76520.0,76520.0,76520.0,76520.0,76520.0
1716787092,0.0,48658.0,48658.0,0.0,48658.0
1716787107,0.0,0.0,0.0,0.0,0.0
1716787122,0.0,0.0,0.0,0.0,0.0
1716787137,0.0,0.0,0.0,0.0,0.0
1716787152,0.0,0.0,0.0,0.0,0.0
1716787167,0.0,0.0,0.0,0.0,0.0
1716787182,0.0,0.0,0.0,0.0,0.0
1716787197,0.0,0.0,0.0,0.0,0.0
1716787212,295266.0,0.0,0.0,295266.0,0.0
1716787227,0.0,0.0,295266.0,0.0,295266.0
1716787242,81996.0,81996.0,0.0,81996.0,0.0
1716787257,0.0,0.0,0.0,0.0,0.0
1716787272,0.0,0.0,0.0,0.0,0.0
1716787287,0.0,0.0,0.0,0.0,0.0
1716787302,0.0,0.0,0.0,0.0,0.0
1716787317,0.0,0.0,0.0,0.0,0.0
