timestamp,beacon-metrics-gazer--adb8a3706cbb47fb82d9985aa3b8fb22,cadvisor,cl-1-prysm-geth--27729cf71bb04432a94650b5b702ab7e,cl-2-prysm-geth--e6c16ad2d5ec49e7995c5ee30e3dc7b7,cl-3-prysm-geth--3876283c7cb344b8ac545b746e4d7052,cl-4-prysm-geth--e16333e3e0344b948c69cf2bf5cf1875,cl-5-prysm-geth--d28ac8a37cb6452c8a5cc25e1f30e477,dora--64988aa60c36407c90a25af1983c6282,el-1-geth-prysm--ae3b6681daa54b64aa809f227c29f71e,el-2-geth-prysm--30f4377f71764bcc81092d2a286547b5,el-3-geth-prysm--0703b0d4af9f4ab7a268ca908335d8ac,el-4-geth-prysm--c6f41dbce1874f5e90797b78a81c755f,el-5-geth-prysm--173649707c65475d9880db527c5659eb,el-forkmon--dfae7caaa2884f02aa5e94bc2935d6b3,ethereum-metrics-exporter-1-prysm-geth--705c8ba6cd00412e88c3a8d8515e4ebb,ethereum-metrics-exporter-2-prysm-geth--261f426d7d08410c8e4c931b839d23a0,ethereum-metrics-exporter-3-prysm-geth--1802f40095554dbbbfcd8d1666edfc56,ethereum-metrics-exporter-4-prysm-geth--793030750ecb4752b815a886da385db3,ethereum-metrics-exporter-5-prysm-geth--11187d13911140efb2c64a46648351ee,grafana--d1165000f08c4f6db2d22b9e023df1b0,helpers-grafana-1,kurtosis-api--67d1f576dff84fd4937a040c1f54d2af,kurtosis-engine--7b584146a4904e41ad7870a9f16ce66d,kurtosis-logs-aggregator,kurtosis-logs-collector--67d1f576dff84fd4937a040c1f54d2af,kurtosis-reverse-proxy--7b584146a4904e41ad7870a9f16ce66d,portainer,prometheus,prometheus--4bbe2a8ffb494cbba9e1452f6adb22db,validator-key-generation-cl-validator-keystore--05cfb3e1f30e491dbb8b6921af40ad43,vc-1-geth-prysm--8f09d13b3cab471e90b7e3c145a3e090,vc-2-geth-prysm--8571b98c411042de8183e2898ddd55e9,vc-3-geth-prysm--3ee7cc80f32640c4b42490d6394928a0,vc-4-geth-prysm--a4774913f9804976810ee21f0ca66f26,vc-5-geth-prysm--e30e4006f85949a1a8c647e72dddd18b
1716786627,37.070306509212806,649.5566654199027,73726.42913420292,73064.95856955953,76310.23672134128,72408.98412628715,72756.94922022318,423.3247869170536,6444.0788752166,5318.876944041876,5744.675626199937,5462.141779788839,4440.842462238683,17240.857584342004,5291.435667716326,4687.16207448419,4052.1891802918904,4704.288890789361,4192.103281810531,19.439069415715846,3.320200097392537,9.56937799043062,0.0,22938.11747799533,25793.93560208254,13.962401898156596,0.0,51829.22614094604,33596.74410340692,9.403546480386888,2509.7669256381796,2452.960671674768,2474.489567975696,2270.9456587395694,2267.674849777738
1716786642,42.83259154805447,654.4276457883369,77153.70300626951,76394.74838766288,76043.85338955563,77673.69319969436,77548.10931399887,330.8098238738839,7535.581420646145,5472.663139329806,5980.748875363853,5202.072876605174,5230.063699844582,17803.879357209647,6778.443249107265,7087.656730143777,5234.296539760795,6269.380149518443,5635.634533731719,25.05953308258963,0.9255382445624628,15.311004784688993,0.0,24218.000629864582,27079.28957254318,19.622538665939906,0.0,53932.01793323864,34203.74157058951,14.96559249938757,2414.4977319769237,2191.81654075015,2401.7997853047987,2420.4003603682786,2058.379796654641
1716786657,46.19014022400564,675.5823401950163,75689.37669613937,75551.74150047069,77615.8000612236,75512.39000043781,68010.34366197184,333.8296406586813,6920.185272202457,5185.782395538164,6471.149890661875,4924.801525701867,5092.90932344844,18121.498971081986,6426.434358006882,7158.586724710332,5209.664465464929,6507.2108353769645,5382.958738678296,21.56565770734905,0.0,11.475657369658535,0.0,23141.897803832355,26182.371088585278,12.173634470607078,0.0,52794.18150238818,34825.866459971214,11.870760442699034,2503.5491454923595,2260.4790419161677,2612.653168782116,2503.5389282103138,2347.8251171090787
1716786672,48.9022406938923,697.3248696440714,75675.25410304923,75817.43578338707,67244.16723904904,66575.20664839694,78348.05750059987,414.11806151881456,5611.340905609174,4620.4162986115825,5723.423643677906,5576.547829480499,5766.455849622072,14730.806762736867,5935.894926827146,6452.254212182929,6198.64674248435,6205.71350774886,6180.858279822737,20.414926758136147,0.0,13.329200247985119,0.0,19441.848149864305,22189.972069555814,12.921227731272804,0.0,56676.86758203398,33959.247719172396,13.063102161270724,2414.662537611737,2353.0033468381184,2610.9565256104893,2378.1588646847204,2354.856151575912
1716786687,43.96603330155422,685.7085409173164,73687.07513719822,75985.73427836214,77672.39493116966,73390.89612811232,77213.039049236,409.48237788181257,5277.905131370128,4526.910065462853,5971.935635476579,6012.731559447626,5597.941189837749,16144.917199723626,5369.377615062761,4708.5666231438245,4926.826622700452,4895.47678614918,5506.82720118383,24.062232184059592,0.0,9.175314036045878,0.0,22387.024953707787,24732.343533886582,9.058361730578442,0.0,53737.73422498842,32810.735290803794,9.54458685574039,2648.9634341677724,2246.7619958275386,2376.858007376814,2545.9865664693757,2392.7641679460653
1716786702,35.3023114090454,672.3599388582442,73897.43303571429,75761.32220513947,75589.34623617552,75720.1863632291,77684.68933914372,393.0400296354406,5835.05655708731,5449.763856710033,5514.376489277204,6095.599196318621,5636.641119329828,20863.263382903897,6223.849876283693,5080.702779213192,5106.084348137537,5031.064271668766,5940.761353517364,21.792626421619705,0.0,7.927878952613934,0.0,24073.047686442802,25976.63561596021,8.17699693946686,0.0,55313.51019573075,32917.56585758657,7.9494866902879995,2373.540516357129,2126.344877573671,2226.2677348610305,2265.7559279729007,2304.2940721933987
1716786717,31.04934470929721,644.9884220972543,63665.72399480009,66824.7328380519,75294.96243434321,75834.48464537309,66351.77021008593,391.2494283163098,6765.444165537465,5522.360072389509,5867.413450746783,6071.768857520952,5497.675853105104,20032.704593854578,6297.5452680796625,5636.663103470843,5079.117999231863,5149.994388957469,5938.1473344393125,18.228991925563086,0.0,4.571080298643913,0.0,22879.24230465667,26283.572696828713,4.795944001644324,0.0,53634.739004616844,34393.90561129691,4.668326516094611,2684.2221048926435,2178.9148732982435,2360.263955769574,2479.26842624028,2256.2613995284487
1716786732,29.90329337314497,658.1759526849924,63058.27955558512,64410.17374171592,62543.80965005302,75653.02337903173,66879.72289421596,407.59277625296954,7008.888987902957,5949.057022409585,5405.6891296986105,6335.011770860581,6178.095576478949,19304.068475366912,5756.529745996811,5309.860439660677,4547.402296823682,4454.665033791446,5828.557269671635,10.237044451521909,0.0,3.079833688980796,0.0,19421.701739961336,22311.478748925,3.3297657271970507,0.0,53837.36088325278,33461.887889524856,3.0906441785509293,2623.2876712328766,2159.8791322779957,2278.1137968196717,2184.1393678797817,2382.623757863069
1716786747,29.919293708476392,654.145885286783,73186.86993978485,74216.35079062465,72936.30754419744,74418.60771442998,73587.66804943205,401.29099239397834,6769.789734075448,5761.6012925231125,5516.636700628176,6351.517767881486,6265.89270877776,17575.198399896766,4899.010080828262,4824.8616451448,4125.70771208806,4052.4837868556524,5277.370817659869,8.600074592483711,0.0,3.090917119265245,0.0,22314.297062912374,25493.38087809227,3.071455211601325,0.0,53315.114798718125,33772.96798435474,3.0310247028513286,2500.20015122537,2310.218896831229,2437.138760697164,2291.036789297659,2326.6515906645886
1716786762,28.818704970773478,654.2281404145192,75399.39064776793,74066.35165271921,75801.09921769386,74452.7597508302,76800.85681476901,305.11876144057516,6488.233037749047,6410.680129887461,5851.3141090273575,6308.24773944342,6428.94097183507,22319.56859478081,6342.050398839739,6238.578680203046,5420.055586436909,5376.350474178713,6084.642541924096,10.338388668761672,0.0,0.0,0.0,24074.81149053466,26024.5670995671,0.0,0.0,52677.85656973087,32634.146341463413,0.0,2272.281330496136,2146.031604520026,2385.366183531321,2092.0428868902573,2337.8173796444485
