timestamp,beacon-metrics-gazer--889f401b7ac24b45ad5daf2e27ffaa06,cadvisor,cl-1-prysm-geth--7fc964e5142748bcb0dab76baea76b6b,cl-2-prysm-geth--b4b812a13e874086a0bc30c027faf4b5,cl-3-prysm-geth--6d7b63950dff472593c44297957e9329,cl-4-prysm-geth--db5fcf5dd652488c858ddca728d81a51,cl-5-prysm-geth--5ac35d02641d44d598ccf868dfdbdc8d,dora--d22603b309a34a4ba1a3a6b2ac2556b4,el-1-geth-prysm--6df8fe6e0f84467bae8dcb950344f104,el-2-geth-prysm--81461ecf4fe34400a4f469d25647af08,el-3-geth-prysm--61039548227e41ebbd20da4b9441c7a3,el-4-geth-prysm--37430a8575e6418a817b0535dfd7982b,el-5-geth-prysm--4e779ddb7bec422ca4c887c4aae8685a,el-forkmon--8074a951bb3741f6978b424a5b05bedf,ethereum-metrics-exporter-1-prysm-geth--bbde63a5d8ab41b0a8d6516d98475e87,ethereum-metrics-exporter-2-prysm-geth--aa838ce8f2b54e1ea5d738e02f609313,ethereum-metrics-exporter-3-prysm-geth--949464493e7a4a55a4196e9d4fc40d4b,ethereum-metrics-exporter-4-prysm-geth--a2b6e36f9f574c8bbdd037d62bf994fa,ethereum-metrics-exporter-5-prysm-geth--0f0a6050cd9c43ca93397acfdc1c5220,grafana--7cfae55ca3bc401e8bd611634a1d2f7d,helpers-grafana-1,kurtosis-api--c6aa81f473fd49ecb33f78f539638112,kurtosis-engine--2f2b4f032bfd4da298afd2bca70adaa4,kurtosis-logs-aggregator,kurtosis-logs-collector--c6aa81f473fd49ecb33f78f539638112,kurtosis-reverse-proxy--2f2b4f032bfd4da298afd2bca70adaa4,portainer,prometheus,prometheus--9379e5c5c0a24c65a2911623416f6838,validator-key-generation-cl-validator-keystore--d1a3dc515e2347e2bcd84a6975bcb35d,vc-1-geth-prysm--fb05356dde5f4a3189f45670f09dfbdb,vc-2-geth-prysm--932f79eb055b422b9f90a5a40969ef3b,vc-3-geth-prysm--092f67016720442ebec01ff1ddada5d1,vc-4-geth-prysm--5f86c8a931a54473a245cd978251fe04,vc-5-geth-prysm--061ad92585064d768ed7c18e1108b024
1717052424,33.97368300398882,581.1269469797734,66724.31479765913,65379.778094674955,65437.339851652054,67730.1849294304,74076.3297471849,324.4828755510342,11699.62324080488,8468.526273132515,8836.089518660912,8741.391662562128,6652.291836181177,14933.68174445846,6935.023980027593,6789.643582149156,5453.9108008359635,5446.271497965078,6054.8964914639055,5.411037171472743,0.0,13.59756651230364,0.0,19313.281371438723,21556.021136241245,5.1524575382293945,0.0,55860.195705447884,34359.69855231812,2.397917237599342,2206.6509521952207,2266.127574990965,2269.973147276858,2198.764867337603,2457.0392000707902
1717052439,33.97368300398882,679.9981810327187,45791.325000000004,74353.14137297927,65149.198393353705,75199.12902206776,66854.08973928612,378.2317966684071,12730.135759079321,10053.853830150701,9280.910860915941,8741.391662562128,8081.981726159655,17084.025014212617,6618.788819875776,4870.3574694126355,4159.608378870674,4017.597675169519,5039.076177223145,6.1692823972068735,0.0,8.351688693098385,0.0,19066.723783413297,26388.778922940415,5.98004402054292,0.0,54005.87157583383,34218.176017501486,6.583477486858237,2419.186301277514,2266.127574990965,2287.1319148936172,2363.2774436342866,2614.9909084786855
1717052454,37.471198641080406,670.8858634524669,74828.40418977202,78922.23092487435,74839.84392519173,73341.49073098975,74978.01096904557,382.75599220801223,12404.407214216251,10658.333755039388,8552.916835334863,8806.050976794148,9810.460130196183,17084.025014212617,5824.9453929478905,6801.897457495623,5231.669053952664,7289.672935586296,6221.24906098477,8.906597913981015,0.0,9.795221843003413,0.0,22791.515437986392,26388.778922940415,13.157569312195482,0.0,55311.5521099383,34218.176017501486,11.792609669053267,2264.978158031733,2533.927316420685,2302.5027386871157,2402.591518666183,2191.9925388048764
1717052469,37.84373635966827,687.8945923689269,74032.64865594119,67058.95152651312,74515.85830327951,76863.65364402799,85944.74502908158,325.05992249277574,9819.128100173852,10609.885199697534,8552.916835334863,9394.13876931998,9797.360336784617,18848.372996600294,6905.449204902259,7491.61992064578,5457.2560538269745,8000.8909296508255,6038.800114863313,8.827437115770037,0.0,7.822818246469573,0.0,22386.45357942776,26623.1588739507,9.352037408149632,0.0,55311.5521099383,34111.983554626946,11.953143676786997,2264.978158031733,2544.0063517805256,2369.5108650054535,2115.9138793784564,2273.5552207055484
1717052484,37.79274298924514,675.1325829622502,66859.1683491754,64642.06486084339,68697.93824938012,64010.84584568283,64979.92373261553,383.84078520606573,8707.34795852014,11012.694847185352,8192.16740257247,9532.097517132905,9830.895081633347,12818.468063230946,6455.9037839829825,5487.237653543041,5651.761928848424,6226.981782373215,6200.798618121454,9.42887931034483,0.0,9.23178371249588,0.0,19743.81923804377,21853.414167198465,10.35488961596933,0.0,54999.73024008632,34056.62091239403,10.7042732138306,2550.261053466393,2471.938833216459,2321.597016562466,2226.3126531152748,2297.1894953828623
1717052499,37.36089030206678,658.0234351921752,73884.70492964875,64077.63842291323,73554.70142977292,77880.52218641144,73440.45298743196,395.664733511213,8989.774642888831,11407.68452982811,10495.867224289525,9532.097517132905,9770.76456418949,20499.52016942983,6251.433292863889,3551.6432700247733,4029.3054734213815,5619.324894514769,4467.849078831113,9.515394549038266,0.0,9.07676348547718,0.0,21866.70652847905,25660.39664690247,9.580838323353294,0.0,55318.13865147198,33617.135057728454,9.467775748968688,2422.3405344527496,2470.637100328892,2357.173560823993,2331.7308787678567,2447.178002894356
1717052514,42.71710247192015,663.9773295549257,77083.23577089337,73942.12446114734,75017.15409302535,76772.48281026618,80383.19476625323,429.8142881044002,9667.803258229145,8145.057078772053,11699.805469733381,9179.526381952232,9880.126668572559,18530.99545000555,5370.813600176537,6142.276235986033,5786.015923987155,6590.26540587456,6468.203750910415,11.24859392575928,0.0,10.847187479246454,0.0,24062.668704673324,25660.39664690247,9.37772121374506,0.0,56005.586464271815,33852.90350847629,9.257422469086821,1939.7590002352388,2220.451259289149,2122.696776305024,2331.7308787678567,2451.167801233125
1717052529,42.375609307458845,662.1818663838812,83296.90568081793,76714.28571428572,63467.941393910885,76772.48281026618,77149.988906146,377.58665851741904,10656.881154110373,8878.600477262798,11699.80546973338,8523.84633482338,9684.388891334009,19259.038716491024,5790.324376071421,6142.276235986033,6846.106452164984,5620.947202427177,6468.203750910415,9.5765216847894,0.0,7.82577586977909,0.0,20807.92092737252,26070.512964923742,7.135139542943348,0.0,55882.32170084459,34138.23192507243,9.415087678004001,2132.913887984091,2477.201275390756,2290.803997126249,2346.7465944930327,2241.201870371613
1717052544,39.83771713004789,678.8987734195983,67616.75626645428,66828.71467639015,64462.29830599382,63802.37374676653,66237.49583749585,406.90477798032987,11538.547923295502,10487.608841259209,10894.108070051923,8877.35817777925,9443.973229076933,18815.53414440714,5733.461555664893,6791.061452513967,6203.09646143079,6212.187086036481,6866.639065231393,7.812325617731747,0.0,7.013676669505535,0.0,20351.686491222157,21767.595406957105,9.04772675865189,0.0,53418.759006156935,34146.21859879367,9.578216399274792,2162.531560343377,2339.078040892276,2270.972565188826,2252.76896062673,2686.91663726465
1717052559,41.81129335964972,681.5513945975204,65729.32330827067,66828.71467639015,64861.59517426274,73427.74664918167,73960.00996918614,398.08845912794345,11102.872321267783,10487.608841259209,12124.31948060731,9536.59129052204,9965.25931600054,20249.53294167961,5266.294061324011,5872.71718292806,4996.369991933315,4744.845785914563,6109.476928345175,7.899862135369936,0.0,7.057163020465773,0.0,19724.344891626846,21422.175915033782,4.713698906870777,0.0,53701.000614412354,33870.32380104596,7.809885083119492,2437.0176405733187,2480.0357501955086,2292.931853128538,2159.9741593281424,2592.020504445654
