timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth,ethereum-metrics-exporter-3-prysm-geth,ethereum-metrics-exporter-4-prysm-geth,ethereum-metrics-exporter-5-prysm-geth
1717052424,0.0,0.0,0.0,0.0,0.0
1717052439,0.0,0.0,0.0,0.0,0.0
1717052454,0.0,0.0,0.0,0.0,0.0
1717052469,0.0,0.0,0.0,0.0,0.0
1717052484,0.0,0.0,0.0,0.0,0.0
1717052499,0.0,0.0,0.0,0.0,0.0
1717052514,0.0,0.0,0.0,0.0,0.0
1717052529,0.0,0.0,0.0,0.0,0.0
1717052544,0.0,0.0,0.0,0.0,0.0
1717052559,0.0,0.0,0.0,0.0,0.0
1717052574,0.0,0.0,0.0,0.0,0.0
1717052589,0.0,0.0,0.0,0.0,0.0
1717052604,0.0,0.0,0.0,0.0,0.0
1717052619,0.0,0.0,0.0,0.0,0.0
1717052634,0.0,0.0,0.0,0.0,0.0
1717052649,0.0,0.0,0.0,0.0,0.0
1717052664,0.0,0.0,0.0,0.0,0.0
1717052679,0.0,0.0,0.0,0.0,0.0
1717052694,0.0,0.0,0.0,0.0,0.0
1717052709,0.0,0.0,0.0,0.0,0.0
1717052724,0.0,0.0,0.0,0.0,0.0
1717052739,0.0,0.0,0.0,0.0,0.0
1717052754,0.0,0.0,0.0,0.0,0.0
1717052769,0.0,0.0,0.0,0.0,0.0
1717052784,0.0,0.0,0.0,0.0,0.0
1717052799,0.0,0.0,0.0,0.0,0.0
1717052814,0.0,0.0,0.0,0.0,0.0
1717052829,160630.0,0.0,0.0,160630.0,160630.0
1717052844,0.0,0.0,0.0,0.0,0.0
1717052859,0.0,0.0,0.0,0.0,0.0
1717052874,0.0,0.0,0.0,0.0,0.0
1717052889,0.0,0.0,0.0,0.0,0.0
1717052904,0.0,0.0,0.0,0.0,0.0
1717052919,0.0,0.0,0.0,0.0,0.0
1717052934,0.0,0.0,0.0,0.0,0.0
1717052949,0.0,0.0,0.0,0.0,0.0
1717052964,26684.0,26684.0,26684.0,26684.0,26684.0
1717052979,0.0,0.0,0.0,0.0,0.0
1717052994,0.0,0.0,0.0,0.0,0.0
1717053009,0.0,0.0,0.0,0.0,0.0
1717053024,0.0,0.0,0.0,0.0,0.0
1717053039,0.0,0.0,0.0,0.0,0.0
