timestamp,beacon-metrics-gazer--675f3dce361d4f7da9fb6dde5b71cf03,cadvisor,cl-1-prysm-geth--a605baf59c4045a38d9e4d5f59d119d6,cl-2-prysm-geth--19001ea77c3545afa6c69ee28ba6aeef,cl-3-prysm-geth--d90a7d68dc274ecd8867ffb91b6f0de5,cl-4-prysm-geth--5be24fc6314f4152b35f9988d9d5069f,cl-5-prysm-geth--f4c42ddc242b43d7be6229d237ac1440,dora--6ad1bbd68ba74d9ea474027c4cbfe50f,el-1-geth-prysm--ae5abeea1d954559abc6f3e3e6750d6e,el-2-geth-prysm--0a52dd5b5d314aa0bb8409a102987dfb,el-3-geth-prysm--2b6ea066b8b24382a1b415d682ffb160,el-4-geth-prysm--60458066b7af49f9a4a45a63eba6a4b7,el-5-geth-prysm--35ede4594838490089a6718f61d8908e,el-forkmon--c55ed8e688eb4ca88cb9ae5d8280656b,ethereum-metrics-exporter-1-prysm-geth--1f7daa0a4737425282cb1bb09957a640,ethereum-metrics-exporter-2-prysm-geth--ca527045f38147a7bfb90eb2cd9ad76f,ethereum-metrics-exporter-3-prysm-geth--f0aaab339a2d4cfaa261c0fad2cffa1c,ethereum-metrics-exporter-4-prysm-geth--95fc04cafe5b4c78b80aab2f04c361f9,ethereum-metrics-exporter-5-prysm-geth--ac14cd1efa804a04bdfa02792a93aec7,grafana--e9468133916047cd82ef18a42a107214,helpers-grafana-1,kurtosis-api--6fce6122dc6c43d09e200f491eb776fa,kurtosis-engine--73e0d765f58b4761a30feebea23dd3b9,kurtosis-logs-aggregator,kurtosis-logs-collector--6fce6122dc6c43d09e200f491eb776fa,kurtosis-reverse-proxy--73e0d765f58b4761a30feebea23dd3b9,portainer,prometheus,prometheus--00088d92694440d2a227ca9549927893,validator-key-generation-cl-validator-keystore--2da60df637644c159167fc278b5abb0d,vc-1-geth-prysm--b96868daa3ff4844be18567ef2e373cf,vc-2-geth-prysm--64ad8039224d446bb49d93690f987a3f,vc-3-geth-prysm--84b5aadb1b4c483cb966da5ab80a4004,vc-4-geth-prysm--23c34b62238a4fd8b3ed332c76dc5b95,vc-5-geth-prysm--a9e8745b53c64ddd9873209e050c85e4
1717045975,9052160.0,301080576.0,310493184.0,280956928.0,335417344.0,312442880.0,300040192.0,40374272.0,56127488.0,47419392.0,48021504.0,46813184.0,47951872.0,28553216.0,11534336.0,8052736.0,8888320.0,9125888.0,8925184.0,160927744.0,70549504.0,60334080.0,37146624.0,53805056.0,19951616.0,103886848.0,27377664.0,1049927680.0,101048320.0,24584192.0,42389504.0,27725824.0,27021312.0,26165248.0,26779648.0
1717045990,9052160.0,301080576.0,312434688.0,288546816.0,341176320.0,314605568.0,299851776.0,29609984.0,56176640.0,48005120.0,48119808.0,48046080.0,48472064.0,28684288.0,11042816.0,8720384.0,8671232.0,9015296.0,8413184.0,160960512.0,70549504.0,60350464.0,37453824.0,54190080.0,19951616.0,103968768.0,27377664.0,1049976832.0,101158912.0,24584192.0,42446848.0,26886144.0,27045888.0,26181632.0,26791936.0
1717046005,9052160.0,301076480.0,323301376.0,290967552.0,341200896.0,322654208.0,301989888.0,29626368.0,56389632.0,47980544.0,48177152.0,48599040.0,48525312.0,28569600.0,10641408.0,8941568.0,9035776.0,9199616.0,8380416.0,162500608.0,70549504.0,60350464.0,37453824.0,54669312.0,19951616.0,103968768.0,27377664.0,1050062848.0,99844096.0,24584192.0,42491904.0,26636288.0,27897856.0,26210304.0,26812416.0
1717046020,9052160.0,301088768.0,346877952.0,322920448.0,343363584.0,325160960.0,311033856.0,29761536.0,56778752.0,48173056.0,48361472.0,48447488.0,48754688.0,29446144.0,11231232.0,8699904.0,8785920.0,8753152.0,8429568.0,162508800.0,70549504.0,60350464.0,37453824.0,54497280.0,20054016.0,103960576.0,25141248.0,1050124288.0,99958784.0,24584192.0,42512384.0,26664960.0,28151808.0,26238976.0,26841088.0
1717046035,9052160.0,305856512.0,354418688.0,321482752.0,360275968.0,323551232.0,342630400.0,29773824.0,57757696.0,48869376.0,49119232.0,48984064.0,48136192.0,30289920.0,10506240.0,9203712.0,8876032.0,8880128.0,8531968.0,162516992.0,70549504.0,60346368.0,37453824.0,55754752.0,20140032.0,103960576.0,25141248.0,832499712.0,100069376.0,24584192.0,42532864.0,27852800.0,28164096.0,26730496.0,27918336.0
1717046050,9052160.0,306266112.0,357109760.0,321269760.0,387026944.0,323575808.0,342679552.0,29786112.0,57729024.0,48996352.0,49000448.0,49045504.0,48324608.0,28655616.0,11407360.0,9605120.0,9314304.0,9043968.0,8843264.0,162521088.0,70549504.0,60411904.0,38354944.0,55709696.0,19955712.0,103960576.0,25141248.0,832675840.0,100175872.0,24584192.0,42577920.0,27873280.0,28827648.0,26783744.0,27926528.0
1717046065,9052160.0,306257920.0,359809024.0,321310720.0,387055616.0,323600384.0,344834048.0,29806592.0,58740736.0,49799168.0,49831936.0,49926144.0,49508352.0,28872704.0,10989568.0,9064448.0,8712192.0,9441280.0,8994816.0,162525184.0,70549504.0,60411904.0,38354944.0,56733696.0,19951616.0,103960576.0,25141248.0,836612096.0,100290560.0,24584192.0,42582016.0,27897856.0,28835840.0,28278784.0,25579520.0
1717046080,9052160.0,305995776.0,362598400.0,332390400.0,387104768.0,343736320.0,349155328.0,29818880.0,58753024.0,49790976.0,49442816.0,50487296.0,49352704.0,29458432.0,11251712.0,8978432.0,8519680.0,9154560.0,9338880.0,162521088.0,70549504.0,60411904.0,38354944.0,56578048.0,19988480.0,103960576.0,25141248.0,895737856.0,100401152.0,24584192.0,41902080.0,28418048.0,26370048.0,28491776.0,25600000.0
1717046095,9052160.0,306520064.0,362614784.0,343465984.0,387170304.0,343871488.0,351621120.0,29839360.0,59047936.0,50995200.0,50438144.0,50651136.0,50249728.0,28667904.0,11264000.0,8654848.0,9129984.0,9056256.0,8335360.0,163979264.0,70549504.0,60411904.0,38354944.0,56971264.0,19955712.0,103960576.0,25141248.0,896061440.0,100511744.0,24584192.0,41926656.0,28467200.0,26398720.0,26284032.0,25645056.0
1717046110,9052160.0,306003968.0,366993408.0,343523328.0,371585024.0,343904256.0,351715328.0,26013696.0,59129856.0,51523584.0,50958336.0,50688000.0,50139136.0,29650944.0,10797056.0,9097216.0,8908800.0,8224768.0,8949760.0,163991552.0,70414336.0,60411904.0,38404096.0,57454592.0,19951616.0,99020800.0,25141248.0,897933312.0,100630528.0,24584192.0,41951232.0,28061696.0,26406912.0,26304512.0,26509312.0
