timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth,ethereum-metrics-exporter-3-prysm-geth,ethereum-metrics-exporter-4-prysm-geth,ethereum-metrics-exporter-5-prysm-geth
1717045825,0.0,0.0,0.0,0.0,0.0
1717045840,0.0,0.0,0.0,0.0,0.0
1717045855,0.0,0.0,0.0,0.0,0.0
1717045870,0.0,0.0,0.0,0.0,0.0
1717045885,0.0,0.0,0.0,0.0,0.0
1717045900,0.0,0.0,0.0,0.0,0.0
1717045915,0.0,0.0,0.0,0.0,0.0
1717045930,0.0,0.0,0.0,0.0,0.0
1717045945,0.0,0.0,0.0,0.0,0.0
1717045960,0.0,0.0,0.0,0.0,0.0
1717045975,0.0,0.0,0.0,0.0,0.0
1717045990,0.0,0.0,0.0,0.0,0.0
1717046005,0.0,0.0,0.0,0.0,0.0
1717046020,0.0,0.0,0.0,0.0,0.0
1717046035,0.0,0.0,0.0,0.0,0.0
1717046050,0.0,0.0,0.0,0.0,0.0
1717046065,0.0,0.0,0.0,0.0,0.0
1717046080,0.0,0.0,0.0,0.0,0.0
1717046095,0.0,0.0,0.0,0.0,0.0
1717046110,0.0,0.0,0.0,0.0,0.0
1717046125,0.0,0.0,0.0,0.0,0.0
1717046140,0.0,0.0,0.0,0.0,0.0
1717046155,232846.0,232846.0,232846.0,232846.0,232846.0
1717046170,0.0,68389.0,68389.0,68389.0,68389.0
1717046185,0.0,0.0,0.0,0.0,0.0
1717046200,0.0,0.0,0.0,0.0,0.0
1717046215,0.0,0.0,0.0,0.0,0.0
1717046230,0.0,0.0,0.0,0.0,0.0
1717046245,0.0,0.0,0.0,0.0,0.0
1717046260,0.0,0.0,0.0,0.0,0.0
1717046275,0.0,0.0,0.0,0.0,0.0
1717046290,128727.0,0.0,0.0,0.0,0.0
1717046305,50163.0,128727.0,128727.0,50163.0,128727.0
1717046320,0.0,50163.0,50163.0,0.0,50163.0
1717046335,0.0,0.0,0.0,0.0,0.0
1717046350,0.0,0.0,0.0,0.0,0.0
1717046365,0.0,0.0,0.0,0.0,0.0
1717046380,0.0,0.0,0.0,0.0,0.0
