timestamp,beacon-metrics-gazer--675f3dce361d4f7da9fb6dde5b71cf03,cadvisor,cl-1-prysm-geth--a605baf59c4045a38d9e4d5f59d119d6,cl-2-prysm-geth--19001ea77c3545afa6c69ee28ba6aeef,cl-3-prysm-geth--d90a7d68dc274ecd8867ffb91b6f0de5,cl-4-prysm-geth--5be24fc6314f4152b35f9988d9d5069f,cl-5-prysm-geth--f4c42ddc242b43d7be6229d237ac1440,dora--6ad1bbd68ba74d9ea474027c4cbfe50f,el-1-geth-prysm--ae5abeea1d954559abc6f3e3e6750d6e,el-2-geth-prysm--0a52dd5b5d314aa0bb8409a102987dfb,el-3-geth-prysm--2b6ea066b8b24382a1b415d682ffb160,el-4-geth-prysm--60458066b7af49f9a4a45a63eba6a4b7,el-5-geth-prysm--35ede4594838490089a6718f61d8908e,el-forkmon--c55ed8e688eb4ca88cb9ae5d8280656b,ethereum-metrics-exporter-1-prysm-geth--1f7daa0a4737425282cb1bb09957a640,ethereum-metrics-exporter-2-prysm-geth--ca527045f38147a7bfb90eb2cd9ad76f,ethereum-metrics-exporter-3-prysm-geth--f0aaab339a2d4cfaa261c0fad2cffa1c,ethereum-metrics-exporter-4-prysm-geth--95fc04cafe5b4c78b80aab2f04c361f9,ethereum-metrics-exporter-5-prysm-geth--ac14cd1efa804a04bdfa02792a93aec7,grafana--e9468133916047cd82ef18a42a107214,helpers-grafana-1,kurtosis-api--6fce6122dc6c43d09e200f491eb776fa,kurtosis-engine--73e0d765f58b4761a30feebea23dd3b9,kurtosis-logs-aggregator,kurtosis-logs-collector--6fce6122dc6c43d09e200f491eb776fa,kurtosis-reverse-proxy--73e0d765f58b4761a30feebea23dd3b9,portainer,prometheus,prometheus--00088d92694440d2a227ca9549927893,validator-key-generation-cl-validator-keystore--2da60df637644c159167fc278b5abb0d,vc-1-geth-prysm--b96868daa3ff4844be18567ef2e373cf,vc-2-geth-prysm--64ad8039224d446bb49d93690f987a3f,vc-3-geth-prysm--84b5aadb1b4c483cb966da5ab80a4004,vc-4-geth-prysm--23c34b62238a4fd8b3ed332c76dc5b95,vc-5-geth-prysm--a9e8745b53c64ddd9873209e050c85e4
1717045825,11.882998171846438,52531.492570414724,70165.03667481663,68671.66237171662,70202.30886517098,70453.1066026628,70315.4937521694,135.13033832501384,19208.29809019276,17437.56265527612,17242.649427632565,18916.92105917735,17171.820533003487,3301.9057171514546,861.3774870048396,863.3492014058816,845.2762209767815,837.4851975454839,893.0221917181424,0.0,0.0,0.0,1.5561888083241162,430.8489613070402,24498.334840431395,0.0,0.0,700.9425878320479,882.1473266301299,0.0,5235.432911619963,5315.087200841785,5294.09679920257,5144.197914355447,5031.186645386706
1717045840,13.45653931013391,53053.92936328414,62985.46910249038,65210.894771384825,59510.00089895721,57798.27671318943,61135.42643996431,159.13176642918967,20336.846757264393,18258.243603232524,18023.066189936337,17991.836734693876,19475.62806750185,3330.458626332316,843.6010350932945,870.0280498459557,851.5160987808691,851.1356523294286,881.1398659777533,0.0,0.0,0.0,1.4773542695538389,494.1567801308349,24288.118699739498,0.0,0.0,715.6990085292462,892.6159285617152,0.0,5221.099178774479,5262.954422137819,5090.431867307777,5100.7100066563125,5115.938154435682
1717045855,86.37579935597986,52580.5614112948,133182.91445959656,68222.0783569595,125151.69508615474,67588.25872408222,69987.0389720104,228.07017543859646,20095.131480749817,18317.3330984675,18284.156597828303,19210.99500032187,20254.959991230953,3552.681627995436,835.1390393643915,860.4805816634156,895.667683844071,863.7881946779654,886.7358139743276,0.0,0.0,0.0,0.0,530.0044782803403,23206.50069778958,0.0,0.0,736.5712376072183,895.9933659217878,0.0,5641.625814172939,5877.3801305035295,6180.799682420661,6017.7240501726965,5851.058597330591
1717045870,133.8289962825279,52023.72955767753,129118.34121531187,65937.30230456394,128813.56901024489,66429.30970837949,66718.07184834557,231.2886519088307,20068.62269641125,19181.419708685487,17077.288672626455,18515.83540872325,18534.366682323467,3592.423194484728,810.985958956951,878.2627769247644,802.2768792050973,847.3541695350865,836.2543706293707,1.5379883112888342,0.0,0.0,0.0,544.3899002795695,26609.62233022696,0.0,0.0,736.990811808939,875.7407238581457,0.0,5818.043016463091,5823.637247106634,6298.973763851913,5973.510080824229,5739.956678055425
1717045885,178.99761336515513,52564.951197870454,131276.62083388958,66205.1983284836,132348.73441382797,68437.52885566671,68463.51940689054,206.00514850628423,20333.121340380272,19189.568458395082,16064.336828840183,20883.876395552426,17541.7793873811,4015.623251337377,838.6135576880943,871.7165149544862,816.1086961469309,862.9795060430898,861.5226607228705,1.5370427297878881,0.0,0.0,0.0,497.8792387466412,27014.217700384786,0.0,0.0,708.920707283068,872.1287204162948,0.0,5788.509295925901,5391.940683430045,6185.451729713726,5760.901551631889,5440.064130721251
1717045900,156.90088514916403,52974.218505433564,60256.73803955405,57708.32602210914,68546.9800848841,60307.29768144266,59095.4936797599,158.82967607105536,20551.33642588911,18898.66122883234,17257.590917000172,19594.026322369467,15500.054491161534,4110.493058027768,849.5272360309765,876.3715347754041,799.9093484419263,846.4642034864598,855.2735057672143,1.5439927652910428,0.0,1.538833564158368,0.0,479.87081932401355,25203.29512577575,1.539747481413048,0.0,686.758659290035,883.3804206466658,1.5287848344544421,5391.239325501755,5157.103618314338,5512.98010547043,5258.797847944964,5137.022541924482
1717045915,163.35545891508355,52125.346595660405,70996.24017831012,67438.79238152498,70729.87064853232,67914.70811220622,69892.28611500701,151.15704336104247,20540.118233962596,18410.84392014519,19171.926466660727,19752.48923866255,16155.369552185786,4328.741680854357,871.9821328866556,833.5460183132961,887.277726043191,856.7423172024019,863.560070671378,0.0,0.0,1.570986130436734,0.0,470.39696518086976,23149.64887482892,1.714047846421313,0.0,693.3916318535034,886.6695126609297,1.5837462386026835,5329.198110038739,5520.238795169826,5652.64621534718,5567.676993624875,5827.207690587972
1717045930,162.4889010313503,52299.05304284483,67223.15641968821,67330.99277446828,69781.72055039713,67652.76201917729,68049.64712148787,155.56102692660653,20464.228546020455,17965.95423574583,21035.401706790053,19274.309177671737,13321.513747018855,4695.18551236749,866.9353945649043,842.8197615905889,871.0788481241689,832.0285179252306,880.212417934527,0.0,0.0,3.1135327476926498,58.84080894814146,452.822782877952,23971.941193325838,124.3426121553025,0.0,735.7541514504238,883.1375181828355,1.5901140338921447,5377.263295839249,5395.376907310408,5600.867295013054,5308.51725209823,5599.390443017307
1717045945,158.23079481210513,52664.31872722426,69484.51528952505,70275.63839956302,72688.43878515977,70242.73139503869,72254.84273873054,135.29424982585445,21096.510929751606,19564.30609239831,20380.574400723657,19435.262490711197,16670.069687957744,4779.655855032739,884.9260510594501,870.6105942410113,913.8721351025333,893.6926265916495,929.5324394563143,0.0,0.0,1.54785069874403,56.64194200944033,443.54820539395723,24217.17051667135,133.74444444444447,0.0,720.0755276822442,865.675253536309,0.0,5274.94132754727,5183.1614098488135,5583.803155456492,5195.532738899397,5377.547282135824
1717045960,155.02411051739867,52689.65287346104,61163.778104169025,59996.21026349816,62770.203794799716,60153.63554757631,61142.93194909272,152.68375769751498,21083.29929657363,17991.49772489372,22149.20775623269,19754.706269727732,18132.906065902764,4995.37607891492,873.4505046927572,885.7774009282398,867.6493371400749,874.7408084546611,898.5798051412391,0.0,0.0,1.5744843563732875,61.35875402792696,469.40283468798276,23521.240517626058,122.48781134075253,0.0,716.3858013624954,865.8418086415754,0.0,5599.383131692695,5239.805478718658,5643.894419581697,5185.448014543225,5058.355495966767
