timestamp,beacon-metrics-gazer--7b1c0d7a4c6c42769a4616ec14f7e0bf,cadvisor,cl-1-prysm-geth--abca67d1ee6a4e7fb261820a377d0e02,cl-2-prysm-geth--88ff2bdd3fd74ddab386856c2fafe412,dora--63267cc0bfe34136b43e54e3e027e2da,el-1-geth-prysm--cec91d692939414cbf440582a04a3f84,el-2-geth-prysm--1bf91a17ec80479eaa038c1be3f239ec,el-forkmon--7d8d78deeeda49e9a4c8ee2db9b532f4,ethereum-metrics-exporter-1-prysm-geth--a3ceedc115a04e77a18ec8f2c78e35c8,ethereum-metrics-exporter-2-prysm-geth--f67e34040cf240b5a2b6a8c4353d6e3d,grafana--f007a2d4c20d41fc9166ce3ae9a608c9,helpers-grafana-1,kurtosis-api--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-engine--229920ee62bc4cf39f51c74beed4423d,kurtosis-logs-aggregator,kurtosis-logs-collector--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-reverse-proxy--229920ee62bc4cf39f51c74beed4423d,portainer,prometheus,prometheus--66f832a0bccc478f82d5968272eff43c,validator-key-generation-cl-validator-keystore--94f5bf856715425ba784293f58b92222,vc-1-geth-prysm--0567dd7483864d8f8c8946b2e839f136,vc-2-geth-prysm--d1e87affcb63441197384b464cd23d19
1716635565,9408512.0,165556224.0,503336960.0,481415168.0,26775552.0,99622912.0,100593664.0,25903104.0,11952128.0,10698752.0,85209088.0,52969472.0,34332672.0,22769664.0,10502144.0,2838528.0,17317888.0,13373440.0,623255552.0,63729664.0,3067904.0,30007296.0,29855744.0
1716635580,9408512.0,164917248.0,503595008.0,486854656.0,26812416.0,99680256.0,100667392.0,26566656.0,11313152.0,10649600.0,85209088.0,52969472.0,34332672.0,22769664.0,10498048.0,2838528.0,17317888.0,13373440.0,683372544.0,64450560.0,3067904.0,29179904.0,29851648.0
1716635595,9408512.0,164388864.0,503595008.0,508915712.0,26812416.0,99622912.0,100626432.0,26763264.0,11812864.0,11087872.0,85209088.0,52969472.0,34332672.0,22769664.0,10575872.0,2838528.0,17317888.0,11628544.0,684564480.0,64507904.0,3067904.0,29642752.0,29851648.0
1716635610,9408512.0,164376576.0,503377920.0,508936192.0,26816512.0,99667968.0,100601856.0,26824704.0,11476992.0,10850304.0,85217280.0,52969472.0,34332672.0,22482944.0,10563584.0,2842624.0,17317888.0,11628544.0,684826624.0,64507904.0,3067904.0,29683712.0,29851648.0
1716635625,9408512.0,164380672.0,503468032.0,508919808.0,26816512.0,99659776.0,102055936.0,26828800.0,11513856.0,10326016.0,85213184.0,52969472.0,34332672.0,22482944.0,10526720.0,2838528.0,17317888.0,11628544.0,685309952.0,64507904.0,3067904.0,30838784.0,29851648.0
1716635640,9408512.0,164618240.0,503472128.0,508923904.0,26816512.0,99659776.0,102055936.0,26456064.0,11341824.0,10645504.0,85213184.0,52969472.0,34332672.0,22482944.0,10510336.0,2838528.0,17317888.0,11628544.0,685465600.0,64512000.0,3067904.0,30961664.0,29851648.0
1716635655,9408512.0,164618240.0,503463936.0,508919808.0,26820608.0,100077568.0,102055936.0,26443776.0,10825728.0,10219520.0,85217280.0,52969472.0,34332672.0,22482944.0,10559488.0,2838528.0,17317888.0,11628544.0,686096384.0,64512000.0,3067904.0,30961664.0,29872128.0
1716635670,9408512.0,164372480.0,503726080.0,508940288.0,23715840.0,99684352.0,102043648.0,26488832.0,11796480.0,9990144.0,85217280.0,52969472.0,34332672.0,22482944.0,10657792.0,2883584.0,17317888.0,11628544.0,686501888.0,64122880.0,3067904.0,30965760.0,29872128.0
1716635685,9408512.0,164360192.0,503996416.0,508940288.0,23744512.0,99659776.0,102060032.0,25722880.0,11538432.0,10080256.0,85213184.0,52969472.0,34332672.0,22970368.0,10604544.0,2838528.0,17317888.0,11628544.0,746639360.0,64135168.0,3067904.0,30969856.0,29872128.0
1716635700,9408512.0,164622336.0,510791680.0,509198336.0,23773184.0,99934208.0,102051840.0,25726976.0,12083200.0,10117120.0,85217280.0,52969472.0,34332672.0,22970368.0,10629120.0,2838528.0,17317888.0,11628544.0,746823680.0,64143360.0,3067904.0,32002048.0,29872128.0
1716635715,9408512.0,164364288.0,511057920.0,508940288.0,23777280.0,99954688.0,102064128.0,25931776.0,11231232.0,10543104.0,85213184.0,52969472.0,34332672.0,22970368.0,10854400.0,2842624.0,17317888.0,11694080.0,747040768.0,64147456.0,3067904.0,30904320.0,30703616.0
1716635730,9408512.0,164622336.0,511324160.0,509206528.0,23785472.0,99651584.0,102064128.0,25939968.0,11288576.0,10829824.0,85213184.0,52969472.0,34332672.0,22564864.0,11005952.0,2846720.0,17317888.0,11694080.0,747307008.0,64221184.0,3067904.0,30904320.0,30703616.0
1716635745,9408512.0,164364288.0,510803968.0,508944384.0,23822336.0,99651584.0,102064128.0,25931776.0,10973184.0,10358784.0,85217280.0,52969472.0,34332672.0,22564864.0,10645504.0,2846720.0,17317888.0,11694080.0,747319296.0,64225280.0,3067904.0,30908416.0,30703616.0
1716635760,9408512.0,164585472.0,512655360.0,494448640.0,23863296.0,99995648.0,102559744.0,26116096.0,11096064.0,10399744.0,85213184.0,52969472.0,34332672.0,22564864.0,10784768.0,2842624.0,17317888.0,13455360.0,747323392.0,64221184.0,3067904.0,30912512.0,30703616.0
1716635775,9408512.0,164327424.0,512987136.0,494706688.0,23883776.0,99667968.0,102625280.0,25862144.0,10817536.0,10563584.0,85209088.0,52969472.0,34332672.0,22564864.0,10891264.0,2842624.0,17317888.0,13455360.0,747327488.0,64225280.0,3067904.0,30912512.0,30703616.0
1716635790,9408512.0,164323328.0,512724992.0,496553984.0,23687168.0,99713024.0,102100992.0,25976832.0,10747904.0,10407936.0,85213184.0,52969472.0,34332672.0,22634496.0,10739712.0,2891776.0,17317888.0,13455360.0,747339776.0,64225280.0,3067904.0,30912512.0,30056448.0
1716635805,9416704.0,164851712.0,512987136.0,499077120.0,23728128.0,99700736.0,102076416.0,26009600.0,10715136.0,10690560.0,85213184.0,52969472.0,34332672.0,22634496.0,10981376.0,2838528.0,17317888.0,13455360.0,747347968.0,64225280.0,3067904.0,30912512.0,30060544.0
1716635820,9416704.0,164319232.0,509693952.0,509837312.0,41144320.0,99672064.0,102076416.0,26370048.0,11116544.0,10723328.0,85213184.0,52969472.0,34332672.0,22634496.0,10821632.0,2887680.0,17317888.0,13455360.0,747368448.0,64229376.0,3067904.0,30912512.0,30060544.0
