timestamp,grafana--f007a2d4c20d41fc9166ce3ae9a608c9,prometheus--66f832a0bccc478f82d5968272eff43c,dora--63267cc0bfe34136b43e54e3e027e2da,beacon-metrics-gazer--7b1c0d7a4c6c42769a4616ec14f7e0bf,el-forkmon--7d8d78deeeda49e9a4c8ee2db9b532f4,vc-2-geth-prysm--d1e87affcb63441197384b464cd23d19,ethereum-metrics-exporter-2-prysm-geth--f67e34040cf240b5a2b6a8c4353d6e3d,vc-1-geth-prysm--0567dd7483864d8f8c8946b2e839f136,ethereum-metrics-exporter-1-prysm-geth--a3ceedc115a04e77a18ec8f2c78e35c8,cl-2-prysm-geth--88ff2bdd3fd74ddab386856c2fafe412,cl-1-prysm-geth--abca67d1ee6a4e7fb261820a377d0e02,el-2-geth-prysm--1bf91a17ec80479eaa038c1be3f239ec,el-1-geth-prysm--cec91d692939414cbf440582a04a3f84,validator-key-generation-cl-validator-keystore--94f5bf856715425ba784293f58b92222,kurtosis-api--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-logs-collector--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-engine--229920ee62bc4cf39f51c74beed4423d,kurtosis-reverse-proxy--229920ee62bc4cf39f51c74beed4423d,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716635565,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22000.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635580,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22000.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635595,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22000.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635610,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22000.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635625,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22000.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635640,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22000.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635655,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635670,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635685,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635700,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15100.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39500.0,46500.0
1716635715,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15300.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39600.0,46500.0
1716635730,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15300.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39600.0,46500.0
1716635745,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15300.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39600.0,46500.0
1716635760,85100.0,9820.0,18400.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15300.0,22100.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39600.0,46500.0
1716635775,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22300.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55500.0,39600.0,46500.0
1716635790,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22300.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635805,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22300.0,4600.0,22700.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635820,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22300.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635835,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22400.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635850,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22400.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635865,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635880,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635895,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,15900.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635910,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,16000.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635925,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,16000.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635940,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,16000.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635955,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,16000.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
1716635970,85100.0,9820.0,18700.0,4710.0,10100.0,5780.0,1680.0,19200.0,3200.0,16000.0,22500.0,4660.0,25000.0,8780.0,42000.0,19000.0,35000.0,72900.0,35200.0,140000.0,55600.0,39600.0,46500.0
