timestamp,beacon-metrics-gazer--7b1c0d7a4c6c42769a4616ec14f7e0bf,cadvisor,cl-1-prysm-geth--abca67d1ee6a4e7fb261820a377d0e02,cl-2-prysm-geth--88ff2bdd3fd74ddab386856c2fafe412,dora--63267cc0bfe34136b43e54e3e027e2da,el-1-geth-prysm--cec91d692939414cbf440582a04a3f84,el-2-geth-prysm--1bf91a17ec80479eaa038c1be3f239ec,el-forkmon--7d8d78deeeda49e9a4c8ee2db9b532f4,ethereum-metrics-exporter-1-prysm-geth--a3ceedc115a04e77a18ec8f2c78e35c8,ethereum-metrics-exporter-2-prysm-geth--f67e34040cf240b5a2b6a8c4353d6e3d,grafana--f007a2d4c20d41fc9166ce3ae9a608c9,helpers-grafana-1,kurtosis-api--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-engine--229920ee62bc4cf39f51c74beed4423d,kurtosis-logs-aggregator,kurtosis-logs-collector--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-reverse-proxy--229920ee62bc4cf39f51c74beed4423d,portainer,prometheus,prometheus--66f832a0bccc478f82d5968272eff43c,validator-key-generation-cl-validator-keystore--94f5bf856715425ba784293f58b92222,vc-1-geth-prysm--0567dd7483864d8f8c8946b2e839f136,vc-2-geth-prysm--d1e87affcb63441197384b464cd23d19
1716635565,101.02739726027397,37169.82445112917,25178.414000785582,24708.572304189835,93.66722314969392,13444.637654976175,13664.739226443871,1419.5896313827056,1001.450645097479,900.2210364151912,8.890864636585908,0.0,0.0,0.0,281.4296095659642,12665.060508493394,0.0,0.0,524.1566291835193,386.8015838099428,0.0,6976.113260718838,6900.331259232732
1716635580,101.31877325466195,36787.546113160584,22888.494178014604,22572.031593376705,96.65248102487607,13761.14671012972,14893.016863369621,1845.6669377348953,906.0996601491812,908.4772195611006,9.866820052210079,0.0,0.0,0.0,256.54353926123554,10945.178291838489,3.0951538733639903,0.0,549.3059149098926,413.4540985844978,0.0,6931.616640100577,6674.322380794336
1716635595,101.11841093362044,35959.94091067085,23549.11943364069,23462.449872402478,95.04325201805688,13032.1672430611,13779.449437714384,1581.675653631791,739.65221650747,881.3113604488079,12.713635263840924,0.0,0.0,0.0,274.6664325842696,12779.187817258882,3.255813953488372,0.0,559.1549295774648,406.8980963045913,0.0,6901.985834678142,7106.52538862363
1716635610,102.15316315205325,36768.13203900749,23030.570345636675,22975.35697313933,100.16350482675209,13833.318403726431,14968.673993333932,2043.81860516687,903.5194577953,883.5586766684148,12.685175024690002,0.0,0.0,0.0,282.8331755432748,12171.4749822691,2.9997857295907435,0.0,548.1663252211891,405.0752940645248,0.0,7283.144232042736,7004.262273359687
1716635625,101.36563876651982,36747.16956000533,24815.145260447876,24525.331876038894,78.16178757052108,13951.137708799159,14715.59797866367,1725.562995867312,889.936130577486,905.9271956335422,12.823357146026533,0.0,0.0,0.0,270.2597654984777,12509.07793192666,0.0,0.0,529.613291833673,387.3667860378824,0.0,6968.52780563914,6707.39000427168
1716635640,101.22962539319417,36685.833942697594,23559.05851377729,21772.912313955243,99.9628958683458,14341.365093907465,15721.780604133546,1793.050193050193,987.1064269840921,895.354031717668,10.835254874745349,0.0,0.0,0.0,239.3806799057556,10567.535980954442,0.0,0.0,521.6657652785289,389.89456932564144,0.0,7225.819469978926,6563.791035493759
1716635655,104.17185413224077,37597.46099516272,25789.5263509006,24000.954902556536,96.82404928274451,14344.273743016758,15769.339804991194,1885.8171474287747,845.6103595069874,895.0788217081308,10.974924097604857,0.0,0.0,0.0,267.521860712859,12516.960414805777,0.0,0.0,533.6062326686914,389.4115558711281,0.0,7209.749542921339,6782.072239514521
1716635670,103.74678750169079,36878.01563787841,25925.498168170852,25347.034045509812,99.83546048828212,14159.36844429723,14541.106228081857,1978.4814714143333,1020.6520071032381,914.8312263782093,40.108921277593026,0.0,0.0,0.0,275.35871652920576,13058.160224189314,0.0,0.0,536.4874109053998,389.2445015393475,0.0,7515.83450952717,7219.746584745571
1716635685,103.00141005841671,37224.49622166247,25789.71222865569,26780.863513453605,78.15919037199123,15216.245931920132,15802.737749010515,2457.9713340683575,954.3412837443291,945.2042468958069,38.58754205052659,0.0,0.0,0.0,287.2983870967742,13546.297968397292,0.0,0.0,549.1235222176927,388.9974106209967,0.0,6938.583909245012,7309.012971856905
1716635700,100.07175941026811,36832.046289084225,25054.263565891473,25360.961299785627,97.41457884089546,14162.947680025116,14685.382119682768,2025.812619502868,967.9971473780392,947.5050346833744,41.381623071763926,0.0,0.0,0.0,280.2446157936719,11898.945693256417,0.0,0.0,543.3895937084526,391.15048187139706,0.0,7011.711671896408,7288.754736934873
1716635715,102.13502596653203,36764.460239893386,24568.128920710213,23648.064766552066,96.44971716593666,15475.988187187642,15382.730378416256,2655.407911675504,878.5915367085214,862.3877501489311,12.007856441389162,0.0,0.0,0.0,282.9176839902337,12784.328814249824,0.0,0.0,514.0658401026079,389.2361190027046,0.0,7092.726103063511,7346.193472018238
1716635730,102.58810940948305,36581.396376491386,26169.04660494519,24911.02048173768,96.88521019385755,15306.102210370895,13633.68586858686,2288.971248876909,916.6263150944227,912.1086801849876,13.513513513513514,0.0,0.0,0.0,274.55102542884623,13036.91062247019,0.0,0.0,515.1090913006957,387.0157898214011,0.0,7615.888228941684,7394.598301185632
1716635745,102.37586759209825,35709.144619099985,25010.10743258057,24300.969355847406,78.98305084745763,15611.23028949289,14080.364046035918,2390.088389651045,807.6526956833243,865.5831989891508,14.901943443365981,0.0,0.0,0.0,250.41691681675672,12810.498180674724,0.0,0.0,526.3157894736842,395.28435760288176,0.0,7340.125814423725,6911.6434768747295
1716635760,103.75614375253642,37070.123998388466,23919.51773623951,23136.358500372877,96.85121956662427,14832.27910437961,14368.53962961294,2516.1095776020043,818.6092156012506,894.018792916516,18.18788215675375,0.0,0.0,0.0,244.20463629096724,10989.857967154907,0.0,0.0,546.2916303999267,393.32839785742283,0.0,7344.979519539466,6885.059549368348
1716635775,102.25757710425742,36702.59547398985,23923.631413332143,23360.3000855507,98.93805309734512,14888.807396541763,14399.334044266472,2465.9254821028335,780.3529465972446,843.377447227387,17.842516547495187,0.0,0.0,0.0,274.22907488986783,12027.488278038265,0.0,0.0,538.4925433293026,390.8685968819599,0.0,7225.398230088495,6716.871847952959
1716635790,105.48755329390731,37470.3765728252,25739.415466245697,24718.497071790483,95.26486486486488,15294.34719589698,15623.669040352663,3063.025931650352,862.7840972579166,919.1045308597932,14.53488372093023,0.0,0.0,0.0,270.76839680173464,12212.481559300819,0.0,0.0,542.216625817912,392.327342804643,0.0,7630.109826460825,7223.926848962311
1716635805,189.10731409641704,36200.13994271095,26210.13708513708,26285.098172738624,81.04442183791116,15593.389751449322,14675.286343612335,2523.6547567800258,900.7163669025347,906.1854100036986,10.780242113634355,0.0,0.0,0.0,273.71273712737127,15646.985943413229,0.0,0.0,532.7606609107245,391.24328421428095,0.0,7316.551849993157,7465.234207133649
1716635820,197.28427310394522,36987.17461736119,149516.48230818287,24621.639722863743,145.19154706746525,15347.827047568548,16249.933095450493,3346.4233120621184,998.3894519841953,946.1902329609807,13.642865001650346,0.0,0.0,0.0,267.324777887463,14301.46187277756,0.0,0.0,543.8229539167398,393.94600252976846,0.0,7772.538918131928,7713.120097102655
1716635835,191.65645782289113,36957.809674755,154470.8837634163,24401.272903453133,165.6338407651893,15597.818359548566,14875.81116339228,2772.9812765767974,922.4454763529127,904.5899373592813,12.951510262615399,0.0,0.0,0.0,306.8617513551629,16475.069034416185,0.0,0.0,519.8092835303927,390.6388996601355,0.0,7511.948040432701,7574.270645570466
