timestamp,beacon-metrics-gazer--7b1c0d7a4c6c42769a4616ec14f7e0bf,cadvisor,cl-1-prysm-geth--abca67d1ee6a4e7fb261820a377d0e02,cl-2-prysm-geth--88ff2bdd3fd74ddab386856c2fafe412,dora--63267cc0bfe34136b43e54e3e027e2da,el-1-geth-prysm--cec91d692939414cbf440582a04a3f84,el-2-geth-prysm--1bf91a17ec80479eaa038c1be3f239ec,el-forkmon--7d8d78deeeda49e9a4c8ee2db9b532f4,ethereum-metrics-exporter-1-prysm-geth--a3ceedc115a04e77a18ec8f2c78e35c8,ethereum-metrics-exporter-2-prysm-geth--f67e34040cf240b5a2b6a8c4353d6e3d,grafana--f007a2d4c20d41fc9166ce3ae9a608c9,helpers-grafana-1,kurtosis-api--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-engine--229920ee62bc4cf39f51c74beed4423d,kurtosis-logs-aggregator,kurtosis-logs-collector--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-reverse-proxy--229920ee62bc4cf39f51c74beed4423d,portainer,prometheus,prometheus--66f832a0bccc478f82d5968272eff43c,validator-key-generation-cl-validator-keystore--94f5bf856715425ba784293f58b92222,vc-1-geth-prysm--0567dd7483864d8f8c8946b2e839f136,vc-2-geth-prysm--d1e87affcb63441197384b464cd23d19
1716635790,9715712.0,198180864.0,518221824.0,503918592.0,27910144.0,104787968.0,105848832.0,28790784.0,12341248.0,11014144.0,91725824.0,58671104.0,34390016.0,25137152.0,51232768.0,3391488.0,19333120.0,16568320.0,793460736.0,75476992.0,3067904.0,37879808.0,32096256.0
1716635805,9723904.0,198709248.0,518483968.0,506441728.0,27951104.0,104779776.0,105873408.0,28831744.0,12308480.0,11296768.0,91725824.0,58671104.0,34390016.0,25137152.0,51793920.0,3338240.0,19333120.0,16568320.0,793513984.0,75526144.0,3067904.0,37888000.0,32100352.0
1716635820,9723904.0,198193152.0,516161536.0,518561792.0,45617152.0,104804352.0,105877504.0,29196288.0,12709888.0,11329536.0,91725824.0,58671104.0,34390016.0,25137152.0,51847168.0,3387392.0,19333120.0,16568320.0,793579520.0,75579392.0,3067904.0,37888000.0,32112640.0
1716635835,9723904.0,198696960.0,516157440.0,517513216.0,45625344.0,104861696.0,106819584.0,29249536.0,12296192.0,11001856.0,91721728.0,58671104.0,34390016.0,25137152.0,51863552.0,3342336.0,19333120.0,16601088.0,793640960.0,75624448.0,3067904.0,37904384.0,33271808.0
1716635850,9723904.0,198172672.0,516247552.0,517562368.0,45641728.0,104919040.0,105938944.0,29560832.0,12558336.0,10735616.0,91725824.0,58675200.0,34390016.0,25243648.0,52178944.0,3338240.0,19333120.0,16601088.0,669990912.0,75673600.0,3067904.0,38420480.0,34037760.0
1716635865,9723904.0,198434816.0,516501504.0,517562368.0,45658112.0,104873984.0,105984000.0,28921856.0,13316096.0,10588160.0,91725824.0,58675200.0,34390016.0,25243648.0,52281344.0,3338240.0,19333120.0,16601088.0,670060544.0,75726848.0,3067904.0,37937152.0,34267136.0
1716635880,9719808.0,198180864.0,487157760.0,517623808.0,45690880.0,107524096.0,106127360.0,28987392.0,12603392.0,10575872.0,91725824.0,58675200.0,34390016.0,25243648.0,52314112.0,3342336.0,19337216.0,16601088.0,670109696.0,75776000.0,3067904.0,38043648.0,34267136.0
1716635895,9719808.0,198438912.0,486903808.0,519618560.0,45703168.0,107413504.0,106106880.0,29118464.0,12214272.0,11571200.0,91721728.0,58675200.0,34390016.0,25243648.0,52707328.0,3338240.0,19337216.0,16601088.0,670158848.0,75829248.0,3067904.0,38043648.0,34283520.0
1716635910,9719808.0,198438912.0,487165952.0,519372800.0,45731840.0,107368448.0,106684416.0,29122560.0,13021184.0,11542528.0,91721728.0,58515456.0,34390016.0,25284608.0,52973568.0,3375104.0,19337216.0,16601088.0,670203904.0,76230656.0,3067904.0,38047744.0,34291712.0
1716635925,9719808.0,198438912.0,486903808.0,519368704.0,45735936.0,107474944.0,106278912.0,29224960.0,12349440.0,11132928.0,91721728.0,58515456.0,34390016.0,25284608.0,53125120.0,3350528.0,19337216.0,16601088.0,670294016.0,76828672.0,3067904.0,38047744.0,33660928.0
