timestamp,beacon-metrics-gazer--7b1c0d7a4c6c42769a4616ec14f7e0bf,cadvisor,cl-1-prysm-geth--abca67d1ee6a4e7fb261820a377d0e02,cl-2-prysm-geth--88ff2bdd3fd74ddab386856c2fafe412,dora--63267cc0bfe34136b43e54e3e027e2da,el-1-geth-prysm--cec91d692939414cbf440582a04a3f84,el-2-geth-prysm--1bf91a17ec80479eaa038c1be3f239ec,el-forkmon--7d8d78deeeda49e9a4c8ee2db9b532f4,ethereum-metrics-exporter-1-prysm-geth--a3ceedc115a04e77a18ec8f2c78e35c8,ethereum-metrics-exporter-2-prysm-geth--f67e34040cf240b5a2b6a8c4353d6e3d,grafana--f007a2d4c20d41fc9166ce3ae9a608c9,helpers-grafana-1,kurtosis-api--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-engine--229920ee62bc4cf39f51c74beed4423d,kurtosis-logs-aggregator,kurtosis-logs-collector--19096d4a65984f2ba0791de40f5bc0b6,kurtosis-reverse-proxy--229920ee62bc4cf39f51c74beed4423d,portainer,prometheus,prometheus--66f832a0bccc478f82d5968272eff43c,validator-key-generation-cl-validator-keystore--94f5bf856715425ba784293f58b92222,vc-1-geth-prysm--0567dd7483864d8f8c8946b2e839f136,vc-2-geth-prysm--d1e87affcb63441197384b464cd23d19
1716635565,27.92413066385669,483.2083688771158,32574.891982717236,33195.37235672694,285.18642181413463,5092.071091438766,4775.172445193161,4200.919868717765,6141.064245994242,6000.424211301882,7.512780617915092,0.0,0.0,0.0,11807.117218295127,13199.511491062507,0.0,0.0,38090.13733943731,14055.411350637924,0.0,2990.897094674688,2958.861184475581
1716635580,34.16921688205896,478.35459353749053,30852.093064052806,29422.115363693727,291.8878603079893,5456.027149523321,5405.87709155959,5390.953647332909,5818.510835503376,5853.247187256322,13.31799477899208,0.0,7.887857207247815,0.0,10262.293573761443,11339.427084481884,4.642730810045985,1.5477138056071458,38571.15215875087,14467.889490692276,6.277886146050537,3138.0463821475873,2954.109967916805
1716635595,34.101645755971084,460.4405630865486,32853.51571035266,30485.212358731314,292.9573706331028,4879.799592090096,4988.341800182363,4607.186551271013,4536.615233896645,5459.786991584853,16.144997030552318,0.0,7.698906755240756,1.515479541026196,11638.64992977528,13350.943984326295,4.883720930232558,1.727030494424159,39584.59939967675,14159.596864501682,6.185248183083346,3051.326878249955,3179.10480301742
1716635610,34.45061043285238,470.82213386054167,31967.19610143489,29832.047249439933,299.48260801397635,5045.25910332781,5521.169264030266,5901.6742432642195,5907.174023787902,4802.708680088465,16.10885548118073,0.0,7.8635781527331545,1.4388784969886328,11289.48237521742,12764.327712828022,4.499678594386115,1.4385827904395896,38595.21826245526,14278.915404239946,6.318259770737431,3257.670743013554,3033.899428016166
1716635625,28.017621145374452,470.51902499667005,31800.119848192287,30826.695812555507,221.7582515214784,5059.998246306283,5400.696238068501,4929.611704126059,5689.257517963275,5866.5704361946855,10.07232550916271,0.0,0.0,0.0,11389.842585994687,13061.67194539858,0.0,0.0,38377.68422938266,13810.070328342752,0.0,3011.189122924329,2804.177252186425
1716635640,27.980026836189264,479.89097919298007,30444.141813064594,29297.434682404637,288.1026693148831,5249.81676591846,5736.020894844424,5077.815774958632,5570.485599243108,5610.520437793164,9.447267680046565,0.0,0.0,0.0,9869.740828004038,10984.200844064497,0.0,0.0,37085.429962141694,14145.32634882744,0.0,3301.309358324739,2866.9539336324465
1716635655,28.79326346288793,494.83342038925355,31951.901267511672,32051.174096097922,284.4641807614445,5304.185579608938,5854.194407456725,5369.060847148762,4408.028172153254,5716.329067003903,8.186213876082311,0.0,0.0,0.0,11339.673309956057,13062.591228949259,0.0,0.0,37726.308376248955,14107.792668855951,0.0,3261.9776637222726,2959.715162236603
1716635670,28.67577438117138,486.84591566238214,33009.29318202127,33093.56001389612,291.523991639614,5077.619520812632,5154.6366582323435,5598.28304792969,6289.5665709337245,6562.25292149963,124.54523134611524,0.0,0.0,0.0,11470.206756298725,13876.050887416039,0.0,0.0,37826.11382042059,14082.726084741633,0.0,3359.6506704304866,3110.503454639569
1716635685,28.469750889679716,490.0368837711407,32620.172185717693,32972.62733277184,225.5424872355944,5500.593719764271,5631.9345739214095,7047.210584343992,6857.207025108924,7244.601403635053,121.7651326927728,0.0,0.0,0.0,12400.398842917253,14189.706546275394,0.0,0.0,38814.44489740454,14342.138736201336,0.0,2949.102447081323,3097.9846492212396
1716635700,27.65999086698415,481.9628352064092,32437.558811668234,31979.487758095456,289.06475779739014,5179.924199950662,5084.242069214131,5748.240048670259,7135.18753760781,7361.266502573283,125.95573440643867,0.0,0.0,0.0,10992.821058229196,12376.058174745265,0.0,0.0,38618.5186019785,14143.270493445214,0.0,3073.5183630176343,3231.228518551159
