timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth
1716635565,0.0,0.0
1716635580,0.0,0.0
1716635595,0.0,0.0
1716635610,0.0,0.0
1716635625,0.0,0.0
1716635640,0.0,0.0
1716635655,0.0,0.0
1716635670,0.0,0.0
1716635685,0.0,0.0
1716635700,0.0,0.0
1716635715,0.0,0.0
1716635730,0.0,0.0
1716635745,0.0,0.0
1716635760,0.0,0.0
1716635775,0.0,0.0
1716635790,0.0,0.0
1716635805,0.0,0.0
1716635820,0.0,0.0
1716635835,0.0,0.0
1716635850,0.0,0.0
1716635865,0.0,0.0
1716635880,0.0,0.0
1716635895,43609.0,43609.0
1716635910,0.0,0.0
1716635925,0.0,0.0
1716635940,0.0,0.0
1716635955,0.0,0.0
1716635970,0.0,0.0
1716635985,0.0,0.0
1716636000,0.0,0.0
1716636015,0.0,0.0
1716636030,295266.0,295266.0
1716636045,0.0,0.0
1716636060,0.0,0.0
1716636075,0.0,0.0
1716636090,58166.0,58166.0
1716636105,0.0,0.0
1716636120,0.0,0.0
1716636135,0.0,0.0
1716636150,0.0,0.0
1716636165,0.0,0.0
