timestamp,beacon-metrics-gazer--41187cc62289490d96fa8e943fdd9c80,cadvisor,cl-1-prysm-geth--aa389c42a32547d2ab12fe67ba63476f,cl-2-prysm-geth--a453f7b4bb0d41ab95ec6d8bfc3163e0,cl-3-prysm-geth--f37998bfa5fb4219ba4d93002004bcf7,cl-4-prysm-geth--74ce62db53534923a5a0c50033b1e287,cl-5-prysm-geth--30d3adb3ae1945a6bdaa08037a4ea45d,dora--2013dff356474be4a223e18bf39604d3,el-1-geth-prysm--6930da1eaad9437bb3862dcabd2a5a9b,el-2-geth-prysm--a00d33a98893482499b530884747e193,el-3-geth-prysm--606626f9ee9c49ee9eb04ef20bb2929d,el-4-geth-prysm--f1754fd0761f40bb9acbcb9e9302bd8e,el-5-geth-prysm--f94a5d18b5684cdca5e8a5e9fa994ec3,el-forkmon--6f9431cb54ee47a7a1992238557683ef,ethereum-metrics-exporter-1-prysm-geth--d52fdae9fb2e4ecdb438ea1ab139b096,ethereum-metrics-exporter-2-prysm-geth--64fa870b863343e4b976cefefbbe217a,ethereum-metrics-exporter-3-prysm-geth--3aa770c39dc84aa38ecae4d357b1ff78,ethereum-metrics-exporter-4-prysm-geth--c35216f8f4ad46799cd97aa5ff833c4f,ethereum-metrics-exporter-5-prysm-geth--186affe656734e5795966d0af83c6d96,grafana--b00abafe65184f5caa6721a800c6d010,helpers-grafana-1,kurtosis-api--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-engine--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-logs-aggregator,kurtosis-logs-collector--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-reverse-proxy--3de9051e1dbb465ba4e1ab813b9681bf,portainer,prometheus,prometheus--b1fe3fc0b5dc477ab6385a2500d7c92a,validator-key-generation-cl-validator-keystore--720f0f410e5e4ddebe256ae3833b60ba,vc-1-geth-prysm--002232e17da6491eaab9374c1095bdb4,vc-2-geth-prysm--ea63ae36cf064ae38c79fc09b0bdbfc0,vc-3-geth-prysm--d250afe00edc4f7e85d4e85cfcd659f2,vc-4-geth-prysm--b073613778674434ab8d5ba9136e4eb6,vc-5-geth-prysm--37cd0b0864644d9d85d3573c71fd0537
1717054272,3751936.0,165691392.0,294260736.0,307519488.0,311427072.0,331431936.0,335355904.0,18735104.0,48001024.0,47636480.0,45830144.0,47464448.0,47063040.0,20443136.0,8511488.0,9003008.0,9011200.0,8499200.0,8310784.0,87375872.0,66142208.0,24858624.0,23379968.0,12795904.0,5017600.0,34971648.0,17162240.0,764686336.0,63983616.0,15978496.0,27299840.0,25968640.0,27205632.0,26038272.0,25702400.0
1717054287,3751936.0,197697536.0,301092864.0,348925952.0,314126336.0,331530240.0,343195648.0,19087360.0,48721920.0,47689728.0,46129152.0,47853568.0,47124480.0,21258240.0,9007104.0,8572928.0,8761344.0,9261056.0,8581120.0,87535616.0,66142208.0,24854528.0,23379968.0,12763136.0,5013504.0,34971648.0,17162240.0,764776448.0,63967232.0,15958016.0,27348992.0,27574272.0,24727552.0,25899008.0,25718784.0
1717054302,3751936.0,184012800.0,301436928.0,349339648.0,316825600.0,331636736.0,353312768.0,19189760.0,48762880.0,48574464.0,46727168.0,48009216.0,47894528.0,20488192.0,9445376.0,9658368.0,9551872.0,9064448.0,9437184.0,87769088.0,66142208.0,24854528.0,23379968.0,12697600.0,5021696.0,35164160.0,19804160.0,764776448.0,62033920.0,6643712.0,27631616.0,28110848.0,24748032.0,26546176.0,26316800.0
1717054317,3751936.0,183959552.0,301449216.0,349384704.0,322646016.0,349782016.0,353472512.0,19210240.0,49123328.0,48480256.0,46387200.0,48746496.0,47984640.0,20484096.0,9129984.0,8380416.0,8835072.0,9408512.0,9179136.0,87769088.0,66142208.0,24854528.0,23379968.0,12410880.0,5021696.0,35164160.0,19804160.0,764792832.0,62050304.0,6643712.0,25935872.0,25653248.0,24809472.0,26763264.0,26603520.0
1717054332,3751936.0,183767040.0,306737152.0,353787904.0,336285696.0,374210560.0,353869824.0,19238912.0,55250944.0,49336320.0,47341568.0,48906240.0,49135616.0,22048768.0,11247616.0,9502720.0,8847360.0,9281536.0,8622080.0,87773184.0,43782144.0,25546752.0,23973888.0,12582912.0,5017600.0,35164160.0,19804160.0,765362176.0,62017536.0,6643712.0,25944064.0,25812992.0,25378816.0,25374720.0,28504064.0
1717054347,3751936.0,183746560.0,306741248.0,356253696.0,336396288.0,374255616.0,353685504.0,15163392.0,55832576.0,49381376.0,48111616.0,49709056.0,49025024.0,22806528.0,10371072.0,9089024.0,9154560.0,8802304.0,10235904.0,87777280.0,43782144.0,25546752.0,23973888.0,12795904.0,5050368.0,35164160.0,19804160.0,765460480.0,62021632.0,6643712.0,26050560.0,26304512.0,25645056.0,25382912.0,28762112.0
1717054362,3747840.0,183410688.0,308727808.0,356282368.0,342896640.0,374272000.0,360222720.0,15310848.0,56188928.0,49434624.0,47837184.0,49131520.0,49438720.0,21954560.0,10706944.0,8908800.0,9359360.0,9785344.0,8994816.0,90558464.0,43782144.0,27631616.0,23973888.0,12918784.0,5013504.0,35639296.0,19804160.0,824520704.0,62042112.0,6643712.0,33234944.0,26320896.0,25759744.0,26136576.0,28774400.0
1717054377,3747840.0,183648256.0,312455168.0,356311040.0,354988032.0,374308864.0,360550400.0,15323136.0,56504320.0,50495488.0,48279552.0,50737152.0,49971200.0,22700032.0,11104256.0,9617408.0,9515008.0,8577024.0,9461760.0,90611712.0,43786240.0,27631616.0,23973888.0,12886016.0,5013504.0,35639296.0,19804160.0,824524800.0,62029824.0,6643712.0,33501184.0,25825280.0,25165824.0,26013696.0,26480640.0
1717054392,3747840.0,183398400.0,312532992.0,360718336.0,355123200.0,373252096.0,360574976.0,15486976.0,56745984.0,50855936.0,48836608.0,50659328.0,49881088.0,23367680.0,11104256.0,9179136.0,9555968.0,9089024.0,8413184.0,90619904.0,43786240.0,27631616.0,23973888.0,12808192.0,5017600.0,35639296.0,19804160.0,824750080.0,62042112.0,6643712.0,33632256.0,25952256.0,25186304.0,26152960.0,26587136.0
1717054407,3747840.0,183386112.0,314671104.0,363704320.0,355135488.0,373284864.0,328290304.0,15495168.0,57139200.0,51060736.0,49266688.0,50606080.0,51073024.0,25329664.0,11001856.0,8863744.0,9048064.0,9342976.0,8990720.0,90619904.0,43786240.0,27631616.0,24104960.0,12865536.0,5021696.0,35639296.0,19804160.0,824913920.0,62103552.0,6643712.0,33636352.0,25968640.0,25198592.0,26193920.0,26615808.0
