timestamp,beacon-metrics-gazer--41187cc62289490d96fa8e943fdd9c80,cadvisor,cl-1-prysm-geth--aa389c42a32547d2ab12fe67ba63476f,cl-2-prysm-geth--a453f7b4bb0d41ab95ec6d8bfc3163e0,cl-3-prysm-geth--f37998bfa5fb4219ba4d93002004bcf7,cl-4-prysm-geth--74ce62db53534923a5a0c50033b1e287,cl-5-prysm-geth--30d3adb3ae1945a6bdaa08037a4ea45d,dora--2013dff356474be4a223e18bf39604d3,el-1-geth-prysm--6930da1eaad9437bb3862dcabd2a5a9b,el-2-geth-prysm--a00d33a98893482499b530884747e193,el-3-geth-prysm--606626f9ee9c49ee9eb04ef20bb2929d,el-4-geth-prysm--f1754fd0761f40bb9acbcb9e9302bd8e,el-5-geth-prysm--f94a5d18b5684cdca5e8a5e9fa994ec3,el-forkmon--6f9431cb54ee47a7a1992238557683ef,ethereum-metrics-exporter-1-prysm-geth--d52fdae9fb2e4ecdb438ea1ab139b096,ethereum-metrics-exporter-2-prysm-geth--64fa870b863343e4b976cefefbbe217a,ethereum-metrics-exporter-3-prysm-geth--3aa770c39dc84aa38ecae4d357b1ff78,ethereum-metrics-exporter-4-prysm-geth--c35216f8f4ad46799cd97aa5ff833c4f,ethereum-metrics-exporter-5-prysm-geth--186affe656734e5795966d0af83c6d96,grafana--b00abafe65184f5caa6721a800c6d010,helpers-grafana-1,kurtosis-api--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-engine--3de9051e1dbb465ba4e1ab813b9681bf,kurtosis-logs-aggregator,kurtosis-logs-collector--f4c77b295d9f42719bdaaaa6536797d0,kurtosis-reverse-proxy--3de9051e1dbb465ba4e1ab813b9681bf,portainer,prometheus,prometheus--b1fe3fc0b5dc477ab6385a2500d7c92a,validator-key-generation-cl-validator-keystore--720f0f410e5e4ddebe256ae3833b60ba,vc-1-geth-prysm--002232e17da6491eaab9374c1095bdb4,vc-2-geth-prysm--ea63ae36cf064ae38c79fc09b0bdbfc0,vc-3-geth-prysm--d250afe00edc4f7e85d4e85cfcd659f2,vc-4-geth-prysm--b073613778674434ab8d5ba9136e4eb6,vc-5-geth-prysm--37cd0b0864644d9d85d3573c71fd0537
1717054272,13139968.0,272228352.0,314994688.0,307699712.0,311676928.0,331706368.0,335503360.0,26161152.0,67297280.0,48115712.0,45830144.0,47464448.0,47210496.0,36196352.0,14942208.0,9003008.0,9265152.0,8581120.0,8310784.0,180420608.0,70864896.0,68415488.0,46825472.0,44707840.0,19988480.0,103903232.0,23044096.0,768937984.0,107429888.0,18063360.0,51744768.0,26357760.0,27205632.0,26038272.0,25894912.0
1717054287,13139968.0,272416768.0,321830912.0,349110272.0,314380288.0,331808768.0,343347200.0,26513408.0,68042752.0,48173056.0,46354432.0,48164864.0,47276032.0,37019648.0,15437824.0,8572928.0,9015296.0,9342976.0,8581120.0,180580352.0,70864896.0,68411392.0,46825472.0,44990464.0,19984384.0,103903232.0,23044096.0,769081344.0,107507712.0,17256448.0,51806208.0,27971584.0,25030656.0,26083328.0,25923584.0
1717054302,13139968.0,272232448.0,322174976.0,349523968.0,317079552.0,331915264.0,353464320.0,26615808.0,68091904.0,49094656.0,46960640.0,48349184.0,48078848.0,36261888.0,15876096.0,9658368.0,9805824.0,9146368.0,9437184.0,180813824.0,70864896.0,68411392.0,46825472.0,45289472.0,19992576.0,104095744.0,25825280.0,769134592.0,105672704.0,15462400.0,52092928.0,28516352.0,25055232.0,26734592.0,26521600.0
1717054317,13139968.0,272232448.0,322199552.0,349581312.0,322912256.0,350072832.0,353636352.0,26636288.0,68481024.0,49008640.0,46653440.0,49119232.0,48181248.0,36261888.0,15560704.0,8380416.0,9089024.0,9490432.0,9179136.0,180813824.0,70864896.0,68411392.0,46825472.0,45355008.0,19992576.0,104095744.0,25825280.0,769204224.0,105799680.0,15462400.0,50405376.0,26071040.0,25124864.0,26955776.0,26812416.0
1717054332,13139968.0,272486400.0,320864256.0,353787904.0,336551936.0,374300672.0,353869824.0,25047040.0,67563520.0,49610752.0,47611904.0,49012736.0,49135616.0,34566144.0,15589376.0,9502720.0,8847360.0,9363456.0,8622080.0,180817920.0,70094848.0,59219968.0,40988672.0,46071808.0,19988480.0,104095744.0,25825280.0,768102400.0,96882688.0,15462400.0,50434048.0,26009600.0,25751552.0,25608192.0,28729344.0
1717054347,13139968.0,272601088.0,320868352.0,356253696.0,336662528.0,374353920.0,353685504.0,20971520.0,68173824.0,49664000.0,48410624.0,49844224.0,49025024.0,35336192.0,14712832.0,9089024.0,9154560.0,8884224.0,10235904.0,180822016.0,70094848.0,59219968.0,40988672.0,46604288.0,20021248.0,104095744.0,25825280.0,768253952.0,96997376.0,15462400.0,50544640.0,26509312.0,26021888.0,25620480.0,29003776.0
1717054362,10960896.0,272355328.0,322854912.0,356282368.0,343162880.0,374374400.0,360321024.0,21118976.0,68538368.0,49750016.0,47874048.0,49270784.0,49438720.0,31862784.0,15048704.0,8908800.0,9359360.0,9867264.0,8994816.0,162553856.0,70098944.0,53116928.0,40988672.0,40161280.0,16936960.0,89432064.0,25825280.0,827367424.0,97103872.0,15462400.0,49373184.0,26537984.0,25853952.0,26136576.0,28774400.0
1717054377,10960896.0,272605184.0,326586368.0,356311040.0,355258368.0,374415360.0,360656896.0,21131264.0,68886528.0,50823168.0,48357376.0,50913280.0,49971200.0,32620544.0,15446016.0,9617408.0,9515008.0,8658944.0,9461760.0,162664448.0,70103040.0,53116928.0,40988672.0,40472576.0,16936960.0,89432064.0,25825280.0,827424768.0,97218560.0,15462400.0,49717248.0,26066944.0,25313280.0,26013696.0,26480640.0
1717054392,10960896.0,272367616.0,326668288.0,360718336.0,355397632.0,373362688.0,360693760.0,21295104.0,69136384.0,51220480.0,48926720.0,50843648.0,49881088.0,33296384.0,15446016.0,9179136.0,9555968.0,9170944.0,8413184.0,162672640.0,70103040.0,53116928.0,40988672.0,40882176.0,16941056.0,89432064.0,25825280.0,827703296.0,97333248.0,15462400.0,49893376.0,26251264.0,25366528.0,26152960.0,26587136.0
1717054407,10960896.0,272363520.0,328810496.0,363704320.0,355414016.0,373399552.0,328413184.0,21303296.0,69562368.0,51429376.0,49389568.0,50823168.0,51073024.0,35270656.0,15343616.0,8863744.0,9048064.0,9424896.0,8990720.0,162672640.0,70103040.0,53116928.0,41123840.0,41308160.0,16945152.0,89432064.0,25825280.0,827920384.0,97513472.0,15462400.0,49901568.0,26275840.0,25378816.0,26193920.0,26615808.0
