timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth,ethereum-metrics-exporter-3-prysm-geth,ethereum-metrics-exporter-4-prysm-geth,ethereum-metrics-exporter-5-prysm-geth
1717054122,0.0,0.0,0.0,0.0,0.0
1717054137,0.0,0.0,0.0,0.0,0.0
1717054152,0.0,0.0,0.0,0.0,0.0
1717054167,0.0,0.0,0.0,0.0,0.0
1717054182,0.0,0.0,0.0,0.0,0.0
1717054197,0.0,0.0,0.0,0.0,0.0
1717054212,0.0,0.0,0.0,0.0,0.0
1717054227,0.0,0.0,0.0,0.0,0.0
1717054242,0.0,0.0,0.0,0.0,0.0
1717054257,0.0,0.0,0.0,0.0,0.0
1717054272,0.0,0.0,0.0,0.0,0.0
1717054287,0.0,0.0,0.0,0.0,0.0
1717054302,0.0,0.0,0.0,0.0,0.0
1717054317,0.0,0.0,0.0,0.0,0.0
1717054332,0.0,0.0,0.0,0.0,0.0
1717054347,0.0,0.0,0.0,0.0,0.0
1717054362,0.0,0.0,0.0,0.0,0.0
1717054377,0.0,0.0,0.0,0.0,0.0
1717054392,0.0,0.0,0.0,0.0,0.0
1717054407,0.0,0.0,0.0,0.0,0.0
1717054422,0.0,0.0,0.0,0.0,0.0
1717054437,0.0,0.0,0.0,0.0,0.0
1717054452,0.0,0.0,0.0,0.0,0.0
1717054467,1615922.0,210098.0,210098.0,210098.0,210098.0
1717054482,1023071.0,1023071.0,1023071.0,1615922.0,1023071.0
1717054497,257158.0,257158.0,257158.0,1023071.0,257158.0
1717054512,1911898.0,1911898.0,1911898.0,1911898.0,1911898.0
1717054527,93558.0,114945.0,114945.0,114945.0,93558.0
1717054542,105261.0,105261.0,105261.0,93558.0,105261.0
1717054557,76520.0,76520.0,76520.0,105261.0,76520.0
1717054572,0.0,0.0,0.0,0.0,0.0
1717054587,0.0,0.0,0.0,0.0,0.0
1717054602,0.0,0.0,0.0,0.0,0.0
1717054617,0.0,0.0,0.0,0.0,0.0
1717054632,0.0,0.0,0.0,0.0,0.0
1717054647,0.0,0.0,0.0,0.0,0.0
1717054662,0.0,0.0,0.0,0.0,0.0
1717054677,0.0,0.0,0.0,0.0,0.0
1717054692,48858.0,48858.0,48858.0,0.0,48858.0
1717054707,0.0,0.0,0.0,0.0,0.0
1717054722,0.0,0.0,0.0,0.0,0.0
1717054737,0.0,0.0,0.0,0.0,0.0
1717054752,0.0,0.0,0.0,0.0,0.0
1717054767,0.0,0.0,0.0,0.0,0.0
