timestamp,beacon-metrics-gazer--e7d3d1b423014ee5a3d5f213061bd9b7,cadvisor,cl-1-prysm-geth--1602b089b3554faabfdd6b7e6678ac4c,cl-2-prysm-geth--d9843c17ce45455cab1a10d84dc8b306,cl-3-prysm-geth--173228f84efa4936b86c0128b52f40c8,cl-4-prysm-geth--41d076642b854b249a6c74a82cfbc88d,cl-5-prysm-geth--1ad1d6068ae0453b87327c5c519e5799,dora--fea04be8155341049ae44a229caade91,el-1-geth-prysm--367c9d704dff496d9814c0ab6cc507da,el-2-geth-prysm--5540b55ba59c404a950fd9b1403c3f27,el-3-geth-prysm--7500a0b6c80e4a68a56d5b97cc0b7411,el-4-geth-prysm--9e704a36409e495aa99ffe36cb63eb55,el-5-geth-prysm--f14512f12774480297105e47431cf968,el-forkmon--934ad11f00614e9397c1cd5fccb88972,ethereum-metrics-exporter-1-prysm-geth--536f809392594c2a9672509dedb9536a,ethereum-metrics-exporter-2-prysm-geth--4545a585ec7049ab9d5f50c1e6afc307,ethereum-metrics-exporter-3-prysm-geth--2640fbb79054430ba669eb445773a634,ethereum-metrics-exporter-4-prysm-geth--00231386c26a4dbcaf045147e3c3f2af,ethereum-metrics-exporter-5-prysm-geth--d67e275be273439fac04cf4ea8e735be,grafana--59dd93c8cfba43acb6dea7c5eefa6b69,helpers-grafana-1,kurtosis-api--12b76d53e3a3431880ce75ba5b5db142,kurtosis-engine--5c811456292d47799b9e2a915ff09c5c,kurtosis-logs-aggregator,kurtosis-logs-collector--12b76d53e3a3431880ce75ba5b5db142,kurtosis-reverse-proxy--5c811456292d47799b9e2a915ff09c5c,portainer,prometheus,prometheus--e4a5aa36e27b4a0c84ef39c56de88dcb,validator-key-generation-cl-validator-keystore--290d50834a8e4a5e8de7169613053c0b,vc-1-geth-prysm--5600c4c96a844bb4b9a2cc80c03f3569,vc-2-geth-prysm--1577d5d38f0f4a0887cb1fb88044cb26,vc-3-geth-prysm--635c4c189aaa4a0cbfae01aa58960591,vc-4-geth-prysm--5ed42ae8a86e41e2884f11e25330b785,vc-5-geth-prysm--02383982044149879109c61bead94905
1716975932,18.612627591962507,417.28516479782525,35333.80729316429,35225.08501409964,37175.49614832637,37071.73442822384,35517.47746968794,169.5155316296969,1746.9359793721571,2189.954767399141,2763.563674205633,2362.1917179118145,2836.4278273308646,6926.084821133372,3817.4365396648827,2976.787053718039,4533.826097413241,3432.7814234620887,3827.910570768723,45.3603312041637,17.956277984185956,4.978424681879577,0.0,10822.185606566129,11879.603179568192,4.666666666666667,0.0,21092.398763056008,17593.507407407407,4.928087630792228,1150.639053030303,1212.5760241330356,1174.769509223808,1210.3732689849705,1044.6691754814212
1716975947,26.71005489270719,562.765198411396,50231.17155149676,49197.0116457871,51537.409048498324,50403.34253104783,52277.06194202156,335.07980655056394,3211.0886696245284,3531.280797303905,4109.321527890714,3561.123921609963,3849.6077979825545,10529.760467277312,4687.115084731682,4198.427373620515,4411.48274953911,3827.028645028557,4082.332106783906,68.91305646847924,20.00839859252552,5.253025886770081,0.0,15252.358694014669,17181.83349817655,5.813871254665318,0.0,34268.99409612331,25114.39069555877,5.29926913227126,1959.7815256461145,2148.0865168379964,1898.436592029351,1972.0421464353904,1712.1204654488424
1716975962,35.120678985058795,691.3803496081978,75774.00519984135,76067.77701185209,77546.49837847313,80213.08657409475,78165.78725668424,399.27007299270076,4443.28455797804,5309.149948845691,5785.868321450577,4844.01690587303,5474.021432600112,18821.655769570592,6250.140150241058,5758.955745429132,5939.271802031028,5447.448659313067,5456.800908534988,86.37709772951628,23.926936600252095,4.741155487323053,0.0,22653.808934398563,26631.44204911167,4.471605306304963,0.0,47443.727783171526,33645.381526104415,4.630446286823073,2569.1575354769175,2707.2317006053936,2517.620505486156,2600.0260061114363,2366.409639637615
1716975977,38.868781332194324,657.0613409415121,73482.0428696413,72754.4063997187,75113.15025976655,78469.2939671804,75246.4465485509,399.3324196471993,5113.3055677334505,5387.0033387136,5513.209656269481,5349.080258282113,5165.820144211147,19428.784472588868,5468.6529011216635,5259.538220130015,4706.874217366898,4613.7421919364,4811.567850726237,714.7151129381602,16.35844823455096,9.116759643143979,0.0,22706.478948421965,26172.502504325654,8.359373445057022,0.0,53380.215091600876,33134.97248199025,9.204269027634723,2436.441893830703,2585.6255150448787,2438.482018156425,2560.8120233288473,2341.94559053902
1716975992,39.2054601936464,664.2127814750661,74756.96594427244,75975.71123355448,78701.87516985234,80760.86463950695,74976.87104048106,337.20560874892226,5424.227238559486,5043.640979623995,5138.4034327090685,5543.738785636755,5396.750933889324,19854.719384904227,6634.003805381897,6144.303227983355,6431.833879197023,6167.346665774864,6346.8640284339635,724.1535397428934,14.626122521561307,9.294091613188758,0.0,22969.718608439518,26484.45939760139,8.820749763729916,0.0,54851.071041214745,33892.46906462057,9.353911939600456,2167.6164711621614,2210.095022229971,2121.174542716684,2308.2254566592883,2228.9193435754187
1716976007,39.75631768953068,636.4598725271817,62582.48664272576,62821.10433752906,67473.71068032186,66131.21923347398,65496.55003014537,405.0187874925839,5117.401079136691,4617.69619745606,4806.875241405948,5891.609786366456,4812.340980995155,15202.545374059318,5936.632402038306,5199.565207843826,5491.452712266719,6095.827487894285,6447.075084715534,719.5847350012253,11.914645365404894,12.125936512060976,0.0,20273.780128051047,21276.924764202675,12.302284710017576,0.0,55545.641776699704,34106.828445012085,10.842387095346623,2276.537347245518,2310.84635618134,2107.4634805931773,2503.508208749885,2460.3993124421527
1716976022,34.11213926192936,632.9248439902325,74107.51945069889,73860.39463936965,67142.47317899493,74370.67482743984,77325.30968778192,401.3433530624459,5669.295839048926,5334.1510191338475,5437.296142166236,5699.72007613929,5196.140913785905,21061.310592459602,5940.153532821558,5276.342300453892,5901.406536658286,6597.861860269917,5910.0411710887465,80.98761108435845,10.412942438326779,6.252093334821926,1.4976465554129226,20783.737600142027,26292.113745749986,6.0040741932025306,0.0,54035.874040280396,34028.704794311394,4.6723773500945605,2462.3630039594864,2515.6623307671885,2191.2032560545076,2554.7802426875564,2620.141460278043
1716976037,32.17472482143245,620.8529785355981,73817.7426438296,73082.5706731747,74617.90275599372,74254.13734902786,76345.87035428775,386.0155140391129,5813.257792866275,5017.099359332098,5807.706821158243,5767.273298476314,5727.729588324383,20912.749918059653,4439.740991983084,3908.4026258205686,4479.701889086529,5213.619095720152,4990.573606097071,709.5789450731559,14.055505819158462,4.757697274519133,0.0,22835.902547065336,25201.22456094479,4.577856255313583,0.0,53636.75704318644,34240.44989133601,3.1893566611991986,2439.3567120839843,2513.7157669333938,2241.66496448106,2440.984159083249,2666.689407377087
1716976052,29.68435488508925,622.8715387902918,77265.64019082501,74302.53451654813,75078.44805024863,75895.6554691157,75975.18030017543,325.97723003100884,6138.246093416446,5376.798196166855,5849.048681855346,5763.942253040809,6298.537624128116,21791.10843158271,5934.944732987082,5641.390060517147,6297.9036903087535,5842.304874369694,6328.027499835789,708.9042604749527,10.312700555469494,1.5582565335470369,0.0,23785.927737027985,27201.249052878105,1.592030748936751,0.0,53422.868072196456,34343.214002990586,1.5532084849560661,2271.9042853243564,2377.005945196907,2128.85722478329,1967.0668362178587,2390.8118313404652
1716976067,54.77961182659169,649.3679744565455,66705.97973199705,66002.42875286883,75362.25342331981,65532.88859239493,65450.39405039406,419.8535754573002,6067.257402204451,5099.049865076306,5651.599022881603,5160.446444326804,6201.433691756272,17477.482222807477,5534.482002718226,4945.815170008717,5782.82221979701,4891.147958064658,6972.980161808711,735.2907678640578,32.87683258713019,50.77110839897926,19.06793786252417,22065.641592920354,21519.92599847644,51.6583504549457,25.55510878791941,55833.21085748404,34141.50985966337,25.03830159772379,2436.182803040648,2443.5164056095887,2357.4883514532953,1970.4411989433931,2588.5296811814383
