timestamp,beacon-metrics-gazer--1d085c0e3a0442b4a9ea5b7fded4a940,cadvisor,cl-1-prysm-geth--281cae6a1de54b17a7e93fc69e1fb584,cl-2-prysm-geth--9e5fff65ac404cf188ee4aecafd6938d,cl-3-prysm-geth--e2fa3dfa54724de2a216210c9a6aaaaf,cl-4-prysm-geth--e5f6c84f95864b62bf703d1fc1eb2317,cl-5-prysm-geth--e5d9a4f47c5943fea91694bde5f20eb1,dora--9943d72ad251431eb6fb33c0b6739f33,el-1-geth-prysm--ffecab9c8fa543d6adaa51f5d35a213c,el-2-geth-prysm--8633305d09784723aa04f4b66c467264,el-3-geth-prysm--e24e56fb1c8340c5a97a3c0655352dc2,el-4-geth-prysm--8d6843a6c1354af6b2d7632683f9756f,el-5-geth-prysm--001ce20020f74de4aa542f837decc2ae,el-forkmon--e2566cf8b7e949579d43ad368c58c1c2,ethereum-metrics-exporter-1-prysm-geth--d04ba5caaa464ff887d751f2497a2544,ethereum-metrics-exporter-2-prysm-geth--13f33f0edb4345d182f6f94bd23910d7,ethereum-metrics-exporter-3-prysm-geth--0d8c2ceef0754942a6e8138fafc98326,ethereum-metrics-exporter-4-prysm-geth--00e2cf241b1149c882b474a9d7aaeb0a,ethereum-metrics-exporter-5-prysm-geth--a4c2019fb8124f8a999874562440f62f,grafana--d652ea8a10184dc5a28851407774d8ea,helpers-grafana-1,kurtosis-api--6315bc785aa84b48824e307dcb7e4b74,kurtosis-engine--f91740d5a8a541d88661bee106dac019,kurtosis-logs-aggregator,kurtosis-logs-collector--6315bc785aa84b48824e307dcb7e4b74,kurtosis-reverse-proxy--f91740d5a8a541d88661bee106dac019,portainer,prometheus,prometheus--1b7bc418fadc4c16b1db60d937c88ca8,validator-key-generation-cl-validator-keystore--bb5e8255cc9640f79496fa26f5b29c7a,vc-1-geth-prysm--24176288ee1e42a0a3ce22426afc0d7f,vc-2-geth-prysm--9db0a1514fb04d2bbedcc729f6df68cf,vc-3-geth-prysm--a2b90fcb984f4e57aba5ca78b13b9edf,vc-4-geth-prysm--28b952348d4d4b318471cd51df362b1f,vc-5-geth-prysm--6d15c14d845f4d9eb3ebc4c289a7b93c
1716892223,4431872.0,257957888.0,338186240.0,350748672.0,365686784.0,361299968.0,314171392.0,21225472.0,50896896.0,49876992.0,49573888.0,49799168.0,49426432.0,21229568.0,8687616.0,9609216.0,10268672.0,8556544.0,9089024.0,74465280.0,174419968.0,22654976.0,15646720.0,17612800.0,6238208.0,30679040.0,16044032.0,628813824.0,106647552.0,11964416.0,26357760.0,25894912.0,26963968.0,26820608.0,25718784.0
1716892238,4431872.0,259371008.0,346726400.0,371294208.0,366096384.0,370315264.0,333996032.0,21012480.0,51646464.0,50253824.0,50524160.0,50364416.0,49704960.0,21692416.0,9400320.0,10584064.0,8527872.0,9023488.0,8716288.0,74301440.0,174419968.0,22654976.0,15745024.0,18276352.0,5718016.0,24272896.0,16044032.0,628813824.0,109555712.0,11661312.0,26382336.0,25931776.0,26984448.0,26849280.0,25718784.0
1716892253,4431872.0,259620864.0,346664960.0,371429376.0,366116864.0,370753536.0,334409728.0,19853312.0,52396032.0,51048448.0,50544640.0,50364416.0,49684480.0,22323200.0,8605696.0,9256960.0,9322496.0,8912896.0,8884224.0,75264000.0,174415872.0,22654976.0,15745024.0,18276352.0,5713920.0,24272896.0,16044032.0,628924416.0,109629440.0,11661312.0,26390528.0,26025984.0,27025408.0,26857472.0,25780224.0
1716892268,4431872.0,259624960.0,354123776.0,371544064.0,366219264.0,370753536.0,336445440.0,19853312.0,52727808.0,51523584.0,50913280.0,50393088.0,50761728.0,22159360.0,9564160.0,9338880.0,8994816.0,9826304.0,8884224.0,75747328.0,172883968.0,22654976.0,15745024.0,18653184.0,5718016.0,24272896.0,15753216.0,628924416.0,109731840.0,11661312.0,26406912.0,26025984.0,27054080.0,26877952.0,25784320.0
1716892283,4169728.0,259928064.0,354123776.0,371609600.0,367341568.0,370528256.0,344244224.0,20033536.0,53043200.0,52117504.0,51052544.0,51445760.0,50937856.0,23576576.0,9293824.0,9711616.0,10145792.0,9134080.0,8740864.0,75780096.0,172916736.0,22040576.0,15745024.0,18403328.0,5709824.0,24272896.0,15724544.0,658595840.0,109916160.0,11661312.0,26640384.0,25391104.0,28098560.0,27074560.0,25858048.0
1716892298,4169728.0,262217728.0,364183552.0,373780480.0,377937920.0,370667520.0,347086848.0,20054016.0,53035008.0,52510720.0,51773440.0,52793344.0,51539968.0,22679552.0,9240576.0,9326592.0,8437760.0,8241152.0,8462336.0,75927552.0,172953600.0,22040576.0,15708160.0,19296256.0,5709824.0,24272896.0,15724544.0,658661376.0,113446912.0,11661312.0,26857472.0,25452544.0,28135424.0,27074560.0,26001408.0
1716892313,4169728.0,266645504.0,363995136.0,373956608.0,377950208.0,370757632.0,347107328.0,20099072.0,53137408.0,52887552.0,52215808.0,51974144.0,51691520.0,21262336.0,9895936.0,8597504.0,8552448.0,9572352.0,8241152.0,75927552.0,172957696.0,22040576.0,15253504.0,19709952.0,5914624.0,24272896.0,18788352.0,658718720.0,113557504.0,11661312.0,26882048.0,25460736.0,27365376.0,24485888.0,26009600.0
1716892328,4169728.0,276217856.0,364027904.0,373997568.0,378253312.0,372645888.0,346980352.0,20828160.0,53772288.0,53305344.0,52641792.0,52072448.0,53006336.0,21762048.0,8777728.0,8736768.0,8978432.0,10448896.0,9482240.0,75927552.0,172982272.0,22040576.0,15253504.0,20021248.0,5746688.0,24272896.0,18788352.0,589914112.0,113668096.0,11661312.0,25968640.0,25018368.0,27373568.0,24752128.0,26038272.0
1716892343,4169728.0,275955712.0,364130304.0,376164352.0,378011648.0,374816768.0,351940608.0,20897792.0,54759424.0,54079488.0,52764672.0,52985856.0,53006336.0,24768512.0,9355264.0,8970240.0,8876032.0,10592256.0,9187328.0,75943936.0,172982272.0,22040576.0,15253504.0,20430848.0,5718016.0,24272896.0,18788352.0,600354816.0,113782784.0,11661312.0,26251264.0,25034752.0,27385856.0,24784896.0,26075136.0
1716892358,4169728.0,276250624.0,364261376.0,378310656.0,380080128.0,375119872.0,351993856.0,20967424.0,54288384.0,53886976.0,53358592.0,53096448.0,53092352.0,23773184.0,8990720.0,9158656.0,8945664.0,8921088.0,8826880.0,76058624.0,172982272.0,22040576.0,15253504.0,21073920.0,5709824.0,24272896.0,18788352.0,611176448.0,113967104.0,11661312.0,26263552.0,25059328.0,27430912.0,24592384.0,26087424.0
