timestamp,beacon-metrics-gazer--1d085c0e3a0442b4a9ea5b7fded4a940,cadvisor,cl-1-prysm-geth--281cae6a1de54b17a7e93fc69e1fb584,cl-2-prysm-geth--9e5fff65ac404cf188ee4aecafd6938d,cl-3-prysm-geth--e2fa3dfa54724de2a216210c9a6aaaaf,cl-4-prysm-geth--e5f6c84f95864b62bf703d1fc1eb2317,cl-5-prysm-geth--e5d9a4f47c5943fea91694bde5f20eb1,dora--9943d72ad251431eb6fb33c0b6739f33,el-1-geth-prysm--ffecab9c8fa543d6adaa51f5d35a213c,el-2-geth-prysm--8633305d09784723aa04f4b66c467264,el-3-geth-prysm--e24e56fb1c8340c5a97a3c0655352dc2,el-4-geth-prysm--8d6843a6c1354af6b2d7632683f9756f,el-5-geth-prysm--001ce20020f74de4aa542f837decc2ae,el-forkmon--e2566cf8b7e949579d43ad368c58c1c2,ethereum-metrics-exporter-1-prysm-geth--d04ba5caaa464ff887d751f2497a2544,ethereum-metrics-exporter-2-prysm-geth--13f33f0edb4345d182f6f94bd23910d7,ethereum-metrics-exporter-3-prysm-geth--0d8c2ceef0754942a6e8138fafc98326,ethereum-metrics-exporter-4-prysm-geth--00e2cf241b1149c882b474a9d7aaeb0a,ethereum-metrics-exporter-5-prysm-geth--a4c2019fb8124f8a999874562440f62f,grafana--d652ea8a10184dc5a28851407774d8ea,helpers-grafana-1,kurtosis-api--6315bc785aa84b48824e307dcb7e4b74,kurtosis-engine--f91740d5a8a541d88661bee106dac019,kurtosis-logs-aggregator,kurtosis-logs-collector--6315bc785aa84b48824e307dcb7e4b74,kurtosis-reverse-proxy--f91740d5a8a541d88661bee106dac019,portainer,prometheus,prometheus--1b7bc418fadc4c16b1db60d937c88ca8,validator-key-generation-cl-validator-keystore--bb5e8255cc9640f79496fa26f5b29c7a,vc-1-geth-prysm--24176288ee1e42a0a3ce22426afc0d7f,vc-2-geth-prysm--9db0a1514fb04d2bbedcc729f6df68cf,vc-3-geth-prysm--a2b90fcb984f4e57aba5ca78b13b9edf,vc-4-geth-prysm--28b952348d4d4b318471cd51df362b1f,vc-5-geth-prysm--6d15c14d845f4d9eb3ebc4c289a7b93c
1716892073,36.46474415333216,702.8457535156683,73842.79006494646,77955.87516116125,76225.24692845097,75380.42861507571,75047.79017857143,400.98515609398925,10299.547632910826,9065.236898779613,9944.560576409891,8864.056053958484,10168.92805625676,13431.335556335554,6928.2827843921095,5286.62177328844,5997.265590544235,5775.821206281703,6951.747797035809,666.7188548423172,273.31281600351724,16.778751443516065,1.584011983533803,23985.64409988281,26981.40589569161,5.511061753530866,1.5207803775880422,52987.81858745817,33876.916975145425,12.32813831996328,2175.5509299063306,2116.1405994067914,2425.471346924475,2300.600463896295,2273.8304291053178
1716892088,31.98697641675466,661.8559000669194,74424.07593523171,76329.85395377396,77611.3810942154,64748.439450686645,75767.67610269914,402.014877029955,9860.664898862617,9325.126497710995,9566.7421800122,9189.657426778243,9980.453427298717,14224.333909247976,6362.304260344677,5346.704997788589,6841.229849947605,5026.629650194337,6207.95535396656,669.5465329692465,12.88758166999708,8.701635996359519,1.3224764315807374,22697.836554173296,21720.755384547345,6.47818240710749,1.557563081304793,54786.3553134254,36300.83461453986,8.162430085034789,2392.275036843147,2372.5749065765626,2691.815231405326,2444.879437672391,2352.423105439349
1716892103,31.82133961400952,638.5062681023237,64734.5047132669,67046.75324675326,69642.6310079922,71878.49671885149,65552.97503513822,408.3538194366134,10619.496994342293,9304.386138831978,10093.164500224117,9475.376074498568,10042.761841227484,14555.040914003399,6173.993713437529,5775.361831033322,6929.226479621844,5475.441306266549,6285.899329621634,86.82556312205342,128.13527266177329,5.640991202739911,0.0,20448.649362657685,25396.637921624275,5.141073505110472,0.0,53750.86474501108,33780.3299831006,4.192389201142541,2370.4394929103037,2356.032123868212,2714.3046709129508,2379.6231524314567,2432.3747980613894
1716892118,31.406008895343557,627.6060706768583,74223.91710397581,75549.68688016759,75568.06548407025,75798.61283690667,74076.6203446359,405.79481041530227,11005.524983008487,9396.558166113542,9456.73455609317,10198.413939461632,9815.879564606741,14792.730476924773,4707.215292111639,4637.098385771699,5439.768331134417,3586.8477952257194,4521.663210738841,675.4231821518339,115.46680913583546,5.465903175429464,0.0,22444.446892418866,25073.820212416515,5.272945552129187,0.0,54887.6234036772,34325.5673154543,4.098729844158183,2344.507128487711,2650.73279186896,2371.5781267401712,2452.065330498122,2399.932538790196
1716892133,32.121570590108746,639.0366529751084,74387.31023744648,77897.09530467729,76971.91324312877,78123.97869363066,76330.37080370804,319.5811282513231,12384.658044765856,8769.503862814272,8808.409864134665,9824.669464374352,9853.821188814298,15278.45868774139,5365.057573073516,6083.537311086659,6556.562382873647,5513.545135451354,5490.29480111177,661.1721611721612,121.09643768727113,162.3893509331312,0.8188730746734256,24158.297486982116,26114.804500389888,4.167239089618537,0.9349122963226784,52435.69775239579,33895.03445838487,3.0246726872056344,2190.737816135418,2393.2652647237815,2119.393211830187,2289.9273746716403,2133.283447410701
1716892148,32.16400911161731,661.8824871648601,73470.55156844908,75547.13545618103,74935.50875919034,72026.91698710699,75073.71167645139,319.5687640548526,11945.947775846895,8944.830025197825,9484.214284120573,9716.835663949454,9031.38554618858,15971.832881074655,5802.893432045099,6471.785832323454,6273.589866703248,5464.275434517879,5062.889618256713,686.1908631274829,11.290287289674637,160.09056338337766,0.9194798523316963,22698.18412353394,22948.6277739444,3.3643270421650002,0.7225557830268207,55586.12149425551,36017.532396820214,3.0333232222559254,2350.062160570569,2679.414531690988,2185.7161791994345,2494.494952798308,2329.9857178481557
1716892163,29.586180224313527,635.2067326530265,72589.46186815429,69118.53438657563,65579.57772281763,66733.84694631699,75351.87903046476,392.76090283915755,11443.672323934248,8724.376019484727,9395.991752943002,9208.781757233592,9008.238017429194,16156.916602060028,5320.79025856076,6420.880729811916,5650.274303269695,5337.410873440285,4634.8886240718675,83.32968236582694,16.003536693191865,163.3918648588575,0.7164301310043667,19974.226804123715,24871.972395369547,1.9563484210652562,0.8360012348863202,53247.96364195226,34179.402441491875,1.571162435750679,2335.728917719358,2595.726963953106,2327.8032683136316,2524.665524643841,2338.2301196340604
1716892178,32.61659000374144,627.986577181208,74888.49646821393,73739.77115498649,74362.94615586002,76005.25247175142,72262.1166945962,398.3436216251839,11548.250194422839,8900.151962098866,9459.188038999346,9255.27044409078,8331.210885540462,17509.69799531372,5144.843439641128,5565.814393939393,4709.438523239204,5330.3689623570135,4189.265475857016,697.848016139879,8.594133666681548,7.892230235406178,0.0,22517.273349374183,25401.141946620635,4.9145799204306115,0.0,54389.866606882635,33149.89788360976,4.784470974209423,2430.718744262897,2547.8215131059874,2382.1420467438165,2360.5608381757347,2376.3097848962143
1716892193,34.03061000745516,594.984835831392,74377.8257642216,75797.4669431623,77860.00176905046,73304.51267187922,73980.94558111516,380.3035413153457,11526.546464449219,9367.905113850102,8926.095414953354,8969.12902091756,7772.0757788126775,17534.94509426789,5434.72775564409,5608.65732368897,5210.307874741974,5954.608858704351,4513.518270013419,685.6177562983846,7.086155088128448,16.944728427555305,0.0,22955.136696271522,26353.30952165657,10.03974921116256,0.0,53120.58926538832,33387.91934171264,4.750701294000543,2243.219346139393,2382.71021730328,2141.0706599306764,2432.629558541267,2203.6559331079875
1716892208,40.668634981241816,622.6478494623656,63404.050959379245,70553.30659612596,78290.79028425591,75604.92435345314,63411.36784150909,328.3350688418373,13115.278718122321,9756.205035971221,9821.738657382222,9268.894958359451,7471.651675840158,17953.221989014426,5125.384277558191,4767.982342248767,5394.873625270483,5893.201030694815,4287.188306104901,700.4971751412429,2.4306805905653577,20.925160176307543,0.0,22695.989908378702,23244.694682562418,8.75,0.0,53583.460306944915,33880.011461065435,10.730083650856217,2420.7903168387325,2289.799981898814,2345.957836048436,2437.581832136891,2369.2538565091695
