timestamp,grafana--d0d53c19779146e38b8fdd465197be4a,prometheus--02b4ba062c6449aaa83af2289d4581a8,dora--83efb46d635b48fbab0a776f1d432787,beacon-metrics-gazer--e279876f5d7b447a809644c7d8e1d31a,el-forkmon--296a44d8d71144319de7afa6c1f7f44f,vc-5-geth-prysm--6e1c04a42d4042aba438013b75ab88d8,ethereum-metrics-exporter-5-prysm-geth--15cf2cb52a214a1cba25b24323711da5,vc-4-geth-prysm--3a4427e12a1c45f7853e297364915401,ethereum-metrics-exporter-4-prysm-geth--6d071479aad7453daa385c7b0aa6e86f,vc-3-geth-prysm--689af2249dd64389a53d3e93b2314937,ethereum-metrics-exporter-3-prysm-geth--ad3a07c7c1194f4dbc76b4f7b31afb8f,vc-2-geth-prysm--ab9a770aaf694ae68bd6a4b720544624,ethereum-metrics-exporter-2-prysm-geth--45869df02b50441c9678be27708ece24,vc-1-geth-prysm--d2131392290f47afbf2f1bf22856ddb3,ethereum-metrics-exporter-1-prysm-geth--74ba6663bd464dc18ff3328ee650fe0b,cl-5-prysm-geth--84bb1b5e9a6c480b8ad71034b4a29874,cl-4-prysm-geth--f8f5f6e9c5c54cdd92b101a71f6ee5f1,cl-3-prysm-geth--0aa0aaec98f644f49188614afeeed982,cl-2-prysm-geth--5b43dbb1138f405187bb1f285c9d0ffb,cl-1-prysm-geth--10fb289d593f43fd8a6b29394d684cbf,el-5-geth-prysm--8810fc63c683432ebffe4d828c42c0af,el-4-geth-prysm--44e3bac3c9734c17b63a5e87048a0579,el-3-geth-prysm--cba74686a05a471aa73f369be9289b6c,el-2-geth-prysm--aac25400748348689c07778cc82cdb4c,el-1-geth-prysm--5643f7789bc645de97a0a757e4bed33a,validator-key-generation-cl-validator-keystore--a6311fa7ad014983bcebb6cc6a1fd313,kurtosis-api--a393fd3081894d068684cb7ac205bbfe,kurtosis-logs-collector--a393fd3081894d068684cb7ac205bbfe,kurtosis-engine--c7df69c45c1149ada0b9cda29031c282,kurtosis-reverse-proxy--c7df69c45c1149ada0b9cda29031c282,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716638050,144000.0,44000.0,20500.0,15900.0,17900.0,1530.0,451.0,1980.0,487.0,2040.0,791.0,1790.0,844.0,21800.0,5100.0,1850.0,2910.0,2330.0,1590.0,26800.0,1270.0,1620.0,1280.0,1090.0,19900.0,8740.0,36800.0,16000.0,34600.0,91200.0,31200.0,152000.0,115000.0,51900.0,48200.0
1716638065,146000.0,44400.0,20600.0,15900.0,17900.0,1560.0,451.0,1990.0,487.0,2050.0,791.0,1850.0,844.0,21900.0,5140.0,1850.0,2910.0,2330.0,1660.0,26900.0,1270.0,1620.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34600.0,91200.0,31200.0,152000.0,115000.0,53900.0,48200.0
1716638080,146000.0,44400.0,20600.0,15900.0,17900.0,1560.0,512.0,1990.0,487.0,2140.0,791.0,1850.0,844.0,22000.0,5140.0,1850.0,2910.0,2330.0,1670.0,26900.0,1280.0,1620.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54200.0,48200.0
1716638095,146000.0,44400.0,20600.0,15900.0,18100.0,1570.0,512.0,2000.0,487.0,2140.0,791.0,1920.0,844.0,22000.0,5140.0,1860.0,2920.0,2330.0,1670.0,26900.0,1320.0,1620.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54200.0,48200.0
1716638110,146000.0,44400.0,20600.0,15900.0,18100.0,1580.0,512.0,2020.0,487.0,2150.0,791.0,1920.0,844.0,22000.0,5140.0,1860.0,2920.0,2330.0,1670.0,26900.0,1320.0,1730.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54300.0,48200.0
1716638125,146000.0,44400.0,20600.0,15900.0,18100.0,1590.0,512.0,2020.0,487.0,2150.0,905.0,1920.0,844.0,22000.0,5150.0,1860.0,3040.0,2330.0,1680.0,26900.0,1320.0,1800.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54300.0,48200.0
1716638140,146000.0,44400.0,20600.0,15900.0,18100.0,1600.0,512.0,2029.9999999999998,487.0,2160.0,905.0,1930.0,844.0,22000.0,5150.0,1870.0,3040.0,2330.0,1720.0,26900.0,1340.0,1810.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54300.0,48300.0
1716638155,146000.0,44500.0,20600.0,15900.0,18100.0,1600.0,512.0,2040.0,487.0,2170.0,1190.0,1930.0,844.0,22000.0,5150.0,1880.0,3050.0,2340.0,1790.0,26900.0,1340.0,1810.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54300.0,48300.0
1716638170,146000.0,44500.0,20600.0,15900.0,18100.0,1610.0,512.0,2050.0,487.0,2170.0,1190.0,1930.0,844.0,22100.0,5150.0,1880.0,3060.0,2340.0,1810.0,26900.0,1340.0,1810.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54400.0,48300.0
1716638185,146000.0,44500.0,20600.0,15900.0,18100.0,1610.0,512.0,2060.0,487.0,2170.0,1190.0,1930.0,844.0,22100.0,5150.0,1880.0,3060.0,2340.0,1810.0,26900.0,1340.0,1810.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,152000.0,115000.0,54400.0,48300.0
1716638200,146000.0,44500.0,20600.0,15900.0,18100.0,1640.0,512.0,2060.0,487.0,2180.0,1190.0,1950.0,844.0,22100.0,5150.0,1880.0,3060.0,2340.0,1810.0,26900.0,1340.0,1810.0,1280.0,1090.0,20000.0,8740.0,36800.0,16000.0,34800.0,91200.0,31200.0,153000.0,115000.0,54400.0,48300.0
1716638215,146000.0,44500.0,20600.0,15900.0,18100.0,1650.0,512.0,2070.0,487.0,2180.0,1190.0,1950.0,844.0,22100.0,5150.0,1940.0,3060.0,2340.0,1850.0,26900.0,1340.0,1810.0,1280.0,1090.0,20000.0,8740.0,36800.0,17800.0,34800.0,91200.0,34500.0,153000.0,115000.0,54700.0,48300.0
1716638230,146000.0,44500.0,20600.0,15900.0,18100.0,1650.0,512.0,2100.0,487.0,2190.0,1190.0,1950.0,844.0,22100.0,5150.0,1940.0,3060.0,2340.0,1850.0,26900.0,1340.0,1840.0,1280.0,1090.0,20000.0,8740.0,36800.0,17800.0,34800.0,91200.0,34500.0,153000.0,115000.0,54700.0,48300.0
