timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth,ethereum-metrics-exporter-3-prysm-geth,ethereum-metrics-exporter-4-prysm-geth,ethereum-metrics-exporter-5-prysm-geth
1716977986,0.0,0.0,0.0,0.0,0.0
1716978001,0.0,0.0,0.0,0.0,0.0
1716978016,0.0,0.0,0.0,0.0,0.0
1716978031,0.0,0.0,0.0,0.0,0.0
1716978046,0.0,0.0,0.0,0.0,0.0
1716978061,0.0,0.0,0.0,0.0,0.0
1716978076,0.0,0.0,0.0,0.0,0.0
1716978091,0.0,0.0,0.0,0.0,0.0
1716978106,0.0,0.0,0.0,0.0,0.0
1716978121,0.0,0.0,0.0,0.0,0.0
1716978136,0.0,0.0,0.0,0.0,0.0
1716978151,0.0,0.0,0.0,0.0,0.0
1716978166,0.0,0.0,0.0,0.0,0.0
1716978181,0.0,0.0,0.0,0.0,0.0
1716978196,0.0,0.0,0.0,0.0,0.0
1716978211,0.0,0.0,0.0,0.0,0.0
1716978226,0.0,0.0,0.0,0.0,0.0
1716978241,0.0,0.0,0.0,0.0,0.0
1716978256,0.0,0.0,0.0,0.0,0.0
1716978271,0.0,0.0,0.0,0.0,0.0
1716978286,0.0,0.0,0.0,0.0,0.0
1716978301,0.0,0.0,0.0,0.0,0.0
1716978316,0.0,0.0,0.0,0.0,0.0
1716978331,0.0,1615922.0,0.0,210098.0,210098.0
1716978346,210098.0,1023071.0,1615922.0,1615922.0,1615922.0
1716978361,1023071.0,257158.0,1023071.0,1023071.0,257158.0
1716978376,257158.0,1911898.0,257158.0,257158.0,1911898.0
1716978391,1911898.0,93558.0,1911898.0,129849.0,129849.0
1716978406,129849.0,215578.0,93558.0,93558.0,93558.0
1716978421,215578.0,76520.0,215578.0,215578.0,76520.0
1716978436,76520.0,48658.0,76520.0,48658.0,48658.0
1716978451,48658.0,0.0,48658.0,0.0,0.0
1716978466,0.0,0.0,0.0,0.0,0.0
1716978481,0.0,0.0,0.0,0.0,0.0
1716978496,0.0,0.0,0.0,0.0,0.0
1716978511,0.0,0.0,0.0,0.0,0.0
1716978526,0.0,0.0,0.0,0.0,0.0
1716978541,0.0,0.0,0.0,0.0,0.0
1716978556,0.0,0.0,0.0,0.0,0.0
1716978571,0.0,0.0,0.0,295266.0,295266.0
1716978586,295266.0,81996.0,0.0,0.0,0.0
1716978601,81996.0,0.0,81996.0,81996.0,0.0
1716978616,0.0,0.0,0.0,0.0,0.0
1716978631,0.0,0.0,0.0,0.0,0.0
1716978646,0.0,0.0,0.0,0.0,0.0
1716978661,0.0,0.0,0.0,0.0,0.0
