timestamp,beacon-metrics-gazer--a28a530620b146399e8f62b86bc114b5,cadvisor,cl-1-prysm-geth--0858d8dd0cf54c66959de4090cc24b9f,cl-2-prysm-geth--14d43d53ec4c4d36b5430d1404825305,cl-3-prysm-geth--ee0e757c36bf47908b95c02b578c7582,cl-4-prysm-geth--c316bb32e5f94ec6b69e8da3f1ef3aa0,cl-5-prysm-geth--a93000737dcd494f99013d568a16596b,dora--fd18d40a9f0e4d1398fa10b2b21f40a3,el-1-geth-prysm--4e25496f12b0437593447e80ee8428f7,el-2-geth-prysm--6ef568984fa84c32a5745755562943f1,el-3-geth-prysm--87368289ffd545468313530845cabd45,el-4-geth-prysm--788e29b08e63441592206e45dbc5470e,el-5-geth-prysm--661e42d9870b4020b2335659a27c66ed,el-forkmon--2b1494325a4949f889e8b0ff5e460b6a,ethereum-metrics-exporter-1-prysm-geth--831e6752235c4e5a83fe1accbe1183b5,ethereum-metrics-exporter-2-prysm-geth--ace9e09e064349388c3634efb95807b3,ethereum-metrics-exporter-3-prysm-geth--c361637384a947e59abaf76cfe24ecab,ethereum-metrics-exporter-4-prysm-geth--5c498ece934348f390ae970c0ea06c4b,ethereum-metrics-exporter-5-prysm-geth--e613fa8bdf4c419f87d75e16346a3349,grafana--8b664464774b4feca1955390264aff00,helpers-grafana-1,kurtosis-api--713915c32aa84d12babe4a1570c3cf49,kurtosis-engine--a51e00debbb148c4b2306dbb3fcddbfd,kurtosis-logs-aggregator,kurtosis-logs-collector--713915c32aa84d12babe4a1570c3cf49,kurtosis-reverse-proxy--a51e00debbb148c4b2306dbb3fcddbfd,portainer,prometheus,prometheus--208b69fdd46b463c87d2f802a85c8e1a,validator-key-generation-cl-validator-keystore--135dbbd4e46743f3bfb298f411df1cff,vc-1-geth-prysm--98e4dc6f1ffb4bc696b3899e0496bbb9,vc-2-geth-prysm--18c3bcd69bfc4c1c96e6067817406d5a,vc-3-geth-prysm--dc4791e74cca4a1e972352ea01731eef,vc-4-geth-prysm--90ea2273bad14ac4a078c676a1e9d6e3,vc-5-geth-prysm--ac378738c6e440fb9c4114771a582b4f
1716978136,3694592.0,218472448.0,270962688.0,289898496.0,306970624.0,315928576.0,324415488.0,34304000.0,48152576.0,46845952.0,46944256.0,46825472.0,47112192.0,21651456.0,9338880.0,8445952.0,9912320.0,9621504.0,9613312.0,92672000.0,70885376.0,32673792.0,15482880.0,13238272.0,5038080.0,30433280.0,15138816.0,607973376.0,72785920.0,16064512.0,25477120.0,26267648.0,28098560.0,25649152.0,26361856.0
1716978151,3694592.0,221863936.0,278720512.0,298442752.0,306851840.0,331313152.0,332632064.0,30810112.0,48947200.0,46800896.0,46952448.0,46854144.0,47161344.0,23371776.0,8630272.0,7892992.0,9588736.0,8491008.0,9056256.0,92676096.0,67371008.0,32673792.0,15482880.0,12664832.0,4890624.0,30433280.0,15921152.0,667242496.0,72785920.0,16035840.0,26304512.0,25911296.0,25911296.0,25657344.0,26578944.0
1716978166,3694592.0,221556736.0,281407488.0,298487808.0,332144640.0,331620352.0,334786560.0,30826496.0,49258496.0,47714304.0,47157248.0,46862336.0,47329280.0,22331392.0,9269248.0,8495104.0,8953856.0,8830976.0,9408512.0,93769728.0,67371008.0,32673792.0,15482880.0,12849152.0,4886528.0,30433280.0,15921152.0,667246592.0,65331200.0,16035840.0,26316800.0,25915392.0,25919488.0,25661440.0,26865664.0
1716978181,3694592.0,194301952.0,327479296.0,298516480.0,346021888.0,331382784.0,343416832.0,30859264.0,49373184.0,47796224.0,47742976.0,48136192.0,49057792.0,22355968.0,8880128.0,8593408.0,8941568.0,9007104.0,8994816.0,93765632.0,67035136.0,32673792.0,15904768.0,12902400.0,4886528.0,30433280.0,16584704.0,668672000.0,65335296.0,16019456.0,26345472.0,25935872.0,25935872.0,25931776.0,27877376.0
1716978196,3694592.0,191123456.0,327888896.0,340586496.0,346103808.0,333553664.0,352411648.0,23031808.0,49922048.0,47910912.0,47861760.0,47734784.0,49274880.0,22573056.0,9142272.0,9838592.0,8929280.0,9097216.0,9252864.0,93765632.0,64290816.0,32673792.0,15904768.0,12578816.0,5005312.0,30433280.0,15896576.0,668672000.0,65339392.0,15986688.0,26361856.0,27713536.0,25948160.0,25939968.0,27893760.0
1716978211,3694592.0,191696896.0,329818112.0,358559744.0,346095616.0,334143488.0,352542720.0,23040000.0,49954816.0,48111616.0,47874048.0,47910912.0,49295360.0,22708224.0,8941568.0,9109504.0,9322496.0,9158656.0,8900608.0,93773824.0,44834816.0,32673792.0,15904768.0,12754944.0,4882432.0,30433280.0,15896576.0,668811264.0,65347584.0,15966208.0,26824704.0,27746304.0,26112000.0,27095040.0,27627520.0
1716978226,3694592.0,191242240.0,333242368.0,358330368.0,348327936.0,334491648.0,352673792.0,23052288.0,50085888.0,48570368.0,48336896.0,48582656.0,49401856.0,23302144.0,9138176.0,8867840.0,9953280.0,9179136.0,9482240.0,93773824.0,44834816.0,32673792.0,15904768.0,12599296.0,4890624.0,25460736.0,13537280.0,668811264.0,65347584.0,7413760.0,26877952.0,26353664.0,26128384.0,27435008.0,27394048.0
1716978241,3694592.0,190963712.0,334110720.0,358371328.0,350838784.0,345726976.0,352714752.0,23060480.0,50335744.0,48762880.0,48852992.0,48627712.0,50302976.0,21762048.0,10739712.0,8990720.0,9687040.0,9871360.0,9281536.0,94081024.0,44834816.0,32952320.0,15904768.0,12832768.0,4890624.0,25460736.0,13537280.0,719462400.0,65363968.0,7413760.0,25616384.0,26370048.0,26144768.0,26116096.0,26005504.0
1716978256,3694592.0,191287296.0,334454784.0,358436864.0,350842880.0,347914240.0,359591936.0,23076864.0,51773440.0,48889856.0,49348608.0,48689152.0,50184192.0,24281088.0,10854400.0,8683520.0,9203712.0,9293824.0,9052160.0,94085120.0,44834816.0,32952320.0,15904768.0,12824576.0,5083136.0,25460736.0,13537280.0,719462400.0,65363968.0,7413760.0,25624576.0,26370048.0,26157056.0,26128384.0,26071040.0
1716978271,3694592.0,190771200.0,334241792.0,361189376.0,353083392.0,347942912.0,370483200.0,23080960.0,52101120.0,49905664.0,49074176.0,49864704.0,49627136.0,23003136.0,11112448.0,8048640.0,8994816.0,9732096.0,8925184.0,94097408.0,44834816.0,32952320.0,15904768.0,12689408.0,4886528.0,25460736.0,13537280.0,719544320.0,65368064.0,7413760.0,26730496.0,26382336.0,26161152.0,26128384.0,26324992.0
