timestamp,beacon-metrics-gazer--a28a530620b146399e8f62b86bc114b5,cadvisor,cl-1-prysm-geth--0858d8dd0cf54c66959de4090cc24b9f,cl-2-prysm-geth--14d43d53ec4c4d36b5430d1404825305,cl-3-prysm-geth--ee0e757c36bf47908b95c02b578c7582,cl-4-prysm-geth--c316bb32e5f94ec6b69e8da3f1ef3aa0,cl-5-prysm-geth--a93000737dcd494f99013d568a16596b,dora--fd18d40a9f0e4d1398fa10b2b21f40a3,el-1-geth-prysm--4e25496f12b0437593447e80ee8428f7,el-2-geth-prysm--6ef568984fa84c32a5745755562943f1,el-3-geth-prysm--87368289ffd545468313530845cabd45,el-4-geth-prysm--788e29b08e63441592206e45dbc5470e,el-5-geth-prysm--661e42d9870b4020b2335659a27c66ed,el-forkmon--2b1494325a4949f889e8b0ff5e460b6a,ethereum-metrics-exporter-1-prysm-geth--831e6752235c4e5a83fe1accbe1183b5,ethereum-metrics-exporter-2-prysm-geth--ace9e09e064349388c3634efb95807b3,ethereum-metrics-exporter-3-prysm-geth--c361637384a947e59abaf76cfe24ecab,ethereum-metrics-exporter-4-prysm-geth--5c498ece934348f390ae970c0ea06c4b,ethereum-metrics-exporter-5-prysm-geth--e613fa8bdf4c419f87d75e16346a3349,grafana--8b664464774b4feca1955390264aff00,helpers-grafana-1,kurtosis-api--713915c32aa84d12babe4a1570c3cf49,kurtosis-engine--a51e00debbb148c4b2306dbb3fcddbfd,kurtosis-logs-aggregator,kurtosis-logs-collector--713915c32aa84d12babe4a1570c3cf49,kurtosis-reverse-proxy--a51e00debbb148c4b2306dbb3fcddbfd,portainer,prometheus,prometheus--208b69fdd46b463c87d2f802a85c8e1a,validator-key-generation-cl-validator-keystore--135dbbd4e46743f3bfb298f411df1cff,vc-1-geth-prysm--98e4dc6f1ffb4bc696b3899e0496bbb9,vc-2-geth-prysm--18c3bcd69bfc4c1c96e6067817406d5a,vc-3-geth-prysm--dc4791e74cca4a1e972352ea01731eef,vc-4-geth-prysm--90ea2273bad14ac4a078c676a1e9d6e3,vc-5-geth-prysm--ac378738c6e440fb9c4114771a582b4f
1716977986,159.59578168688492,52427.24533652355,131146.32551651992,71423.79898162496,71269.82880819977,69635.35437917692,72250.61764116718,186.64344836944232,12578.410053333944,11965.51101480679,13924.09182081569,13077.214537138756,11823.968353861366,3976.6817721853135,902.0593924223461,873.2634602868236,880.5795272751853,863.3500421416848,901.4877910278251,72.78058600844658,0.0,1.542631729730921,65.21671493587091,439.31372333648204,25154.25398775798,134.12869079127836,0.0,702.657367352344,876.7821672919885,1.6069051007759054,5220.350507775657,5500.102727999087,5335.113804831255,5461.987634531715,5062.46055360202
1716978001,158.83545642879182,52183.253577965465,60331.15156930637,61193.30326944758,61180.6365159129,64671.85752387507,61402.564393509594,212.30935348899988,11349.680361214181,12231.674128698094,12666.864269591191,13036.460363686396,14674.339761169535,4504.738458857105,848.4661495063468,874.2455856947341,821.0286281947078,837.7156943303204,866.2853912060192,69.82156710628394,0.0,1.5234944610094239,65.61011867268009,457.198746304488,20730.89485458613,121.74299150301735,0.0,733.2206445796709,908.40900997151,1.572998359587425,5324.734950982566,5221.181621231269,5283.579776872676,5189.682090734246,5159.392411780313
1716978016,162.9303259976258,51295.20031217482,71586.40239275033,72587.64037564851,73601.36561699834,71456.87231506265,67214.5985736235,201.3681649143749,11183.405921428885,12692.238681866918,12124.241124827915,13053.072874855054,12819.26661440641,4421.864237306965,897.6159264114472,900.5220545945228,866.9986399333129,852.2233968375357,872.4708234629344,73.48073613133855,0.0,0.0,52.24862605464819,491.6193744225946,23519.271802787487,132.45147252084365,0.0,723.8932524098535,888.6032370562461,1.5720445562342795,5897.156494135129,5703.309772242791,5844.446944975808,5550.889537084456,5534.268125854994
1716978031,158.69874588632928,53132.63129532748,69874.71039030477,68690.17359308337,70634.94638190503,67993.4500232347,69415.64328138258,182.9564608278791,11496.023059751631,12859.165473962346,12284.807438700016,13700.31977064726,12451.03565516933,4570.234752330675,860.9833048507953,879.5947967184879,852.0171446246299,851.1850913696398,849.073394291308,73.80349873473429,0.0,0.0,2.42552868945653,488.09817602584525,23963.108781241164,4.143369494998997,0.0,729.1708269542257,910.16744269341,0.0,5724.623025236521,5382.644829034325,5822.379830139179,5114.511884733187,5725.5999283667625
1716978046,161.67542587894164,52554.650569253645,70891.69129720854,70111.65863550139,74006.95997444206,72979.8448903022,71125.00272836408,139.20726414884382,12513.660468550715,12445.001108401684,12837.160979877517,14652.16831810578,13238.52315338703,5001.905872328976,887.2591894861961,875.787279340016,884.1869817672443,876.8736376098338,876.3786971593212,52.01987276038038,0.0,1.5786031617166183,4.999255430042334,452.1766690059539,24920.191859303177,6.869209404880531,0.0,713.2489600849633,882.9532734894541,0.0,5388.822938544425,5137.147063918241,5173.00714797836,4859.512429341539,5225.912491498527
1716978061,156.057988760851,53584.77508650519,60355.43340571843,58999.40179461615,58352.065427118054,58713.795470144134,64758.68051742692,162.39221999250228,13877.381411930333,12052.306526052931,13260.418280402788,13983.929600567451,13753.91498881432,4929.096007477634,849.6756542076697,881.5309020421042,868.3565186374175,854.4561465616426,874.4037796414766,31.321619556913678,0.0,67.04128788700615,5.567900926318944,456.8912969861159,22918.57568074082,3.2560992874333445,0.0,734.2013337567482,898.9347769143458,0.0,5068.40283861924,5245.707304934054,5166.888283378747,4930.380301437083,5524.327368831508
1716978076,157.99960151424588,51857.71788589429,69939.20912846742,67344.92994805136,70083.89118996979,70894.42419333063,69192.44430801613,164.84679289461243,13364.022568868239,12520.078032528167,13295.76058743927,13012.22787518833,14869.49665154461,5134.02199266911,881.6148144810653,878.7891845308629,873.4494589601478,855.0124634225641,877.5332947307469,11.88575483413163,0.0,68.04518728942325,4.487734197339559,464.3650312941652,22802.640785464395,7.178941770805637,0.0,724.7659270183908,871.7056411393107,0.0,5522.263552924086,5615.225431489961,5423.399627097577,5667.627152717281,5892.28567711721
1716978091,160.891814513402,52917.90028356443,67754.67706013363,69830.96177697598,65554.6229311122,66454.6376971435,67099.20043366309,162.16699445735742,13277.840626272682,13313.870416966212,14703.918086342608,13378.81048342203,13450.913165266107,4529.232669990734,826.3878038436642,855.6613472799608,829.3573943661972,834.5560277342877,847.8265592075252,11.82439885285683,0.0,68.33333333333333,1.6329704510108864,469.4463311496242,24408.409686596926,4.18278312494378,0.0,702.6487190620928,875.1862642617264,0.0,5385.654931117428,5880.814211039248,5681.902029104324,5672.231624205278,5802.477752573722
1716978106,158.2343029443065,53340.198064370925,72408.7763344613,75021.57351696369,73261.79101098154,71892.86120915404,70901.3770578629,135.0742021625881,12084.372691321543,13707.250652445253,15001.218998648019,15544.654088050316,13969.120709952007,5484.274788971416,859.8158262989211,875.1541035575907,892.02208639142,874.9830753260821,872.885979268958,12.735204688670516,0.0,2.17751264545104,0.0,434.6278103777938,25298.468075589844,4.182877189826163,0.0,707.5003857089329,881.0403924994959,0.0,5503.55151951088,5252.146726910641,5415.625704622322,5348.25937950938,5264.864143727487
1716978121,158.89306943918785,52499.50158385575,60678.26980651504,66037.12209880087,61404.19339903433,60629.73969388895,60029.786087854365,162.04634892872758,11893.65485053895,13520.378424427205,13727.305130432846,15593.618274939945,13795.155449567217,5844.703222159413,816.5547610742937,876.2725486694053,870.3695348102694,859.7372315142818,852.8269968986533,10.089020771513354,0.0,6.25296282083117,0.0,475.8426106165657,23959.17865761015,0.0,0.0,713.7373244280737,865.5090452924865,0.0,5574.338968357174,5299.025845802799,5478.2637909023715,5051.388522717287,5035.681797507505
