timestamp,beacon-metrics-gazer--9d316b6e9aa74b72999d2169c29fc931,cadvisor,cl-1-prysm-geth--41ea38c7ab484187aea4c001cfa85877,cl-2-prysm-geth--d4c7c550a22a4d72b6264e330cb9b544,cl-3-prysm-geth--5fa5e7027a8b48fe88a976b0d51f82cb,cl-4-prysm-geth--bf9b7cede1f74f37acb6b8f89ab25109,cl-5-prysm-geth--dadda985c88241988107c85787072a24,dora--ae41b9d83a724f4b8ced839ed55c3b18,el-1-geth-prysm--5edb3644f0d74ccb9237f94347013eb1,el-2-geth-prysm--28409563920c4702898404d9d502cf24,el-3-geth-prysm--34913541bf98469ea24f3b200a50eab9,el-4-geth-prysm--4d2adf113d5c415e8650d956a1d49669,el-5-geth-prysm--c69e01da5b54418399a3651466ef90e8,el-forkmon--d48c4eced8d1413ebd8bea77b2309ebe,ethereum-metrics-exporter-1-prysm-geth--332d8a1bb09d4d78a250774250625f9a,ethereum-metrics-exporter-2-prysm-geth--d752acdfa1164b5288105ff1762acec1,ethereum-metrics-exporter-3-prysm-geth--25c16c673a574df7a29e911e6a76a203,ethereum-metrics-exporter-4-prysm-geth--320445e439ac41529158d60cb2a9123d,ethereum-metrics-exporter-5-prysm-geth--c24ef082a93e4045af11f64e6d84592f,grafana--ad5738e121764c40a3c41014f1ef2631,helpers-grafana-1,kurtosis-api--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-engine--c86de4a013f447ea8b744e42a7ef18a6,kurtosis-logs-aggregator,kurtosis-logs-collector--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-reverse-proxy--c86de4a013f447ea8b744e42a7ef18a6,portainer,prometheus,prometheus--92c8439a09ae413a94601b6ded969af2,validator-key-generation-cl-validator-keystore--9c56e625a65248fcb655039c4474c6af,vc-1-geth-prysm--db6030ba0fa3465084a9062e7ddae2a5,vc-2-geth-prysm--da5a52f2c828426095c8ce10fe8fedfa,vc-3-geth-prysm--3543e76cba0d496d846503171238c578,vc-4-geth-prysm--d03e06aa07c249018118389ef402ba55,vc-5-geth-prysm--ad729c42abfd432cbccbae2b791e019d
1716903959,15478784.0,260968448.0,297406464.0,294776832.0,302882816.0,307826688.0,296685568.0,36401152.0,64065536.0,47710208.0,47550464.0,47308800.0,47656960.0,32468992.0,14643200.0,9334784.0,9449472.0,9461760.0,8986624.0,194428928.0,100139008.0,61202432.0,43601920.0,42967040.0,16166912.0,102309888.0,14802944.0,790528000.0,134041600.0,12066816.0,48594944.0,27652096.0,26873856.0,28803072.0,27172864.0
1716903974,15478784.0,260714496.0,299884544.0,300183552.0,320090112.0,347213824.0,311533568.0,36503552.0,64778240.0,48021504.0,48115712.0,48091136.0,48295936.0,31813632.0,14458880.0,8843264.0,9129984.0,10067968.0,9867264.0,194453504.0,100139008.0,61202432.0,43601920.0,43274240.0,16171008.0,102375424.0,14802944.0,596664320.0,134135808.0,12066816.0,48640000.0,26607616.0,27086848.0,25882624.0,27176960.0
1716903989,15478784.0,262082560.0,299692032.0,310026240.0,320188416.0,356659200.0,313741312.0,36503552.0,64053248.0,47972352.0,48222208.0,48152576.0,49377280.0,32018432.0,14110720.0,8847360.0,8622080.0,8822784.0,9293824.0,194469888.0,100139008.0,61202432.0,43905024.0,44228608.0,16171008.0,102375424.0,14802944.0,655818752.0,134250496.0,12066816.0,49610752.0,26652672.0,27488256.0,27459584.0,27262976.0
1716904004,15478784.0,262078464.0,319066112.0,310054912.0,325373952.0,356691968.0,316436480.0,36503552.0,65142784.0,48730112.0,48754688.0,48668672.0,49414144.0,33562624.0,13926400.0,8691712.0,9416704.0,9494528.0,9658368.0,194531328.0,100139008.0,61202432.0,43905024.0,44359680.0,16367616.0,102375424.0,14802944.0,665853952.0,134373376.0,12066816.0,49680384.0,26775552.0,27643904.0,27648000.0,27283456.0
1716904019,15478784.0,266014720.0,352882688.0,310071296.0,334581760.0,356720640.0,321421312.0,36503552.0,64835584.0,48873472.0,48959488.0,48787456.0,49180672.0,34447360.0,14094336.0,8814592.0,8945664.0,9519104.0,9633792.0,194572288.0,100139008.0,61222912.0,43905024.0,44777472.0,16166912.0,102375424.0,17739776.0,676634624.0,137773056.0,11804672.0,50528256.0,26791936.0,27660288.0,27709440.0,27295744.0
1716904034,15478784.0,265760768.0,375951360.0,321110016.0,334618624.0,359129088.0,326873088.0,36528128.0,65978368.0,49557504.0,49741824.0,48873472.0,51064832.0,32346112.0,14684160.0,9814016.0,8900608.0,10448896.0,9527296.0,188268544.0,98406400.0,61255680.0,43905024.0,42819584.0,15118336.0,101830656.0,17715200.0,676814848.0,135696384.0,11804672.0,49672192.0,28348416.0,27697152.0,27697152.0,26288128.0
1716904049,15478784.0,266010624.0,375967744.0,348618752.0,334643200.0,387768320.0,326942720.0,36540416.0,66121728.0,49598464.0,50237440.0,49242112.0,51404800.0,34140160.0,13660160.0,8978432.0,9363456.0,10907648.0,9625600.0,188395520.0,98410496.0,61255680.0,43184128.0,43507712.0,15286272.0,101830656.0,17715200.0,687026176.0,135802880.0,11804672.0,48775168.0,28409856.0,28196864.0,27725824.0,26312704.0
1716904064,15478784.0,265752576.0,379883520.0,348942336.0,334946304.0,387903488.0,329646080.0,36556800.0,66486272.0,50335744.0,50319360.0,49786880.0,51281920.0,31645696.0,14118912.0,9302016.0,8806400.0,10919936.0,9744384.0,182280192.0,98410496.0,60534784.0,43544576.0,41119744.0,14147584.0,101158912.0,17715200.0,687542272.0,133820416.0,11542528.0,48345088.0,26869760.0,28262400.0,27742208.0,26329088.0
1716904079,15478784.0,265764864.0,382320640.0,348684288.0,360398848.0,387936256.0,337567744.0,34762752.0,66719744.0,50495488.0,50892800.0,49782784.0,51400704.0,31481856.0,14061568.0,9854976.0,8888320.0,10072064.0,9392128.0,176553984.0,97431552.0,59744256.0,43544576.0,39243776.0,13299712.0,95211520.0,17715200.0,738324480.0,133484544.0,11280384.0,48246784.0,26894336.0,28319744.0,28020736.0,26890240.0
1716904094,15478784.0,266285056.0,388259840.0,349007872.0,364535808.0,387960832.0,354795520.0,34775040.0,67645440.0,51564544.0,50937856.0,50896896.0,52293632.0,31150080.0,13656064.0,8937472.0,8998912.0,9592832.0,10153984.0,176566272.0,97435648.0,59744256.0,41005056.0,39587840.0,13291520.0,90054656.0,17715200.0,738627584.0,133660672.0,11280384.0,48398336.0,27414528.0,28336128.0,26497024.0,26910720.0
