timestamp,beacon-metrics-gazer--9d316b6e9aa74b72999d2169c29fc931,cadvisor,cl-1-prysm-geth--41ea38c7ab484187aea4c001cfa85877,cl-2-prysm-geth--d4c7c550a22a4d72b6264e330cb9b544,cl-3-prysm-geth--5fa5e7027a8b48fe88a976b0d51f82cb,cl-4-prysm-geth--bf9b7cede1f74f37acb6b8f89ab25109,cl-5-prysm-geth--dadda985c88241988107c85787072a24,dora--ae41b9d83a724f4b8ced839ed55c3b18,el-1-geth-prysm--5edb3644f0d74ccb9237f94347013eb1,el-2-geth-prysm--28409563920c4702898404d9d502cf24,el-3-geth-prysm--34913541bf98469ea24f3b200a50eab9,el-4-geth-prysm--4d2adf113d5c415e8650d956a1d49669,el-5-geth-prysm--c69e01da5b54418399a3651466ef90e8,el-forkmon--d48c4eced8d1413ebd8bea77b2309ebe,ethereum-metrics-exporter-1-prysm-geth--332d8a1bb09d4d78a250774250625f9a,ethereum-metrics-exporter-2-prysm-geth--d752acdfa1164b5288105ff1762acec1,ethereum-metrics-exporter-3-prysm-geth--25c16c673a574df7a29e911e6a76a203,ethereum-metrics-exporter-4-prysm-geth--320445e439ac41529158d60cb2a9123d,ethereum-metrics-exporter-5-prysm-geth--c24ef082a93e4045af11f64e6d84592f,grafana--ad5738e121764c40a3c41014f1ef2631,helpers-grafana-1,kurtosis-api--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-engine--c86de4a013f447ea8b744e42a7ef18a6,kurtosis-logs-aggregator,kurtosis-logs-collector--5eb1669ce9fd4d51b8babb50c04e274a,kurtosis-reverse-proxy--c86de4a013f447ea8b744e42a7ef18a6,portainer,prometheus,prometheus--92c8439a09ae413a94601b6ded969af2,validator-key-generation-cl-validator-keystore--9c56e625a65248fcb655039c4474c6af,vc-1-geth-prysm--db6030ba0fa3465084a9062e7ddae2a5,vc-2-geth-prysm--da5a52f2c828426095c8ce10fe8fedfa,vc-3-geth-prysm--3543e76cba0d496d846503171238c578,vc-4-geth-prysm--d03e06aa07c249018118389ef402ba55,vc-5-geth-prysm--ad729c42abfd432cbccbae2b791e019d
1716903809,13.484228268721408,51646.992202813955,65644.09154600653,66240.71046701718,67530.67498429226,69316.49816977514,67198.18424336302,153.31350703537663,19528.884660486314,17089.108256395564,14465.037308431258,16620.203514434284,16913.25958345246,3376.577519126398,828.486994969433,841.9318720124027,845.490108416229,847.6404494382023,914.3937582857019,0.0,0.0,0.0,0.0,488.42161298908707,24833.444163674245,0.0,0.0,728.0357384594557,874.2383512544802,0.0,5605.199583324098,5267.808129656254,5659.288882759888,5603.3918341365825,5051.442171226447
1716903824,13.080222533656093,50648.37394033867,68287.39412700459,67986.8771959531,67358.90797834785,68582.27413260048,67853.5445010741,154.03046380284098,21275.341327823808,17942.151199561496,15592.510867406607,16602.854048544308,17065.608085250336,4298.918872538505,857.9224689499435,839.0789839720956,843.3433864713485,862.9061506624282,920.978224172856,3.869212126365917,0.0,1.4945449110745777,0.0,507.25651337646445,23953.97832297093,0.0,0.0,688.7334393216746,908.315565031983,0.0,5538.80972338642,5431.7043541271505,5012.255635881422,5346.688608983691,5178.137136308653
1716903839,85.51542007967413,53037.856791888145,131208.93832423072,68248.3691819464,70369.71886288676,70561.35509246182,131702.50627670353,214.5006016847172,20703.63848473509,18804.078460061268,17017.080230682546,16105.77067952388,16132.56406211264,3632.212117891969,862.6160820386427,860.230021450413,870.9677419354838,858.3712920786578,853.4893030289551,4.026281441497245,0.0,1.5572165865812422,0.0,538.9703135643499,26813.018379669564,0.0,0.0,688.8879058656993,894.9342923104243,0.0,5992.047056750088,5964.579112585436,5799.523462836721,5995.985806165448,5925.1342760057005
1716903854,137.7968337730871,54701.50628771477,120746.6784179795,59959.82374872896,59532.72387735603,60918.108803691866,123187.80707685373,237.18893803332887,22131.247080803365,19090.065139362785,16329.129456677349,16372.083137570753,16133.922681092494,3983.857149298823,879.0143844248404,864.4000088772499,876.8107904252722,883.0887822029887,852.6641550053822,19595.945176460245,0.0,1.53169514890265,0.0,564.0957623184561,23535.820559062216,0.0,0.0,693.6071546869825,900.9810731029692,0.0,5719.572206548127,5742.440736708804,5728.136052045584,5666.457469460943,5711.192865105909
1716903869,203.67321383020663,54256.25385511616,135038.51267815905,66826.82188591386,69840.99844138925,69404.95620101428,133457.86464627687,238.9758179231863,21512.955933322333,19174.39894815928,17511.03247763078,17688.443240536297,17510.857989535587,4328.918676980284,872.4242711993163,867.3609017324953,879.4733444014018,870.6131669034256,779.7860480561682,20077.453239145416,0.0,0.0,1.4606765018884462,603.0150753768844,27941.77597433236,0.0,0.0,718.1720503852044,871.4515507827546,0.0,6449.979949519967,5953.302646720368,6316.548594712228,6150.960145773956,6187.1691278907765
1716903884,177.09344392482134,52904.83619344774,72076.87859986212,68179.17972774502,66798.85244832757,69962.06575269531,68344.21688388356,151.47096663521745,21793.60399693928,17517.487922705313,18326.41152118383,18878.402618951524,17535.11514244199,4460.157627989015,889.2591929855954,878.6100487933536,862.8083619009208,867.3518373047045,893.9971576169098,220999.1723923534,0.0,0.0,1.453096132688435,528.9107215286853,24154.83397133446,0.0,0.0,707.3308433944236,946.0127893763508,0.0,5615.417186664289,5265.120428189117,5545.688313445966,5485.433634654972,5737.6585495204845
1716903899,177.24055028716444,50919.43890354546,72666.68161133403,68966.7893464579,68155.88734154616,70617.37322606887,72366.38681730899,127.37127371273712,20683.72383764792,17589.49772722133,18535.899301192603,18350.470801467665,19939.64044022148,4541.530818195932,877.2143066153466,898.7776404340062,857.4053327358279,853.0445353077689,876.5283891334311,230159.7627434905,0.0,0.0,1.5574384907825836,509.3553209803832,24395.939856140045,0.0,0.0,717.4736842105265,1731.9470095993797,0.0,5904.266204012633,5324.381609506415,5202.570763167324,5228.063974551559,5474.93415573014
1716903914,177.99819657348962,52360.87953773543,58505.70367132868,58750.275488165025,57276.806167400886,59572.72504292371,61359.59120918876,157.16987429079987,19681.311718954817,19355.355711868935,15174.270466674236,16780.586064097948,19056.101767037693,4872.580501293373,854.0525263066353,900.9953094611601,859.5907871694264,842.7486531513013,853.4290938732347,227762.69544789844,0.0,1.5337759372466533,0.0,502.44189201410876,20680.590163934427,1.6178237958768604,0.0,735.104817947775,1720.0973811744898,1.5734933800885653,5382.532988709019,5296.522228474958,5318.419757505257,5246.88312260452,5220.630372492837
1716903929,174.32387680759464,52363.347527745296,65568.45730939922,66533.32737669763,68966.12438454381,66241.0811546841,70526.8843279469,160.33889812558363,19524.4111581461,21090.86793136234,16584.72367629697,17021.81092762939,18046.08739503168,4881.520366801781,830.6585500830105,848.8071924514866,857.9224151209102,834.4982078853046,739.5889306824287,8217.851034053801,0.0,1.5873015873015872,50.39103132103094,529.0515777241441,25357.68195259743,80.44389083908958,0.0,727.8807738923554,1654.1704238052298,1.5788880117288822,5412.345354040537,5439.246134448204,5847.325176386533,5332.227540910609,5684.01201526752
1716903944,176.49425544280032,54607.33020430702,68106.47985219074,69386.61611122197,70648.60179222767,65887.35397325989,68289.83507457783,155.6974459724951,20610.39666727042,21338.573797678277,15404.107150803187,18219.546426661916,16599.52064734597,5180.566369319066,844.7782702679099,876.2868609317745,862.3542440231907,852.0440841928573,737.4686007830004,82.1463627440288,0.0,1.541408847686786,1.505415556094015,483.4098474793847,25210.28089263906,130.37068801897985,0.0,704.4027889398119,884.9045952354071,1.562325633299855,5316.511183545015,5530.753564154787,5845.844801562639,5517.507094520847,5552.111230137475
