timestamp,ethereum-metrics-exporter-1-lighthouse-geth,ethereum-metrics-exporter-2-lighthouse-geth,ethereum-metrics-exporter-3-lighthouse-geth,ethereum-metrics-exporter-4-lighthouse-geth,ethereum-metrics-exporter-5-lighthouse-geth
1714021729,0.0,0.0,0.0,0.0,0.0
1714021744,0.0,0.0,0.0,0.0,0.0
1714021759,0.0,0.0,0.0,0.0,0.0
1714021774,0.0,0.0,0.0,0.0,0.0
1714021789,0.0,0.0,0.0,0.0,0.0
1714021804,0.0,0.0,0.0,0.0,0.0
1714021819,0.0,0.0,0.0,0.0,0.0
1714021834,308375.0,0.0,0.0,308375.0,0.0
1714021849,43609.0,308375.0,308375.0,43609.0,43609.0
1714021864,0.0,43609.0,0.0,0.0,0.0
1714021879,0.0,0.0,0.0,0.0,0.0
1714021894,0.0,0.0,0.0,0.0,0.0
1714021909,0.0,0.0,0.0,0.0,0.0
1714021924,0.0,0.0,0.0,0.0,0.0
1714021939,0.0,295266.0,295266.0,0.0,295266.0
1714021954,72012.0,0.0,0.0,72012.0,72012.0
1714021969,0.0,72012.0,0.0,0.0,0.0
1714021984,0.0,0.0,0.0,0.0,0.0
1714021999,0.0,0.0,0.0,0.0,0.0
