timestamp,beacon-metrics-gazer--d098b9a5a3df49e597061a8423a5afe4,cadvisor,cl-1-prysm-geth--d86346f0db5a4a9d92deda81ef69f018,cl-2-prysm-geth--e83556b380d54a31a3f1e14d29181eee,cl-3-prysm-geth--39a9c3e15a054bf5ab3e15d3ff7b522c,cl-4-prysm-geth--4ddda96eb8894391a3aeba43cc247c66,cl-5-prysm-geth--a75415a252294946a995b39ff491349a,dora--14f727919f1f480297705c17aa5368ac,el-1-geth-prysm--ebf4e3fdc2d3454aaa67d14875baa1d6,el-2-geth-prysm--a784861abd5b4a7da48ec4f09197c102,el-3-geth-prysm--ccac2e137e514fe3bf32ae48eb4a9c08,el-4-geth-prysm--da4e9b625eb54bedbf6a086f9995bce7,el-5-geth-prysm--b60d5b9e27464f47b56b2d488a8790d6,el-forkmon--f1d0fb82e28d4572b526a5db8243ee44,ethereum-metrics-exporter-1-prysm-geth--3eadc116bd5d44f797ad443dffe008ff,ethereum-metrics-exporter-2-prysm-geth--780db6ad5bd74eec9106fe26278e7c57,ethereum-metrics-exporter-3-prysm-geth--be8e0c7171474487a57db092fc2661cc,ethereum-metrics-exporter-4-prysm-geth--c9fe452ab41a4111a59e3a66a0110e5d,ethereum-metrics-exporter-5-prysm-geth--bfc6794ad1da4980a249d41163e2914d,grafana--4a7fb116f8d042eaba5b9cd119b844fc,helpers-grafana-1,kurtosis-api--7706dcf246e945399c9e32bc40606696,kurtosis-engine--2c9bfaa44e304f48a474e5c502558513,kurtosis-logs-aggregator,kurtosis-logs-collector--7706dcf246e945399c9e32bc40606696,kurtosis-reverse-proxy--2c9bfaa44e304f48a474e5c502558513,portainer,prometheus,prometheus--f0f8aa0f3ec3483cbe302398c3397fc4,validator-key-generation-cl-validator-keystore--eff29244b0454b30b0f8ec469fbdf592,vc-1-geth-prysm--f7fd9a0b38d74a9ea44345e6b831795c,vc-2-geth-prysm--2196dc99b7c9448aa1d0aa721cb9e4cd,vc-3-geth-prysm--0071e4888be848879cc2ee6e07013b55,vc-4-geth-prysm--1ad382aeb0d4476b93e19c95f62fee35,vc-5-geth-prysm--720b6bab17a349d8981f7621e39d1d81
1717047396,39.733904611568384,657.0521480680898,64807.84865540964,63014.70105663844,63201.760934480946,60527.31784443762,65496.89035107485,396.4194373401534,10554.63218787774,8690.4957850486,7468.293989022269,8671.059265710226,8093.437302803571,10035.247665313549,4969.699664317631,5395.91827787277,6362.709295114725,5758.456801142449,6159.9883855981425,28.985825251239742,5.384013621094289,10.830644091773133,0.0,21819.020249949877,22646.049619644386,11.719649247640374,0.0,54415.87515437297,33500.82319582914,11.104060913705585,2334.91788136166,2426.1981541198707,2335.7387856920127,2397.6339438061655,2367.507563522213
1717047411,38.99082568807339,654.7404875416029,74910.79179421574,73987.09263195183,74103.0661003451,72946.58124330353,75314.64946012296,398.3137341912581,11459.966685174903,8406.991123084395,7985.393729453037,8477.526716878847,7853.150546523376,8695.818753598796,5394.364368263861,6124.157027377071,6879.948688459327,6147.70843005903,5646.663275011611,20.08741335923359,6.664445184938353,10.398847573602234,0.0,21714.516853932582,26011.29772967379,10.460298412842167,0.0,54657.01082055906,32802.651630600434,10.260282490894555,2461.120372696339,2588.608850962493,2502.19196792457,2437.108850504085,2316.4727628574533
1717047426,39.220121234054105,648.9902367259596,73751.17496380443,72756.63400008949,72844.66320784001,72507.14412890589,72164.4555914901,386.03479459133575,11034.247488665658,8566.154259246829,8331.617904695164,8917.009362148918,8097.710156284009,8842.350948803683,4957.797610043866,5609.478779691545,5983.899303933996,4624.869246861925,4785.195387999022,16.85806667409968,6.5690074229783875,11.601282246985194,1.640150893882237,22416.23976531372,25800.832355610655,10.516013019825644,1.2701638511367965,54483.56290587151,33282.37320400671,10.31065881092662,2421.731786960928,2568.043675264682,2424.9701233398728,2441.834878864764,2267.4302012076914
1717047441,37.69729118657333,648.3712923728814,73903.66892334571,74519.11768019287,73958.04149450938,73677.06952911035,72867.70978412256,309.5027624309392,10391.304347826086,9026.644003443631,8531.781517514099,9213.863734368262,8607.459919293271,9681.534761501805,6539.500949749611,5499.717188171679,6281.299558527281,5162.402054097128,5890.530527889542,7.178046768764351,2.341717259323504,11.594455583645715,1.640150893882237,23251.645714537328,25612.503749410807,7.297946602601876,1.4147865331453202,54936.02899535621,32741.131413410923,10.005197505197506,2202.8082492321196,2270.264426715098,2217.798958217888,2230.5144962498357,2239.5727589707376
1717047456,59537.4027925768,654.3207126948776,66804.1016690302,64799.29475948638,65842.97355062784,65881.51519931495,64181.49864553249,62640.09592113152,10294.248743547176,8795.15593895156,8536.28988169433,9451.883216209626,8738.891082159935,10110.193387952664,6991.438163260709,5084.038402525098,6201.980937321562,5661.833717017886,6542.713004484304,8.691410580462064,0.0,10.207463379068072,5.986148260946327,23897.152637311345,24647.49249316542,14.471872020341138,3.577573723572804,53327.959354242725,33237.983851015495,8.766829181017131,3050.382256200551,3060.7391632281824,2966.2117062167695,3150.8836492789587,2866.7633742142516
1717047471,59368.63202885748,649.3272945251099,76122.83748433756,75189.01089267319,77333.2134184729,77761.12401614759,67658.09115451801,63336.31834096419,9579.701080509847,7826.58689560073,8253.181180093283,8431.302811317762,8582.151496992698,10771.72547676145,7073.376757888922,4912.218946627359,5622.459031073699,5254.2839246566145,6208.246323366063,20.968415499923072,0.0,24.31921751695009,8.061634658329611,25884.13900646023,28709.16766122972,34.80258310579465,2.8981685188319135,53598.92126088687,33684.149053255765,21.234446991786676,3279.7400458480784,3235.080041974592,2967.2680580643764,3274.5929705966814,3058.5421763759396
1717047486,59414.04261173016,642.4249141083897,77112.92725980606,73153.09157086423,74155.90358769298,77016.9214218477,73925.382989963,62425.99597407481,10169.612553444706,7855.750574276858,7929.010299252972,8817.33955501454,8666.571403447062,11394.044041799345,5583.014605560402,6262.411651317198,4662.227104215296,4284.561094951408,5321.224014786755,24.172521985063412,0.0,38.181155458356116,4.102061747012372,24666.791902404522,28266.85867290687,40.30181979582778,4.530890967345221,52424.292881238645,33391.489168238964,24.748891503031402,3149.610015959001,3158.584534731324,2976.2022360917786,3194.113272182281,2973.684210526316
1717047501,60.98775817413057,640.564911815409,76390.05383004122,75723.6406246479,73783.08968787041,75861.58641729673,74694.47041538668,336.90890203694505,9685.823839220786,7856.983290143866,8114.405537642894,8399.954715272273,8115.350838675683,11588.299217138674,6613.516156273612,6388.2646691635455,5664.320979380293,5085.915709485428,6104.955818514356,29.627178469005077,0.0,40.34922649394981,4.311849372728579,23269.50971859588,26515.606256082934,38.1624326578455,4.460587523099471,54890.53937774558,33680.669452327216,30.496389481811168,2266.5865909587246,2313.1480527624126,2248.8113422688843,2290.2166629439353,2227.9124751856893
1717047516,40.28055671599129,655.0462422555446,64676.71770185643,65909.67857382513,65298.542558619316,64621.2200894031,72531.54228423862,393.6587732063324,10215.667639671443,8499.797616370588,7892.2901749545645,8670.337900348033,8860.941998725248,11921.516189634214,6749.673076510816,6920.480187742576,5866.855781232271,6021.797631862218,6357.954417620986,15.724870065243834,0.0,23.642538926381718,2.6299475889016213,19868.392712913937,22686.734647425685,14.72103636095981,3.9385345584757783,53154.99320205254,32834.488452430094,15.667004539244635,2277.6215788780037,2328.4221687172803,2488.680041769424,2387.4075426901654,2347.884157335886
1717047531,35.0473093512183,656.9033906281514,72786.52730413215,77254.4756472137,75160.8531388657,68135.2300186933,76780.72908375594,388.26540657609763,10065.822673717006,8290.073293328314,8002.520451028079,7986.976031520191,8405.507485235543,12624.74778489341,6361.8683914262365,4721.768892515526,6504.7463823976395,5714.827295703453,6182.254300285245,12.590403951314165,0.0,7.538391953305046,2.825574693347659,23794.750249197034,26962.97372184483,8.69331308800762,3.170792471632732,54880.32872246496,33274.26399930113,9.64874969218026,2449.8079842815036,2456.218246079081,2703.0012643907635,2532.0870230676724,2461.8403247631936
