timestamp,beacon-metrics-gazer--f105b4c4adae460f9731fbe7cf85e3a4,cadvisor,cl-1-prysm-geth--2f369daf7f1949e3a3c487306c38ae4a,cl-2-prysm-geth--42391a0bf59e4441afed489ad53725d7,cl-3-prysm-geth--2c16e59f143141d199b6fc7e497b2076,cl-4-prysm-geth--ce53e88d97064dfaa56214362322b229,cl-5-prysm-geth--abf364eeeeac41bda1c8666d04e07f26,dora--4d7cc77d952444a697ee79af58dc0be6,el-1-geth-prysm--4f4dbf40862046afb5be0a2f6c81d4ef,el-2-geth-prysm--8cae18233a19461dbb9a2f9fcc6f4518,el-3-geth-prysm--9c8a2d7b327943f591ba90b6ceabeaa8,el-4-geth-prysm--10c4716602ac467aa673b17e3779219f,el-5-geth-prysm--e5611fafa05946cea0ebe682535f8eb4,el-forkmon--0894038d70ca4cc987ecd3bfe49abece,ethereum-metrics-exporter-1-prysm-geth--2575e3f1401e49aeaffe147615364717,ethereum-metrics-exporter-2-prysm-geth--aecff8d5e6a945849df594a87319e59e,ethereum-metrics-exporter-3-prysm-geth--6b0ea84c6dee453eb4d0a713318789fa,ethereum-metrics-exporter-4-prysm-geth--dd985dcaf6a54a67a3d2808bc6cc0fe7,ethereum-metrics-exporter-5-prysm-geth--0222d23491444fe3ad6a89953e159583,grafana--81a33a5722f54249b30578caa32ebc80,helpers-grafana-1,kurtosis-api--8981c0ee694f43b69626ddc6c0967968,kurtosis-engine--6f0478e09b654df8ba6a18eff8df0f95,kurtosis-logs-aggregator,kurtosis-logs-collector--8981c0ee694f43b69626ddc6c0967968,kurtosis-reverse-proxy--6f0478e09b654df8ba6a18eff8df0f95,portainer,prometheus,prometheus--2942dd1bdfdc41f88a2aeb846aae16e9,validator-key-generation-cl-validator-keystore--837012a7e7ee4e47b74de6cd7895f8cc,vc-1-geth-prysm--036595ad51ce4b73a4c1a5db702642f3,vc-2-geth-prysm--7b1511e0db77424fa5fa550f277db570,vc-3-geth-prysm--8fffa10211104fe486ec56cbce78551d,vc-4-geth-prysm--1665a1c3348f41a98721f8d3e150174a,vc-5-geth-prysm--c6053b18ff8b4e99a7ee7a2e71ebc9ca
1716907569,8605696.0,254177280.0,303484928.0,300380160.0,276201472.0,322576384.0,335687680.0,43139072.0,49496064.0,46518272.0,45813760.0,45719552.0,45760512.0,33042432.0,10620928.0,8097792.0,8880128.0,9060352.0,9420800.0,156008448.0,59858944.0,70942720.0,37425152.0,53481472.0,20062208.0,90521600.0,14479360.0,902688768.0,102547456.0,22020096.0,32354304.0,26660864.0,26222592.0,25788416.0,26005504.0
1716907584,8605696.0,253931520.0,305401856.0,338190336.0,280596480.0,327938048.0,338968576.0,43139072.0,49061888.0,46706688.0,46366720.0,46022656.0,46862336.0,33300480.0,9715712.0,8097792.0,8642560.0,8544256.0,9601024.0,156016640.0,59858944.0,70942720.0,37425152.0,47898624.0,19873792.0,90521600.0,14479360.0,902688768.0,102658048.0,22020096.0,32460800.0,26660864.0,26222592.0,26705920.0,25522176.0
1716907599,8605696.0,254197760.0,309723136.0,348479488.0,283009024.0,327938048.0,341135360.0,43151360.0,49704960.0,47583232.0,47333376.0,46174208.0,46862336.0,33804288.0,9834496.0,9818112.0,8978432.0,8982528.0,9580544.0,156033024.0,59858944.0,70938624.0,37425152.0,47898624.0,19865600.0,90521600.0,14479360.0,741187584.0,102887424.0,22020096.0,32460800.0,26390528.0,26406912.0,26705920.0,25522176.0
1716907614,8605696.0,254197760.0,309723136.0,348516352.0,283009024.0,328273920.0,341135360.0,43180032.0,50008064.0,47583232.0,46747648.0,46174208.0,47296512.0,33804288.0,9834496.0,8708096.0,8822784.0,9322496.0,9580544.0,156033024.0,59858944.0,70995968.0,37425152.0,48848896.0,19906560.0,90521600.0,17350656.0,741564416.0,102998016.0,22020096.0,31522816.0,26460160.0,26406912.0,27324416.0,26484736.0
1716907629,8605696.0,254001152.0,318283776.0,348516352.0,283058176.0,330440704.0,343396352.0,43220992.0,50552832.0,47960064.0,46776320.0,47153152.0,47837184.0,32706560.0,10285056.0,8708096.0,9015296.0,8712192.0,9621504.0,156082176.0,59858944.0,70995968.0,37425152.0,49348608.0,19906560.0,90521600.0,17350656.0,741961728.0,103104512.0,22020096.0,31559680.0,26484736.0,26472448.0,27324416.0,26497024.0
1716907644,8605696.0,254001152.0,318300160.0,351764480.0,320655360.0,343367680.0,350138368.0,43286528.0,51134464.0,48357376.0,46776320.0,47427584.0,47837184.0,32931840.0,10285056.0,8564736.0,9015296.0,9891840.0,9347072.0,156090368.0,59994112.0,70995968.0,37425152.0,49348608.0,19869696.0,90521600.0,17350656.0,747012096.0,103104512.0,22020096.0,31588352.0,26517504.0,26521600.0,27344896.0,27000832.0
1716907659,8605696.0,257814528.0,318300160.0,354021376.0,330838016.0,343367680.0,350175232.0,37572608.0,51097600.0,48357376.0,47923200.0,48066560.0,48467968.0,32964608.0,9674752.0,9113600.0,8548352.0,9891840.0,9347072.0,156188672.0,59994112.0,70995968.0,37425152.0,49623040.0,19865600.0,85368832.0,17350656.0,751943680.0,103219200.0,22020096.0,31588352.0,26542080.0,26562560.0,26771456.0,27049984.0
1716907674,8605696.0,257822720.0,339169280.0,354185216.0,330952704.0,366493696.0,352366592.0,37572608.0,51097600.0,48578560.0,48037888.0,48066560.0,48697344.0,34148352.0,10174464.0,8409088.0,8425472.0,8646656.0,9998336.0,156225536.0,59994112.0,70995968.0,37572608.0,50507776.0,20066304.0,85368832.0,17350656.0,751943680.0,103325696.0,22020096.0,31932416.0,26566656.0,26562560.0,26771456.0,27049984.0
1716907689,8605696.0,257822720.0,339169280.0,354275328.0,331239424.0,366563328.0,352366592.0,37572608.0,51245056.0,48373760.0,48996352.0,48111616.0,48697344.0,32538624.0,10248192.0,9093120.0,8507392.0,9084928.0,9105408.0,156225536.0,59994112.0,70995968.0,38285312.0,50507776.0,19869696.0,85368832.0,17350656.0,753119232.0,103751680.0,22020096.0,33918976.0,26607616.0,27049984.0,26968064.0,27090944.0
1716907704,8589312.0,258068480.0,338411520.0,360919040.0,331239424.0,368726016.0,374788096.0,37568512.0,51879936.0,48373760.0,49090560.0,48603136.0,49025024.0,33468416.0,10465280.0,8957952.0,8384512.0,9216000.0,9388032.0,153296896.0,58597376.0,70995968.0,38285312.0,47464448.0,19869696.0,85368832.0,17350656.0,753119232.0,103866368.0,22020096.0,33918976.0,26607616.0,27049984.0,26968064.0,26857472.0
1716907719,8589312.0,258068480.0,338423808.0,360919040.0,373993472.0,369401856.0,374890496.0,37568512.0,52125696.0,49070080.0,49090560.0,48627712.0,49164288.0,33468416.0,10379264.0,8957952.0,8347648.0,9203712.0,9388032.0,153296896.0,58593280.0,70995968.0,38285312.0,47788032.0,20062208.0,85368832.0,17350656.0,697581568.0,103866368.0,22020096.0,33976320.0,26615808.0,28286976.0,25899008.0,27009024.0
1716907734,8589312.0,256974848.0,346443776.0,361668608.0,373993472.0,369299456.0,374890496.0,37568512.0,52125696.0,50200576.0,49111040.0,48627712.0,49688576.0,34594816.0,10379264.0,8593408.0,8347648.0,9023488.0,9494528.0,153423872.0,58593280.0,70995968.0,38285312.0,48934912.0,20062208.0,85368832.0,17350656.0,700329984.0,104222720.0,19865600.0,33181696.0,26640384.0,28286976.0,26316800.0,26779648.0
1716907749,8589312.0,256716800.0,346558464.0,361521152.0,374124544.0,369516544.0,375013376.0,39079936.0,53645312.0,50565120.0,50589696.0,48967680.0,49922048.0,34508800.0,10477568.0,8593408.0,8335360.0,9023488.0,8876032.0,153423872.0,57552896.0,65744896.0,38285312.0,48934912.0,19873792.0,85368832.0,14647296.0,700403712.0,104341504.0,19865600.0,33546240.0,26701824.0,25575424.0,26316800.0,26791936.0
1716907764,8589312.0,256970752.0,346611712.0,363696128.0,374124544.0,373817344.0,378302464.0,39079936.0,53645312.0,50876416.0,50589696.0,49664000.0,50139136.0,34267136.0,10735616.0,8212480.0,8507392.0,9437184.0,9256960.0,153423872.0,57552896.0,65744896.0,37629952.0,49246208.0,19873792.0,85368832.0,14647296.0,759840768.0,104456192.0,19865600.0,33566720.0,26722304.0,25608192.0,26562560.0,26763264.0
1716907779,8589312.0,257019904.0,351191040.0,363696128.0,374190080.0,373817344.0,378400768.0,44433408.0,55144448.0,50876416.0,50913280.0,49991680.0,50139136.0,34267136.0,10735616.0,9396224.0,8302592.0,9437184.0,9256960.0,153427968.0,57552896.0,65744896.0,37629952.0,49209344.0,19873792.0,85368832.0,14647296.0,760332288.0,104566784.0,19865600.0,33566720.0,27217920.0,25608192.0,26562560.0,26763264.0
