timestamp,beacon-metrics-gazer--f105b4c4adae460f9731fbe7cf85e3a4,cadvisor,cl-1-prysm-geth--2f369daf7f1949e3a3c487306c38ae4a,cl-2-prysm-geth--42391a0bf59e4441afed489ad53725d7,cl-3-prysm-geth--2c16e59f143141d199b6fc7e497b2076,cl-4-prysm-geth--ce53e88d97064dfaa56214362322b229,cl-5-prysm-geth--abf364eeeeac41bda1c8666d04e07f26,dora--4d7cc77d952444a697ee79af58dc0be6,el-1-geth-prysm--4f4dbf40862046afb5be0a2f6c81d4ef,el-2-geth-prysm--8cae18233a19461dbb9a2f9fcc6f4518,el-3-geth-prysm--9c8a2d7b327943f591ba90b6ceabeaa8,el-4-geth-prysm--10c4716602ac467aa673b17e3779219f,el-5-geth-prysm--e5611fafa05946cea0ebe682535f8eb4,el-forkmon--0894038d70ca4cc987ecd3bfe49abece,ethereum-metrics-exporter-1-prysm-geth--2575e3f1401e49aeaffe147615364717,ethereum-metrics-exporter-2-prysm-geth--aecff8d5e6a945849df594a87319e59e,ethereum-metrics-exporter-3-prysm-geth--6b0ea84c6dee453eb4d0a713318789fa,ethereum-metrics-exporter-4-prysm-geth--dd985dcaf6a54a67a3d2808bc6cc0fe7,ethereum-metrics-exporter-5-prysm-geth--0222d23491444fe3ad6a89953e159583,grafana--81a33a5722f54249b30578caa32ebc80,helpers-grafana-1,kurtosis-api--8981c0ee694f43b69626ddc6c0967968,kurtosis-engine--6f0478e09b654df8ba6a18eff8df0f95,kurtosis-logs-aggregator,kurtosis-logs-collector--8981c0ee694f43b69626ddc6c0967968,kurtosis-reverse-proxy--6f0478e09b654df8ba6a18eff8df0f95,portainer,prometheus,prometheus--2942dd1bdfdc41f88a2aeb846aae16e9,validator-key-generation-cl-validator-keystore--837012a7e7ee4e47b74de6cd7895f8cc,vc-1-geth-prysm--036595ad51ce4b73a4c1a5db702642f3,vc-2-geth-prysm--7b1511e0db77424fa5fa550f277db570,vc-3-geth-prysm--8fffa10211104fe486ec56cbce78551d,vc-4-geth-prysm--1665a1c3348f41a98721f8d3e150174a,vc-5-geth-prysm--c6053b18ff8b4e99a7ee7a2e71ebc9ca
1716907419,47095.116722650775,656.1756416963397,72093.49667134642,71370.63611595282,65225.757274474716,75780.16446094622,73038.84495620422,92499.73723970307,5456.20733932554,4321.533822802923,5106.512241740239,4785.4257372413485,4585.842437161382,10888.72761377339,3657.4330563250232,5931.49307470239,4579.472415640064,5569.571508069003,5871.338842975207,13.67280655931318,0.0,13.53170630674169,1.9263050716860675,25280.21312666505,24400.501747155275,19.798171780251604,1.5702460799928215,54663.56592639308,33743.17089441185,12.50610979083447,2861.8848025959983,3219.187793268744,3154.0763904400264,3279.7806166811583,2871.6647209109524
1716907434,63406.77594908407,651.0734163795388,72093.49667134642,75879.77561130087,73925.41904422252,72761.9732367918,74486.57966018221,64201.87013696136,5083.227390294156,4352.271954288824,5106.512241740239,4650.367806144526,4391.844499965618,11300.483070278933,4666.949531040643,3865.125240847785,6295.776808608561,3710.83618689937,4573.3178018363715,33.88167651554907,0.0,16.630805092343554,6.556717708958851,28975.453392300045,31025.632674331497,30.109957866611857,3.1376064545047067,53748.68820156308,33718.5030061474,19.405927134312126,3143.0184418517124,3027.2617665446105,2932.4684914494774,3352.555179956254,2821.088034978559
1716907449,64.44983491678458,680.0806180718845,73451.54009559215,75879.77561130087,81205.90877333068,78069.486944674,76877.19456401703,64201.87013696136,5056.382670029688,4546.6860623693065,4634.906215829758,4630.558118869408,4297.882448757976,14589.928872378017,5008.481822223743,5280.845430680518,7005.541912789541,5645.297229444992,5961.65766254001,24.92279806659506,0.0,35.629714085248196,5.161577708857465,25003.505854327257,26865.639368143125,26.38630712406151,3.0978248843847496,54615.64587597562,33121.29982896987,17.0520428347316,2397.677953779383,2326.7666439445584,2548.621045277621,3033.377837116155,2729.619749513948
1716907464,51.97722521240158,666.4954325151318,72915.19868906184,65844.52585350782,76044.50173747337,66374.4864083095,73397.88284391063,354.3632206362244,4797.520938023451,4877.339557610925,4654.330919817646,4707.062454611474,4404.507387485531,13361.715857759058,5820.723684210527,5343.230727322256,6385.290839191064,5777.326981027256,6500.487296679661,20.470990067862118,0.0,27.648106803779626,0.0,23438.33280990623,26865.639368143125,25.84961436731791,1.5429037448478036,55079.98026438912,33727.45984160365,18.538306280635698,2262.8364319753005,2326.7666439445584,2579.572759290346,2548.2726298875205,2663.5398503542497
1716907479,32.89933735140355,610.2851891962849,65154.387790496025,75478.50564100256,65091.78079151222,65031.71475784925,64792.6267281106,443.74215528061677,4854.795901226272,5214.047263463059,4842.785956964893,4590.625896972665,5304.790479722213,13399.54530691783,6341.136058600059,5914.031190601599,6385.290839191064,6842.4637319227195,5667.683443484156,15.383316447146235,0.0,21.966846333774022,2.4753788213660552,20015.679672542417,22197.431745603382,6.195923967161604,2.4419172538896254,54143.13751728444,29676.926544177408,7.441638462206023,2569.1356108807945,2210.301663128096,2444.404965468233,2373.151586578017,2466.9551708832664
1716907494,31.276996345110202,622.82572842221,75400.48132632143,70120.8943203347,73168.13369708824,80183.2428390285,73464.56817462828,450.2955581827394,4746.377049719037,5192.9171396140755,5192.2560053754405,4786.359479893838,6225.477229643345,9497.917924918149,5885.8037811835775,5078.957630423357,5274.692491279603,5525.7855479428945,5452.1983986972455,4.639756081394578,0.0,9.476642560921274,3.6302032913843174,23681.364152076705,25626.3098177935,7.092917215523357,2.7453920365311264,53996.29679055181,33549.608747993574,10.82425709291381,2586.1322018758374,2196.177248900201,2210.959967133793,2436.9699773122757,2255.443368363212
1716907509,27.318354835449863,641.5183228455093,74920.82390760805,72761.8983552521,64606.76549052711,79458.11903012492,78699.17110317409,1053.0528164257732,5123.023507817511,5245.091116939008,5358.202226930532,5154.113049922523,5466.668927166688,13624.778562619127,5769.564851443482,5943.286649243896,6205.787618678223,5429.790456955315,5817.830410010055,4.6502358333886935,0.0,8.454673555659936,3.3415759694731104,23355.295362836543,26127.794311799324,1447.183244030938,3.1102817026570695,52228.69680250379,33620.53621846272,6.247211066488174,2417.7487698195737,2177.3633395846355,2210.959967133793,2151.9010923871624,2177.9002713704203
1716907524,23.709746095063085,664.6357029800704,66393.19915781847,64265.32628020808,72745.93537070768,74643.57937310415,65818.88171351091,1040.9969600779295,5681.922613225359,5030.190976528151,5017.023705593982,5025.02406159769,5101.170849875514,13133.060668029995,6246.368886914323,6007.750342935528,5862.091547546463,5221.9976015076245,5988.658692130029,6.201001018735882,0.0,9.55103631992723,2.730117107464426,22527.48107084911,26127.794311799324,1436.8460244782311,3.4088142196250306,52645.72357723577,33495.049834994505,7.9024610521562435,2520.7473751299854,2333.3899081790255,2440.2983815165476,2383.8136836602184,2329.7577088760618
1716907539,27.369522298904887,670.2397549882294,66393.19915781847,64508.014796547475,72508.95647273783,66115.10326062715,65818.8817135109,1452.2830628786226,6159.28227746592,5357.035803497087,3932.946337280253,4907.992396813904,4659.864252373329,16458.460281527125,5157.589278226009,6007.750342935528,5740.41386688062,4503.836655494797,5774.575558359342,4.6984070162878115,0.0,163.30149161107292,182.32297503820683,22372.576618240924,22116.575428520144,2081.233962997512,2.5504526487021715,55180.479490966936,34337.25999760639,6.204848646013385,2564.420000876463,2323.0748403691255,2500.5414629344014,2319.1166133823094,2348.8258858420204
1716907554,33.1974373907979,659.5184159744944,76654.49338424651,74234.51053283767,80421.36640855204,75948.60039673792,79591.7409666823,1270.0236966824646,6592.099986632804,4983.196675277997,5165.325077399381,4977.8667934007735,4425.967177342365,14161.722698308065,4108.084069047304,6082.592786199686,5449.363573761023,3829.7803197712205,5598.832194280406,3.507014028056112,0.0,247.57198256632006,133.63545926826572,21830.597316793635,25350.546443500592,11.370598763078748,2.1453381461554177,55180.479490966936,34096.85597229453,4.674145299145299,2610.958075786079,2376.2960974463945,2379.649309245484,2460.4942413060494,2549.4648829431435
